"m11104","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","1-pers.-HH","in school","1","","",""
"Almost never or never","1984","1-pers.-HH","inadequately","54","0.698032048653038","0.590480373588486","0.805583723717591"
"Almost never or never","1984","1-pers.-HH","general elemantary","325","0.861100596863508","0.826599605566656","0.895601588160361"
"Almost never or never","1984","1-pers.-HH","middle vocational","382","0.671571050711601","0.634393176590412","0.70874892483279"
"Almost never or never","1984","1-pers.-HH","vocational + Abi","25","","",""
"Almost never or never","1984","1-pers.-HH","higher vocational","40","0.527635667845097","0.417547620959417","0.637723714730776"
"Almost never or never","1984","1-pers.-HH","higher education","48","0.463359590226661","0.373003813314434","0.553715367138888"
"Almost never or never","1984","(Married) couple without C. ","in school","","","",""
"Almost never or never","1984","(Married) couple without C. ","inadequately","113","0.910493614311591","0.86103880079762","0.959948427825562"
"Almost never or never","1984","(Married) couple without C. ","general elemantary","573","0.851254075697917","0.824548124982976","0.877960026412858"
"Almost never or never","1984","(Married) couple without C. ","middle vocational","944","0.696116218042415","0.671946078184907","0.720286357899922"
"Almost never or never","1984","(Married) couple without C. ","vocational + Abi","42","0.52908930574671","0.422975376410165","0.635203235083254"
"Almost never or never","1984","(Married) couple without C. ","higher vocational","90","0.618774906334412","0.542314019941725","0.6952357927271"
"Almost never or never","1984","(Married) couple without C. ","higher education","86","0.443310123167478","0.37463324447336","0.511987001861597"
"Almost never or never","1984","Single parent ","in school","3","","",""
"Almost never or never","1984","Single parent ","inadequately","41","0.721954559805101","0.59776762459293","0.846141495017273"
"Almost never or never","1984","Single parent ","general elemantary","138","0.701363258447899","0.637935959411122","0.764790557484677"
"Almost never or never","1984","Single parent ","middle vocational","143","0.564401822773881","0.503781428026919","0.625022217520843"
"Almost never or never","1984","Single parent ","vocational + Abi","3","","",""
"Almost never or never","1984","Single parent ","higher vocational","16","","",""
"Almost never or never","1984","Single parent ","higher education","9","","",""
"Almost never or never","1984","Couple + C. LE 16 ","in school","","","",""
"Almost never or never","1984","Couple + C. LE 16 ","inadequately","271","0.882467622200136","0.846902773506486","0.918032470893786"
"Almost never or never","1984","Couple + C. LE 16 ","general elemantary","497","0.74895305922122","0.715796445287058","0.782109673155383"
"Almost never or never","1984","Couple + C. LE 16 ","middle vocational","854","0.550515545031417","0.525257653811694","0.57577343625114"
"Almost never or never","1984","Couple + C. LE 16 ","vocational + Abi","48","0.50967008695855","0.402123207960503","0.617216965956597"
"Almost never or never","1984","Couple + C. LE 16 ","higher vocational","103","0.503949641424783","0.435506865622794","0.572392417226771"
"Almost never or never","1984","Couple + C. LE 16 ","higher education","106","0.390098682237393","0.3313710919081","0.448826272566685"
"Almost never or never","1984","Couple + C. GT 16 ","in school","19","","",""
"Almost never or never","1984","Couple + C. GT 16 ","inadequately","123","0.783350682102315","0.7162972725511","0.85040409165353"
"Almost never or never","1984","Couple + C. GT 16 ","general elemantary","371","0.635066076960321","0.595887318491869","0.674244835428772"
"Almost never or never","1984","Couple + C. GT 16 ","middle vocational","502","0.562154825536286","0.529956081832433","0.594353569240139"
"Almost never or never","1984","Couple + C. GT 16 ","vocational + Abi","16","","",""
"Almost never or never","1984","Couple + C. GT 16 ","higher vocational","51","0.592976126452677","0.4925879135011","0.693364339404254"
"Almost never or never","1984","Couple + C. GT 16 ","higher education","43","0.444021022464416","0.344109117405354","0.543932927523477"
"Almost never or never","1984","Couple + C. LE and GT 16","in school","24","","",""
"Almost never or never","1984","Couple + C. LE and GT 16","inadequately","184","0.778796742030917","0.723445287468973","0.834148196592862"
"Almost never or never","1984","Couple + C. LE and GT 16","general elemantary","355","0.603196589176343","0.563619287869796","0.64277389048289"
"Almost never or never","1984","Couple + C. LE and GT 16","middle vocational","402","0.581442091762765","0.544143325702696","0.618740857822833"
"Almost never or never","1984","Couple + C. LE and GT 16","vocational + Abi","15","","",""
"Almost never or never","1984","Couple + C. LE and GT 16","higher vocational","25","","",""
