"m11104","year","e11102","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","Not Employed","3267","0.735802512013543","0.722998417375844","0.748606606651242"
"Almost never or never","1984","Employed","4437","0.561602373590326","0.550359980073943","0.57284476710671"
"Several times a year","1984","Not Employed","626","0.125652878097748","0.116027183838351","0.135278572357145"
"Several times a year","1984","Employed","1590","0.217356969439698","0.208011978931468","0.226701959947929"
"At least once a month","1984","Not Employed","662","0.138544609888709","0.128511972545491","0.148577247231927"
"At least once a month","1984","Employed","1456","0.221040656969976","0.21163901529002","0.230442298649931"
"At lease once a week","1984","Not Employed","","","",""
"At lease once a week","1984","Employed","","","",""
"Almost never or never","1985","Not Employed","2865","0.711672051202579","0.697911741393177","0.725432361011981"
"Almost never or never","1985","Employed","3639","0.489101816398152","0.47720836285484","0.500995269941464"
"Several times a year","1985","Not Employed","376","0.0778550669475236","0.0697157507762744","0.0859943831187727"
"Several times a year","1985","Employed","1057","0.164980395445706","0.156149481159839","0.173811309731574"
"At least once a month","1985","Not Employed","159","0.0354169220575716","0.0298023053618734","0.0410315387532697"
"At least once a month","1985","Employed","383","0.0581291775099623","0.0525620146771358","0.0636963403427887"
"At lease once a week","1985","Not Employed","763","0.175055959792326","0.16351224519935","0.186599674385301"
"At lease once a week","1985","Employed","1707","0.28778861064618","0.277016955976082","0.298560265316277"
"Almost never or never","1986","Not Employed","2671","0.725801385807514","0.711775244265155","0.739827527349874"
"Almost never or never","1986","Employed","3467","0.474929047400862","0.462918723665714","0.486939371136009"
"Several times a year","1986","Not Employed","296","0.0648726699902093","0.0571287126087857","0.0726166273716328"
"Several times a year","1986","Employed","983","0.159656718793684","0.15084717707138","0.168466260515988"
"At least once a month","1986","Not Employed","134","0.0303960563916166","0.0249984339816112","0.035793678801622"
"At least once a month","1986","Employed","433","0.069469602829373","0.0633546369066154","0.0755845687521305"
"At lease once a week","1986","Not Employed","785","0.17892988781066","0.166878744265018","0.190981031356301"
"At lease once a week","1986","Employed","1758","0.295944630976081","0.284966207198208","0.306923054753954"
"Almost never or never","1987","Not Employed","","","",""
"Almost never or never","1987","Employed","","","",""
"Several times a year","1987","Not Employed","","","",""
"Several times a year","1987","Employed","","","",""
"At least once a month","1987","Not Employed","","","",""
"At least once a month","1987","Employed","","","",""
"At lease once a week","1987","Not Employed","","","",""
"At lease once a week","1987","Employed","","","",""
"Almost never or never","1988","Not Employed","2371","0.699233501448557","0.68409889246353","0.714368110433585"
"Almost never or never","1988","Employed","3272","0.466926321121783","0.454691899725331","0.479160742518235"
"Several times a year","1988","Not Employed","322","0.0834029415376277","0.074278101185547","0.0925277818897083"
"Several times a year","1988","Employed","1010","0.171053466864999","0.16181936125066","0.180287572479338"
"At least once a month","1988","Not Employed","123","0.0321959514181109","0.0263703641805697","0.0380215386556522"
"At least once a month","1988","Employed","398","0.0678126649542061","0.0616471033368855","0.0739782265715267"
"At lease once a week","1988","Not Employed","711","0.185167605595704","0.172348373525103","0.197986837666305"
"At lease once a week","1988","Employed","1708","0.294207547059012","0.283032971230106","0.305382122887918"
"Almost never or never","1989","Not Employed","","","",""
"Almost never or never","1989","Employed","","","",""
"Several times a year","1989","Not Employed","","","",""
"Several times a year","1989","Employed","","","",""
"At least once a month","1989","Not Employed","","","",""
"At least once a month","1989","Employed","","","",""
"At lease once a week","1989","Not Employed","","","",""
"At lease once a week","1989","Employed","","","",""
"Almost never or never","1990","Not Employed","1983","0.611490767127206","0.594911143276708","0.628070390977705"
"Almost never or never","1990","Employed","2270","0.306176986334896","0.294643743666736","0.317710229003056"
"Several times a year","1990","Not Employed","427","0.121530847658128","0.110416459229275","0.132645236086982"
"Several times a year","1990","Employed","1372","0.247864502060512","0.23706021741449","0.258668786706534"
"At least once a month","1990","Not Employed","179","0.0501912005428581","0.0427642430981684","0.0576181579875478"
"At least once a month","1990","Employed","626","0.110143845486641","0.102309894874667","0.117977796098615"
"At lease once a week","1990","Not Employed","731","0.216787184671807","0.202770808506989","0.230803560836624"
"At lease once a week","1990","Employed","1867","0.335814666117951","0.323996903070281","0.347632429165621"
"Almost never or never","1991","Not Employed","","","",""
"Almost never or never","1991","Employed","","","",""
"Several times a year","1991","Not Employed","","","",""
"Several times a year","1991","Employed","","","",""
"At least once a month","1991","Not Employed","","","",""
"At least once a month","1991","Employed","","","",""
"At lease once a week","1991","Not Employed","","","",""
"At lease once a week","1991","Employed","","","",""
"Almost never or never","1992","Not Employed","2866","0.715308849443389","0.701603996780521","0.729013702106257"
"Almost never or never","1992","Employed","4535","0.453515428732735","0.443218803439979","0.46381205402549"
"Several times a year","1992","Not Employed","387","0.0796944705301014","0.0714697585448966","0.0879191825153062"
"Several times a year","1992","Employed","1798","0.205579170023196","0.197220738509131","0.213937601537261"
"At least once a month","1992","Not Employed","149","0.0313248964702555","0.0260346673810867","0.0366151255594243"
"At least once a month","1992","Employed","615","0.078289991811172","0.0727340178957988","0.0838459657265452"
"At lease once a week","1992","Not Employed","763","0.173671783556254","0.162166918959676","0.185176648152832"
"At lease once a week","1992","Employed","2032","0.262615409432897","0.253513823909477","0.271716994956318"
"Almost never or never","1993","Not Employed","","","",""
"Almost never or never","1993","Employed","","","",""
"Several times a year","1993","Not Employed","","","",""
"Several times a year","1993","Employed","","","",""
"At least once a month","1993","Not Employed","","","",""
"At least once a month","1993","Employed","","","",""
"At lease once a week","1993","Not Employed","","","",""
"At lease once a week","1993","Employed","","","",""
"Almost never or never","1994","Not Employed","3093","0.70788972321301","0.694559096993028","0.721220349432991"
"Almost never or never","1994","Employed","3916","0.429215747509118","0.418542924417696","0.43988857060054"
"Several times a year","1994","Not Employed","463","0.0952931867013934","0.0866856440143052","0.103900729388482"
"Several times a year","1994","Employed","1821","0.224259364859006","0.215265651119356","0.233253078598655"
"At least once a month","1994","Not Employed","158","0.0336150641823637","0.028331385759121","0.0388987426056064"
"At least once a month","1994","Employed","620","0.0769283760541314","0.0711823647200624","0.0826743873882005"
"At lease once a week","1994","Not Employed","756","0.163202025903233","0.152368560212267","0.174035491594199"
"At lease once a week","1994","Employed","1905","0.269596511577745","0.260028007434579","0.279165015720911"
"Almost never or never","1995","Not Employed","2817","0.607397725174119","0.593562866399455","0.621232583948782"
"Almost never or never","1995","Employed","3067","0.316969998061336","0.307066716340835","0.326873279781837"
"Several times a year","1995","Not Employed","707","0.142641439192702","0.132733898968149","0.152548979417255"
