"m11104","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","Not Employed","in school","45","0.261254312333307","0.196716044783562","0.325792579883051","1"
"Almost never or never","1984","Not Employed","inadequately","332","0.7970046742183","0.756294223529904","0.837715124906696","1"
"Almost never or never","1984","Not Employed","general elemantary","1344","0.810539139093979","0.792078518118131","0.828999760069826","1"
"Almost never or never","1984","Not Employed","middle vocational","1280","0.724230708295585","0.703771996796965","0.744689419794204","1"
"Almost never or never","1984","Not Employed","vocational + Abi","42","0.566350511968266","0.457754177799496","0.674946846137035","1"
"Almost never or never","1984","Not Employed","higher vocational","121","0.713289643175396","0.646288268017982","0.780291018332811","1"
"Almost never or never","1984","Not Employed","higher education","85","0.582452592976989","0.50506542051817","0.659839765435809","1"
"Almost never or never","1984","Employed","in school","3","","","","1"
"Almost never or never","1984","Employed","inadequately","530","0.818895372058176","0.788895098243318","0.848895645873034","1"
"Almost never or never","1984","Employed","general elemantary","1158","0.674464268408616","0.65206452517881","0.696864011638421","1"
"Almost never or never","1984","Employed","middle vocational","2129","0.55459594990401","0.538787356841506","0.570404542966515","1"
"Almost never or never","1984","Employed","vocational + Abi","116","0.456617761907586","0.392243347320417","0.520992176494755","1"
"Almost never or never","1984","Employed","higher vocational","232","0.503557895297125","0.458307677010003","0.548808113584248","1"
"Almost never or never","1984","Employed","higher education","244","0.393826717355879","0.35561300306144","0.432040431650318","1"
"At lease once a week","1984","Not Employed","general elemantary","","","","","4"
"At lease once a week","1984","Not Employed","inadequately","","","","","4"
"At lease once a week","1984","Not Employed","middle vocational","","","","","4"
"At lease once a week","1984","Not Employed","vocational + Abi","","","","","4"
"At lease once a week","1984","Employed","vocational + Abi","","","","","4"
"At lease once a week","1984","Employed","higher vocational","","","","","4"
"At lease once a week","1984","Employed","higher education","","","","","4"
"At lease once a week","1984","Not Employed","higher vocational","","","","","4"
"At lease once a week","1984","Not Employed","in school","","","","","4"
"At lease once a week","1984","Employed","middle vocational","","","","","4"
"At lease once a week","1984","Not Employed","higher education","","","","","4"
"At lease once a week","1984","Employed","in school","","","","","4"
