"m11104","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","Full Time","no migration background","1937","0.535786467543389","0.519638230087109","0.551934704999669","1"
"Almost never or never","1984","Full Time","direct migration background","1368","0.708757952925809","0.688350414212722","0.729165491638895","1"
"Almost never or never","1984","Full Time","indirect migration background","27","","","","1"
"Almost never or never","1984","Part Time","no migration background","762","0.570712460998269","0.544425380447572","0.596999541548966","1"
"Almost never or never","1984","Part Time","direct migration background","333","0.643815943871947","0.601109576950853","0.686522310793041","1"
"Almost never or never","1984","Part Time","indirect migration background","10","","","","1"
"Almost never or never","1984","Not Working","no migration background","2474","0.733193140655265","0.71856327398214","0.74782300732839","1"
"Almost never or never","1984","Not Working","direct migration background","769","0.771815785723334","0.745634610249129","0.797996961197538","1"
"Almost never or never","1984","Not Working","indirect migration background","24","","","","1"
"At lease once a week","1984","Full Time","no migration background","","","","","4"
"At lease once a week","1984","Full Time","indirect migration background","","","","","4"
"At lease once a week","1984","Part Time","no migration background","","","","","4"
"At lease once a week","1984","Part Time","direct migration background","","","","","4"
"At lease once a week","1984","Full Time","direct migration background","","","","","4"
"At lease once a week","1984","Part Time","indirect migration background","","","","","4"
"At lease once a week","1984","Not Working","no migration background","","","","","4"
"At lease once a week","1984","Not Working","direct migration background","","","","","4"
"At lease once a week","1984","Not Working","indirect migration background","","","","","4"
"At least once a month","1984","Full Time","direct migration background","200","0.113374543014472","0.0991334772459688","0.127615608782975","3"
"At least once a month","1984","Full Time","indirect migration background","16","","","","3"
"At least once a month","1984","Not Working","no migration background","541","0.140102540196187","0.128621558777454","0.151583521614919","3"
"At least once a month","1984","Full Time","no migration background","879","0.238594944767649","0.224793998805569","0.252395890729729","3"
"At least once a month","1984","Part Time","direct migration background","55","0.154416768533733","0.12219124834419","0.186642288723275","3"
"At least once a month","1984","Part Time","indirect migration background","5","","","","3"
"At least once a month","1984","Part Time","no migration background","301","0.218260425794573","0.196323382859532","0.240197468729613","3"
"At least once a month","1984","Not Working","direct migration background","100","0.113925177169114","0.0941037660546486","0.133746588283579","3"
"At least once a month","1984","Not Working","indirect migration background","21","","","","3"
"Several times a year","1984","Full Time","direct migration background","336","0.177867504059719","0.160691037360677","0.195043970758762","2"
"Several times a year","1984","Full Time","no migration background","848","0.225618587688962","0.21208430458376","0.239152870794164","2"
