"m11104","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1991","Employed","no migration background","","","","","1"
"Almost never or never","1991","Employed","direct migration background","","","","","1"
"Almost never or never","1991","Employed","indirect migration background","","","","","1"
"At lease once a week","1991","Not Employed","no migration background","","","","","4"
"At lease once a week","1991","Not Employed","direct migration background","","","","","4"
"At lease once a week","1991","Employed","direct migration background","","","","","4"
"At lease once a week","1991","Not Employed","indirect migration background","","","","","4"
"At lease once a week","1991","Employed","no migration background","","","","","4"
"At lease once a week","1991","Employed","indirect migration background","","","","","4"
"At least once a month","1991","Not Employed","direct migration background","","","","","3"
"At least once a month","1991","Not Employed","no migration background","","","","","3"
"At least once a month","1991","Employed","no migration background","","","","","3"
"At least once a month","1991","Not Employed","indirect migration background","","","","","3"
"At least once a month","1991","Employed","direct migration background","","","","","3"
"At least once a month","1991","Employed","indirect migration background","","","","","3"
"Several times a year","1991","Not Employed","direct migration background","","","","","2"
"Several times a year","1991","Not Employed","no migration background","","","","","2"
"Several times a year","1991","Not Employed","indirect migration background","","","","","2"
"Several times a year","1991","Employed","no migration background","","","","","2"
"Several times a year","1991","Employed","direct migration background","","","","","2"
"Several times a year","1991","Employed","indirect migration background","","","","","2"
"Almost never or never","1992","Not Employed","no migration background","2204","0.71199845050922","0.696381948325128","0.727614952693311","1"
"Almost never or never","1992","Not Employed","direct migration background","628","0.797673749131923","0.769516937106072","0.825830561157774","1"
"Almost never or never","1992","Not Employed","indirect migration background","34","0.326471445911873","0.252169021754757","0.400773870068989","1"
"Almost never or never","1992","Employed","no migration background","3356","0.438867542695281","0.427249860620713","0.450485224769849","1"
"Almost never or never","1992","Employed","direct migration background","1105","0.580428365736621","0.557140434223445","0.603716297249798","1"
"Almost never or never","1992","Employed","indirect migration background","74","0.341088001485779","0.281846307746133","0.400329695225426","1"
"At lease once a week","1992","Not Employed","no migration background","604","0.176031519285634","0.162897509123884","0.189165529447384","4"
"At lease once a week","1992","Not Employed","direct migration background","79","0.112437395481179","0.0902962747052679","0.13457851625709","4"
"At lease once a week","1992","Not Employed","indirect migration background","80","0.46902894434284","0.389954231855193","0.548103656830488","4"
"At lease once a week","1992","Employed","direct migration background","281","0.199365935392155","0.180512258903716","0.218219611880594","4"
"At lease once a week","1992","Employed","no migration background","1669","0.2700975545009","0.259702834475155","0.280492274526646","4"
