"m11104","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1985","1-pers.-HH","Urban Area","615","0.659913165698708","0.630373340235705","0.689452991161711"
"Almost never or never","1985","1-pers.-HH","Rural Area","122","0.734873711520359","0.669662163612654","0.800085259428064"
"Almost never or never","1985","(Married) couple without C. ","Urban Area","1225","0.647333356024402","0.625854892127213","0.668811819921592"
"Almost never or never","1985","(Married) couple without C. ","Rural Area","344","0.718291951278704","0.67858424880176","0.757999653755648"
"Almost never or never","1985","Single parent ","Urban Area","242","0.546550241618132","0.499164814950549","0.593935668285716"
"Almost never or never","1985","Single parent ","Rural Area","66","0.588661504206057","0.498725897955273","0.678597110456842"
"Almost never or never","1985","Couple + C. LE 16 ","Urban Area","1217","0.500750064019972","0.479410805893141","0.522089322146803"
"Almost never or never","1985","Couple + C. LE 16 ","Rural Area","275","0.472021806420419","0.430032645084023","0.514010967756815"
"Almost never or never","1985","Couple + C. GT 16 ","Urban Area","864","0.50932774896321","0.485051478529559","0.533604019396862"
"Almost never or never","1985","Couple + C. GT 16 ","Rural Area","211","0.559244831297551","0.509261156478509","0.609228506116593"
"Almost never or never","1985","Couple + C. LE and GT 16","Urban Area","684","0.499083398931356","0.470185355101922","0.527981442760789"
"Almost never or never","1985","Couple + C. LE and GT 16","Rural Area","168","0.479549910867514","0.425648817847537","0.533451003887492"
"Several times a year","1985","1-pers.-HH","Urban Area","90","0.078133493920323","0.0613986271415052","0.0948683606991408"
"Several times a year","1985","1-pers.-HH","Rural Area","13","","",""
"Several times a year","1985","(Married) couple without C. ","Urban Area","220","0.115751924845507","0.101370291745325","0.130133557945689"
"Several times a year","1985","(Married) couple without C. ","Rural Area","46","0.0838754469627479","0.0594062725509527","0.108344621374543"
"Several times a year","1985","Single parent ","Urban Area","62","0.155673976386177","0.121165303346993","0.190182649425362"
"Several times a year","1985","Single parent ","Rural Area","12","","",""
"Several times a year","1985","Couple + C. LE 16 ","Urban Area","335","0.1828369642174","0.166340299088273","0.199333629346527"
"Several times a year","1985","Couple + C. LE 16 ","Rural Area","91","0.169862707432332","0.138278341742622","0.201447073122041"
"Several times a year","1985","Couple + C. GT 16 ","Urban Area","223","0.130664512472692","0.114297851763668","0.147031173181717"
"Several times a year","1985","Couple + C. GT 16 ","Rural Area","51","0.135891079757154","0.101391944847717","0.170390214666591"
"Several times a year","1985","Couple + C. LE and GT 16","Urban Area","167","0.172563452757078","0.150724041252919","0.194402864261238"
"Several times a year","1985","Couple + C. LE and GT 16","Rural Area","48","0.148202891210157","0.109868590971718","0.186537191448595"
"At least once a month","1985","1-pers.-HH","Urban Area","41","0.0362451750546726","0.0245910948615715","0.0478992552477737"
"At least once a month","1985","1-pers.-HH","Rural Area","6","","",""
"At least once a month","1985","(Married) couple without C. ","Urban Area","79","0.0389979059294018","0.0302954898629809","0.0477003219958228"
"At least once a month","1985","(Married) couple without C. ","Rural Area","19","","",""
"At least once a month","1985","Single parent ","Urban Area","26","","",""
"At least once a month","1985","Single parent ","Rural Area","4","","",""
"At least once a month","1985","Couple + C. LE 16 ","Urban Area","96","0.0470175416952521","0.037983497441914","0.0560515859485902"
"At least once a month","1985","Couple + C. LE 16 ","Rural Area","41","0.0768790306538332","0.0544721483054964","0.09928591300217"
"At least once a month","1985","Couple + C. GT 16 ","Urban Area","102","0.0686190556271199","0.056342583239047","0.0808955280151928"
"At least once a month","1985","Couple + C. GT 16 ","Rural Area","21","","",""
"At least once a month","1985","Couple + C. LE and GT 16","Urban Area","49","0.0493895524053152","0.0368662748057815","0.0619128300048489"
"At least once a month","1985","Couple + C. LE and GT 16","Rural Area","22","","",""
"At lease once a week","1985","1-pers.-HH","Urban Area","242","0.225708165326297","0.199640892719548","0.251775437933045"
"At lease once a week","1985","1-pers.-HH","Rural Area","35","0.177962907039973","0.121455912336746","0.234469901743199"
"At lease once a week","1985","(Married) couple without C. ","Urban Area","377","0.197916813200689","0.180006297790189","0.21582732861119"
"At lease once a week","1985","(Married) couple without C. ","Rural Area","84","0.162830654478213","0.130239527797613","0.195421781158813"
"At lease once a week","1985","Single parent ","Urban Area","94","0.232166366997163","0.191978183075713","0.272354550918613"
"At lease once a week","1985","Single parent ","Rural Area","33","0.29373006330196","0.210484953506688","0.376975173097233"
"At lease once a week","1985","Couple + C. LE 16 ","Urban Area","461","0.269395430067376","0.250461267332474","0.288329592802279"
"At lease once a week","1985","Couple + C. LE 16 ","Rural Area","136","0.281236455493416","0.243420332225528","0.319052578761304"
"At lease once a week","1985","Couple + C. GT 16 ","Urban Area","440","0.291388682936977","0.269322463579315","0.31345490229464"
