"m11104","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","Full Time","in school","","","",""
"Almost never or never","1984","Full Time","inadequately","428","0.819561730573923","0.786219641841953","0.852903819305893"
"Almost never or never","1984","Full Time","general elemantary","782","0.654764507307425","0.627189519894967","0.682339494719884"
"Almost never or never","1984","Full Time","middle vocational","1645","0.553182958166541","0.535184328445255","0.571181587887826"
"Almost never or never","1984","Full Time","vocational + Abi","96","0.486822539044229","0.413600688456565","0.560044389631893"
"Almost never or never","1984","Full Time","higher vocational","179","0.50345875529822","0.452024270777371","0.554893239819069"
"Almost never or never","1984","Full Time","higher education","183","0.403581922153677","0.358941288320679","0.448222555986675"
"Almost never or never","1984","Part Time","in school","3","","",""
"Almost never or never","1984","Part Time","inadequately","102","0.816984335882742","0.748369319452916","0.885599352312568"
"Almost never or never","1984","Part Time","general elemantary","376","0.706382998108289","0.667935823754232","0.744830172462346"
"Almost never or never","1984","Part Time","middle vocational","484","0.559138136661802","0.526070742789959","0.592205530533644"
"Almost never or never","1984","Part Time","vocational + Abi","20","","",""
"Almost never or never","1984","Part Time","higher vocational","53","0.503897989789335","0.408716616908842","0.599079362669829"
"Almost never or never","1984","Part Time","higher education","61","0.365827268350848","0.292110211762841","0.439544324938855"
"Almost never or never","1984","Not Working","in school","45","0.261254312333307","0.196716044783562","0.325792579883051"
"Almost never or never","1984","Not Working","inadequately","332","0.7970046742183","0.756294223529904","0.837715124906696"
"Almost never or never","1984","Not Working","general elemantary","1344","0.810539139093979","0.792078518118131","0.828999760069826"
"Almost never or never","1984","Not Working","middle vocational","1280","0.724230708295585","0.703771996796965","0.744689419794204"
"Almost never or never","1984","Not Working","vocational + Abi","42","0.566350511968266","0.457754177799496","0.674946846137035"
"Almost never or never","1984","Not Working","higher vocational","121","0.713289643175396","0.646288268017982","0.780291018332811"
"Almost never or never","1984","Not Working","higher education","85","0.582452592976989","0.50506542051817","0.659839765435809"
"Several times a year","1984","Full Time","in school","1","","",""
"Several times a year","1984","Full Time","inadequately","57","0.123276423606963","0.0947722143930178","0.151780632820908"
"Several times a year","1984","Full Time","general elemantary","203","0.180800031243949","0.15847925709091","0.203120805396987"
"Several times a year","1984","Full Time","middle vocational","651","0.218733863949869","0.20376814123474","0.233699586664997"
"Several times a year","1984","Full Time","vocational + Abi","44","0.238767153008389","0.176312093584755","0.301222212432023"
"Several times a year","1984","Full Time","higher vocational","99","0.258827758021212","0.213771016900954","0.303884499141469"
"Several times a year","1984","Full Time","higher education","130","0.274588612464836","0.233979588961144","0.315197635968529"
"Several times a year","1984","Part Time","in school","2","","",""
"Several times a year","1984","Part Time","inadequately","17","","",""
"Several times a year","1984","Part Time","general elemantary","83","0.142006817378477","0.112538847036855","0.171474787720099"
"Several times a year","1984","Part Time","middle vocational","201","0.221855660908559","0.194182773024783","0.249528548792335"
"Several times a year","1984","Part Time","vocational + Abi","15","","",""
"Several times a year","1984","Part Time","higher vocational","24","","",""
"Several times a year","1984","Part Time","higher education","55","0.322345371782091","0.250814899762295","0.393875843801887"
"Several times a year","1984","Not Working","in school","45","0.238093400600129","0.175523907516541","0.300662893683717"
"Several times a year","1984","Not Working","inadequately","22","","",""
"Several times a year","1984","Not Working","general elemantary","198","0.0961279677992629","0.0822419437859374","0.110013991812588"
"Several times a year","1984","Not Working","middle vocational","272","0.13287862259997","0.117339218380884","0.148418026819055"
"Several times a year","1984","Not Working","vocational + Abi","18","","",""
"Several times a year","1984","Not Working","higher vocational","30","0.162778278256316","0.108083289707455","0.217473266805176"
"Several times a year","1984","Not Working","higher education","34","0.191199416303114","0.129490232691527","0.2529085999147"
"At least once a month","1984","Full Time","in school","","","",""
"At least once a month","1984","Full Time","inadequately","26","","",""
"At least once a month","1984","Full Time","general elemantary","157","0.164435461448626","0.14293722773787","0.185933695159382"
"At least once a month","1984","Full Time","middle vocational","635","0.228083177883591","0.212892678122064","0.243273677645118"
"At least once a month","1984","Full Time","vocational + Abi","39","0.274410307947382","0.209041985720826","0.339778630173938"
"At least once a month","1984","Full Time","higher vocational","85","0.237713486680568","0.193922895565569","0.281504077795567"
"At least once a month","1984","Full Time","higher education","151","0.321829465381487","0.279321388157889","0.364337542605085"
"At least once a month","1984","Part Time","in school","3","","",""
"At least once a month","1984","Part Time","inadequately","3","","",""
"At least once a month","1984","Part Time","general elemantary","80","0.151610184513234","0.121332990779154","0.181887378247314"
"At least once a month","1984","Part Time","middle vocational","181","0.219006202429639","0.191461305937565","0.246551098921714"
"At least once a month","1984","Part Time","vocational + Abi","16","","",""
"At least once a month","1984","Part Time","higher vocational","29","","",""
"At least once a month","1984","Part Time","higher education","48","0.311827359867061","0.240929687526783","0.38272503220734"
"At least once a month","1984","Not Working","in school","88","0.500652287066564","0.427199593786547","0.574104980346581"
"At least once a month","1984","Not Working","inadequately","21","","",""
"At least once a month","1984","Not Working","general elemantary","189","0.0933328931067584","0.0796290981691355","0.107036688044381"
"At least once a month","1984","Not Working","middle vocational","281","0.142890669104446","0.126869769274892","0.158911568933999"
"At least once a month","1984","Not Working","vocational + Abi","20","","",""
"At least once a month","1984","Not Working","higher vocational","24","","",""
"At least once a month","1984","Not Working","higher education","37","0.226347990719897","0.160681026013406","0.292014955426387"
"At lease once a week","1984","Full Time","in school","","","",""
"At lease once a week","1984","Full Time","inadequately","","","",""
"At lease once a week","1984","Full Time","general elemantary","","","",""
"At lease once a week","1984","Full Time","middle vocational","","","",""
"At lease once a week","1984","Full Time","vocational + Abi","","","",""
"At lease once a week","1984","Full Time","higher vocational","","","",""
"At lease once a week","1984","Full Time","higher education","","","",""
"At lease once a week","1984","Part Time","in school","","","",""
"At lease once a week","1984","Part Time","inadequately","","","",""
