"m11104","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","Schleswig-Holstein","Male","96","0.513982470531981","0.442727148126163","0.585237792937799","1"
"Almost never or never","1984","Schleswig-Holstein","Female","124","0.646081330937848","0.579306882416408","0.712855779459287","1"
"Almost never or never","1984","Hamburg","Male","90","0.614280866719049","0.536122757929994","0.692438975508104","1"
"Almost never or never","1984","Hamburg","Female","102","0.624756489816847","0.548776754753019","0.700736224880675","1"
"Almost never or never","1984","Lower Saxony","Male","336","0.578861786991372","0.539189304820633","0.618534269162112","1"
"Almost never or never","1984","Lower Saxony","Female","413","0.669887985929407","0.632722287997837","0.707053683860977","1"
"Almost never or never","1984","Bremen","Male","46","0.741113100086407","0.632951003033041","0.849275197139772","1"
"Almost never or never","1984","Bremen","Female","52","0.734533110434904","0.629577779122225","0.839488441747583","1"
"Almost never or never","1984","North Rhine-Westphalia","Male","914","0.573142189426359","0.548891029872034","0.597393348980684","1"
"Almost never or never","1984","North Rhine-Westphalia","Female","1153","0.699826974439728","0.677528764426625","0.722125184452831","1"
"Almost never or never","1984","Hesse","Male","366","0.589443795476067","0.550876819033763","0.628010771918372","1"
"Almost never or never","1984","Hesse","Female","431","0.690227875058691","0.65377168597159","0.726684064145792","1"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","Male","245","0.606125760983194","0.559229283464851","0.653022238501538","1"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","Female","316","0.730673330151099","0.688889769018999","0.7724568912832","1"
"Almost never or never","1984","Baden-Württemberg","Male","700","0.622700143920991","0.594274892985996","0.651125394855986","1"
"Almost never or never","1984","Baden-Württemberg","Female","825","0.705929632986222","0.679198194375604","0.732661071596839","1"
"Almost never or never","1984","Bavaria","Male","528","0.545459931653804","0.514253351582297","0.576666511725312","1"
"Almost never or never","1984","Bavaria","Female","724","0.666864189564018","0.638714760064853","0.695013619063184","1"
"Almost never or never","1984","Berlin","Male","97","0.521586495201787","0.451293490073231","0.591879500330342","1"
"Almost never or never","1984","Berlin","Female","146","0.710149220821792","0.648787082236333","0.771511359407252","1"
"Almost never or never","1984","Brandenburg","Male","","","","","1"
"Almost never or never","1984","Brandenburg","Female","","","","","1"
"Almost never or never","1984","Mecklenburg-Western Pomerania","Male","","","","","1"
"Almost never or never","1984","Mecklenburg-Western Pomerania","Female","","","","","1"
"Almost never or never","1984","Saxony","Male","","","","","1"
"Almost never or never","1984","Saxony","Female","","","","","1"
"Almost never or never","1984","Saxony-Anhalt","Male","","","","","1"
"Almost never or never","1984","Saxony-Anhalt","Female","","","","","1"
"Almost never or never","1984","Thuringia","Male","","","","","1"
"Almost never or never","1984","Thuringia","Female","","","","","1"
"At lease once a week","1984","Hesse","Male","","","","","4"
"At lease once a week","1984","Schleswig-Holstein","Male","","","","","4"
"At lease once a week","1984","Hesse","Female","","","","","4"
"At lease once a week","1984","Hamburg","Male","","","","","4"
"At lease once a week","1984","Rhineland-Palatinate,Saarland","Male","","","","","4"
"At lease once a week","1984","Schleswig-Holstein","Female","","","","","4"
"At lease once a week","1984","Hamburg","Female","","","","","4"
"At lease once a week","1984","Rhineland-Palatinate,Saarland","Female","","","","","4"
"At lease once a week","1984","Baden-Württemberg","Male","","","","","4"
"At lease once a week","1984","Baden-Württemberg","Female","","","","","4"
"At lease once a week","1984","Bremen","Male","","","","","4"
"At lease once a week","1984","Lower Saxony","Male","","","","","4"
"At lease once a week","1984","Lower Saxony","Female","","","","","4"
"At lease once a week","1984","Bremen","Female","","","","","4"
"At lease once a week","1984","Bavaria","Male","","","","","4"
"At lease once a week","1984","North Rhine-Westphalia","Male","","","","","4"
"At lease once a week","1984","Bavaria","Female","","","","","4"
"At lease once a week","1984","Berlin","Male","","","","","4"
"At lease once a week","1984","Berlin","Female","","","","","4"
"At lease once a week","1984","Brandenburg","Male","","","","","4"
"At lease once a week","1984","North Rhine-Westphalia","Female","","","","","4"
"At lease once a week","1984","Brandenburg","Female","","","","","4"
"At lease once a week","1984","Mecklenburg-Western Pomerania","Male","","","","","4"
"At lease once a week","1984","Mecklenburg-Western Pomerania","Female","","","","","4"
"At lease once a week","1984","Saxony","Male","","","","","4"
"At lease once a week","1984","Saxony","Female","","","","","4"
"At lease once a week","1984","Saxony-Anhalt","Male","","","","","4"
"At lease once a week","1984","Saxony-Anhalt","Female","","","","","4"
"At lease once a week","1984","Thuringia","Male","","","","","4"
"At lease once a week","1984","Thuringia","Female","","","","","4"
"At least once a month","1984","Lower Saxony","Female","105","0.174907138248917","0.144883334328837","0.204930942168997","3"
"At least once a month","1984","Lower Saxony","Male","135","0.222166605543638","0.188764619498916","0.25556859158836","3"
"At least once a month","1984","Schleswig-Holstein","Female","42","0.206557809876673","0.15002592929609","0.263089690457256","3"
"At least once a month","1984","Hamburg","Female","25","","","","3"
"At least once a month","1984","Hamburg","Male","31","0.206861434716099","0.141823123367483","0.271899746064716","3"
"At least once a month","1984","Bremen","Male","8","","","","3"
"At least once a month","1984","Schleswig-Holstein","Male","54","0.274892743914781","0.211242517530039","0.338542970299523","3"
"At least once a month","1984","Bremen","Female","10","","","","3"
"At least once a month","1984","North Rhine-Westphalia","Male","335","0.211800798539964","0.191768005912398","0.23183359116753","3"
"At least once a month","1984","North Rhine-Westphalia","Female","218","0.151534705186443","0.134090068590213","0.168979341782672","3"
"At least once a month","1984","Hesse","Male","150","0.250656390748821","0.216679160189327","0.284633621308314","3"
"At least once a month","1984","Hesse","Female","82","0.162699331678169","0.133599702354742","0.191798961001597","3"
"At least once a month","1984","Rhineland-Palatinate,Saarland","Male","98","0.22340931782793","0.183430790470918","0.263387845184943","3"
"At least once a month","1984","Thuringia","Male","","","","","3"
"At least once a month","1984","Saxony-Anhalt","Female","","","","","3"
"At least once a month","1984","Baden-Württemberg","Male","208","0.192388929401248","0.169272929965901","0.215504928836596","3"
"At least once a month","1984","Baden-Württemberg","Female","111","0.118354796916491","0.0994027618858164","0.137306831947166","3"
"At least once a month","1984","Rhineland-Palatinate,Saarland","Female","63","0.147440184061301","0.114045717958223","0.180834650164379","3"
"At least once a month","1984","Saxony-Anhalt","Male","","","","","3"
"At least once a month","1984","Thuringia","Female","","","","","3"
"At least once a month","1984","Bavaria","Male","222","0.231528354670636","0.205092419372588","0.257964289968683","3"
"At least once a month","1984","Bavaria","Female","152","0.153785701208905","0.1322411030744","0.175330299343411","3"
"At least once a month","1984","Berlin","Male","44","0.243861917493807","0.183436484095499","0.304287350892116","3"
"At least once a month","1984","Berlin","Female","25","","","","3"
"At least once a month","1984","Brandenburg","Male","","","","","3"
"At least once a month","1984","Brandenburg","Female","","","","","3"
"At least once a month","1984","Mecklenburg-Western Pomerania","Male","","","","","3"
"At least once a month","1984","Mecklenburg-Western Pomerania","Female","","","","","3"
"At least once a month","1984","Saxony","Male","","","","","3"
"At least once a month","1984","Saxony","Female","","","","","3"
