"m11104","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","Not Employed","1-pers.-HH","509","0.823272407976987","0.793743795765965","0.852801020188009","1"
"Almost never or never","1984","Not Employed","(Married) couple without C. ","949","0.813964743408725","0.791657738582473","0.836271748234978","1"
"Almost never or never","1984","Not Employed","Single parent ","152","0.679770136701031","0.618941815974143","0.740598457427919","1"
"Almost never or never","1984","Not Employed","Couple + C. LE 16 ","622","0.658727849799918","0.627347937086437","0.690107762513399","1"
"Almost never or never","1984","Not Employed","Couple + C. GT 16 ","384","0.581596261678462","0.544382395988453","0.618810127368471","1"
"Almost never or never","1984","Not Employed","Couple + C. LE and GT 16","361","0.577890945040164","0.538206081869009","0.61757580821132","1"
"Almost never or never","1984","Employed","1-pers.-HH","369","0.52854350006052","0.490857562454107","0.566229437666934","1"
"Almost never or never","1984","Employed","(Married) couple without C. ","907","0.601649732657013","0.576741921690374","0.626557543623652","1"
"Almost never or never","1984","Employed","Single parent ","201","0.561740294621428","0.50975893569167","0.613721653551185","1"
"Almost never or never","1984","Employed","Couple + C. LE 16 ","1274","0.540158852391729","0.519170249582332","0.561147455201125","1"
"Almost never or never","1984","Employed","Couple + C. GT 16 ","749","0.560520760188502","0.533288242944453","0.587753277432552","1"
"Almost never or never","1984","Employed","Couple + C. LE and GT 16","674","0.56665387495591","0.537316638302677","0.595991111609143","1"
"At lease once a week","1984","Not Employed","1-pers.-HH","","","","","4"
"At lease once a week","1984","Not Employed","(Married) couple without C. ","","","","","4"
"At lease once a week","1984","Not Employed","Single parent ","","","","","4"
"At lease once a week","1984","Not Employed","Couple + C. LE 16 ","","","","","4"
"At lease once a week","1984","Not Employed","Couple + C. GT 16 ","","","","","4"
"At lease once a week","1984","Not Employed","Couple + C. LE and GT 16","","","","","4"
"At lease once a week","1984","Employed","1-pers.-HH","","","","","4"
"At lease once a week","1984","Employed","(Married) couple without C. ","","","","","4"
"At lease once a week","1984","Employed","Single parent ","","","","","4"
"At lease once a week","1984","Employed","Couple + C. LE 16 ","","","","","4"
"At lease once a week","1984","Employed","Couple + C. GT 16 ","","","","","4"
"At lease once a week","1984","Employed","Couple + C. LE and GT 16","","","","","4"
"At least once a month","1984","Employed","(Married) couple without C. ","300","0.211781344439981","0.190994031898497","0.232568656981465","3"
"At least once a month","1984","Not Employed","(Married) couple without C. ","106","0.09245703298192","0.0758518215620579","0.109062244401782","3"
"At least once a month","1984","Not Employed","Couple + C. LE 16 ","115","0.164963361881099","0.140399603930063","0.189527119832134","3"
"At least once a month","1984","Employed","1-pers.-HH","175","0.280505764036748","0.246589914709774","0.314421613363721","3"
"At least once a month","1984","Not Employed","1-pers.-HH","68","0.0908896083156445","0.0686368165885223","0.113142400042767","3"
"At least once a month","1984","Not Employed","Single parent ","43","0.190025844542397","0.138877004643396","0.241174684441398","3"
"At least once a month","1984","Not Employed","Couple + C. GT 16 ","156","0.216774764447112","0.185690263298568","0.247859265595655","3"
"At least once a month","1984","Not Employed","Couple + C. LE and GT 16","133","0.261890307221146","0.22656306183782","0.297217552604471","3"
"At least once a month","1984","Employed","Couple + C. LE 16 ","385","0.215819988118199","0.198495014531586","0.233144961704812","3"
