"m11104","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","1-pers.-HH","878","0.704410760078984","0.67974795243703","0.729073567720937"
"Almost never or never","1984","(Married) couple without C. ","1856","0.710344875985785","0.693084323217605","0.727605428753966"
"Almost never or never","1984","Single parent ","353","0.611843661437734","0.572045736993054","0.651641585882414"
"Almost never or never","1984","Couple + C. LE 16 ","1896","0.573843273670357","0.556273003627698","0.591413543713016"
"Almost never or never","1984","Couple + C. GT 16 ","1133","0.568197068199509","0.546217875131128","0.590176261267891"
"Almost never or never","1984","Couple + C. LE and GT 16","1035","0.570539847548154","0.546946980787509","0.594132714308798"
"Several times a year","1984","1-pers.-HH","194","0.128229057692471","0.110158163853255","0.146299951531686"
"Several times a year","1984","(Married) couple without C. ","391","0.138962126981325","0.125799613782158","0.152124640180493"
"Several times a year","1984","Single parent ","106","0.180099966281655","0.148718436029067","0.211481496534243"
"Several times a year","1984","Couple + C. LE 16 ","647","0.22478466355809","0.209952939686925","0.239616387429256"
"Several times a year","1984","Couple + C. GT 16 ","412","0.218149894569906","0.199824273186809","0.236475515953003"
"Several times a year","1984","Couple + C. LE and GT 16","326","0.200317061575369","0.18124076029429","0.219393362856448"
"At least once a month","1984","1-pers.-HH","243","0.167360182228545","0.147183959087145","0.187536405369946"
"At least once a month","1984","(Married) couple without C. ","406","0.150692997032889","0.137079855689941","0.164306138375837"
"At least once a month","1984","Single parent ","117","0.208056372280611","0.174907062167378","0.241205682393845"
"At least once a month","1984","Couple + C. LE 16 ","500","0.201372062771553","0.187123568456365","0.21562055708674"
"At least once a month","1984","Couple + C. GT 16 ","406","0.213653037230585","0.195465198334419","0.23184087612675"
"At least once a month","1984","Couple + C. LE and GT 16","330","0.229143090876477","0.209111448630693","0.249174733122262"
"At lease once a week","1984","1-pers.-HH","","","",""
"At lease once a week","1984","(Married) couple without C. ","","","",""
"At lease once a week","1984","Single parent ","","","",""
"At lease once a week","1984","Couple + C. LE 16 ","","","",""
"At lease once a week","1984","Couple + C. GT 16 ","","","",""
"At lease once a week","1984","Couple + C. LE and GT 16","","","",""
"Almost never or never","1985","1-pers.-HH","737","0.672651814220072","0.645694803647646","0.699608824792498"
"Almost never or never","1985","(Married) couple without C. ","1569","0.66366088817403","0.64473536837531","0.68258640797275"
"Almost never or never","1985","Single parent ","308","0.55705992293312","0.515124873988958","0.598994971877281"
"Almost never or never","1985","Couple + C. LE 16 ","1492","0.493958257199377","0.474929973082657","0.512986541316097"
"Almost never or never","1985","Couple + C. GT 16 ","1075","0.520393244900487","0.498542074302776","0.542244415498197"
"Almost never or never","1985","Couple + C. LE and GT 16","852","0.493260773865145","0.467789668919441","0.518731878810848"
"Several times a year","1985","1-pers.-HH","103","0.0743591453711036","0.0592875213011288","0.0894307694410785"
"Several times a year","1985","(Married) couple without C. ","266","0.108417165531538","0.0959629639272698","0.120871367135806"
"Several times a year","1985","Single parent ","74","0.142072501290077","0.112598844917555","0.1715461576626"
"Several times a year","1985","Couple + C. LE 16 ","426","0.179769648163873","0.165155031336103","0.194384264991642"
"Several times a year","1985","Couple + C. GT 16 ","274","0.131823125042729","0.117026381554221","0.146619868531237"
"Several times a year","1985","Couple + C. LE and GT 16","215","0.165301953130054","0.146377605183158","0.184226301076949"
"At least once a month","1985","1-pers.-HH","47","0.0353946108778662","0.0247797327105328","0.0460094890451997"
"At least once a month","1985","(Married) couple without C. ","98","0.0380784381316334","0.0304119686510483","0.0457449076122186"
"At least once a month","1985","Single parent ","30","0.0533367958180204","0.0343669012164939","0.0723066904195468"
"At least once a month","1985","Couple + C. LE 16 ","137","0.0540772620308556","0.0454693759430451","0.0626851481186661"
"At least once a month","1985","Couple + C. GT 16 ","123","0.0657661742875738","0.054924525853293","0.0766078227218547"
"At least once a month","1985","Couple + C. LE and GT 16","71","0.0562610703421289","0.0445216362067435","0.0680005044775143"
"At lease once a week","1985","1-pers.-HH","277","0.217594429530958","0.193890985379312","0.241297873682604"
"At lease once a week","1985","(Married) couple without C. ","461","0.189843508162799","0.174133791526517","0.20555322479908"
"At lease once a week","1985","Single parent ","127","0.247530779958782","0.211096290911311","0.283965269006254"
"At lease once a week","1985","Couple + C. LE 16 ","597","0.272194832605895","0.255255010836458","0.289134654375333"
"At lease once a week","1985","Couple + C. GT 16 ","536","0.282017455769211","0.262335820710236","0.301699090828185"
"At lease once a week","1985","Couple + C. LE and GT 16","342","0.285176202662673","0.262173790799016","0.308178614526329"
"Almost never or never","1986","1-pers.-HH","676","0.660086064797157","0.632220274243829","0.687951855350485"
"Almost never or never","1986","(Married) couple without C. ","1505","0.659835380266905","0.640696909568368","0.678973850965442"
"Almost never or never","1986","Single parent ","268","0.52443416219015","0.480834448760607","0.568033875619693"
"Almost never or never","1986","Couple + C. LE 16 ","1345","0.493910728527939","0.473891723921572","0.513929733134306"
"Almost never or never","1986","Couple + C. GT 16 ","1103","0.512016522407743","0.490550676736654","0.533482368078831"
"Almost never or never","1986","Couple + C. LE and GT 16","783","0.510564725934349","0.484304315481404","0.536825136387293"
"Several times a year","1986","1-pers.-HH","112","0.0875720394061061","0.0709429439525791","0.104201134859633"
"Several times a year","1986","(Married) couple without C. ","218","0.0823402831460619","0.0712359655754437","0.0934446007166802"
"Several times a year","1986","Single parent ","59","0.116573387881794","0.0885566368544087","0.144590138909179"
"Several times a year","1986","Couple + C. LE 16 ","365","0.174385892160302","0.159192704201133","0.189579080119471"
"Several times a year","1986","Couple + C. GT 16 ","280","0.136907209518566","0.12214520411987","0.151669214917262"
"Several times a year","1986","Couple + C. LE and GT 16","181","0.149833099628033","0.131083825810723","0.168582373445342"
"At least once a month","1986","1-pers.-HH","58","0.0428144061057291","0.0309052869515807","0.0547235252598775"
"At least once a month","1986","(Married) couple without C. ","106","0.0423542835769253","0.034218564072435","0.0504900030814155"
"At least once a month","1986","Single parent ","30","0.0532504434291517","0.0336479195176602","0.0728529673406431"
"At least once a month","1986","Couple + C. LE 16 ","160","0.0736907632674922","0.0632293776987146","0.0841521488362699"
"At least once a month","1986","Couple + C. GT 16 ","122","0.0651832379888505","0.0545825349967292","0.0757839409809717"
"At least once a month","1986","Couple + C. LE and GT 16","67","0.050289083607644","0.0388085770953578","0.0617695901199301"
"At lease once a week","1986","1-pers.-HH","264","0.209527489691008","0.185586037344188","0.233468942037828"
"At lease once a week","1986","(Married) couple without C. ","525","0.215470053010108","0.198861068347256","0.23207903767296"
"At lease once a week","1986","Single parent ","147","0.305742006498904","0.265519343259177","0.345964669738632"
"At lease once a week","1986","Couple + C. LE 16 ","526","0.258012616044267","0.240493047128933","0.2755321849596"
"At lease once a week","1986","Couple + C. GT 16 ","578","0.285893030084841","0.266489226231593","0.305296833938088"
"At lease once a week","1986","Couple + C. LE and GT 16","361","0.289313090829975","0.265492546918606","0.313133634741343"
"Almost never or never","1987","1-pers.-HH","","","",""
"Almost never or never","1987","(Married) couple without C. ","","","",""
"Almost never or never","1987","Single parent ","","","",""
"Almost never or never","1987","Couple + C. LE 16 ","","","",""
"Almost never or never","1987","Couple + C. GT 16 ","","","",""
"Almost never or never","1987","Couple + C. LE and GT 16","","","",""
"Several times a year","1987","1-pers.-HH","","","",""
"Several times a year","1987","(Married) couple without C. ","","","",""
"Several times a year","1987","Single parent ","","","",""
"Several times a year","1987","Couple + C. LE 16 ","","","",""
"Several times a year","1987","Couple + C. GT 16 ","","","",""
"Several times a year","1987","Couple + C. LE and GT 16","","","",""
"At least once a month","1987","1-pers.-HH","","","",""
"At least once a month","1987","(Married) couple without C. ","","","",""
"At least once a month","1987","Single parent ","","","",""
"At least once a month","1987","Couple + C. LE 16 ","","","",""
"At least once a month","1987","Couple + C. GT 16 ","","","",""
"At least once a month","1987","Couple + C. LE and GT 16","","","",""
"At lease once a week","1987","1-pers.-HH","","","",""
"At lease once a week","1987","(Married) couple without C. ","","","",""
"At lease once a week","1987","Single parent ","","","",""
"At lease once a week","1987","Couple + C. LE 16 ","","","",""
"At lease once a week","1987","Couple + C. GT 16 ","","","",""
"At lease once a week","1987","Couple + C. LE and GT 16","","","",""
"Almost never or never","1988","1-pers.-HH","668","0.654353390654611","0.625655882348187","0.683050898961036"
"Almost never or never","1988","(Married) couple without C. ","1409","0.627522253346221","0.607603115115416","0.647441391577025"
"Almost never or never","1988","Single parent ","260","0.518198822082078","0.474790665870951","0.561606978293205"
"Almost never or never","1988","Couple + C. LE 16 ","1201","0.476437597811822","0.455628913430908","0.497246282192736"
"Almost never or never","1988","Couple + C. GT 16 ","1121","0.494111186906193","0.473128546425044","0.515093827387342"
"Almost never or never","1988","Couple + C. LE and GT 16","595","0.478582315126568","0.448817330521471","0.508347299731664"
"Several times a year","1988","1-pers.-HH","105","0.0926936966894965","0.0751942657384994","0.110193127640494"
"Several times a year","1988","(Married) couple without C. ","251","0.106343472141514","0.0936422196927283","0.1190447245903"
"Several times a year","1988","Single parent ","78","0.159978273988893","0.128131535431699","0.191825012546086"
"Several times a year","1988","Couple + C. LE 16 ","379","0.191115387809119","0.174734082715169","0.207496692903069"
"Several times a year","1988","Couple + C. GT 16 ","306","0.151210470790855","0.136175201959375","0.166245739622336"
"Several times a year","1988","Couple + C. LE and GT 16","141","0.148251478643454","0.127078124008917","0.16942483327799"
"At least once a month","1988","1-pers.-HH","50","0.0437570406493671","0.0314137783604749","0.0561003029382594"
"At least once a month","1988","(Married) couple without C. ","91","0.03787035298713","0.0300058317555855","0.0457348742186745"
"At least once a month","1988","Single parent ","29","","",""
"At least once a month","1988","Couple + C. LE 16 ","135","0.0700758479666798","0.0594401663369854","0.0807115295963742"
"At least once a month","1988","Couple + C. GT 16 ","137","0.0667832121240073","0.0563060133957032","0.0772604108523115"
"At least once a month","1988","Couple + C. LE and GT 16","53","0.055409851392476","0.0417781627080156","0.0690415400769365"
"At lease once a week","1988","1-pers.-HH","232","0.209195872006525","0.184652576281387","0.233739167731663"
"At lease once a week","1988","(Married) couple without C. ","512","0.228263921525135","0.210971378973155","0.245556464077116"
"At lease once a week","1988","Single parent ","142","0.263224167983986","0.224966387896625","0.301481948071347"
"At lease once a week","1988","Couple + C. LE 16 ","498","0.262371166412379","0.244042351762096","0.280699981062663"
"At lease once a week","1988","Couple + C. GT 16 ","617","0.287895130178944","0.268892689060935","0.306897571296954"
"At lease once a week","1988","Couple + C. LE and GT 16","293","0.317756354837502","0.290013488303108","0.345499221371897"
"Almost never or never","1989","1-pers.-HH","","","",""
"Almost never or never","1989","(Married) couple without C. ","","","",""
"Almost never or never","1989","Single parent ","","","",""
"Almost never or never","1989","Couple + C. LE 16 ","","","",""
"Almost never or never","1989","Couple + C. GT 16 ","","","",""
"Almost never or never","1989","Couple + C. LE and GT 16","","","",""
"Several times a year","1989","1-pers.-HH","","","",""
"Several times a year","1989","(Married) couple without C. ","","","",""
"Several times a year","1989","Single parent ","","","",""
"Several times a year","1989","Couple + C. LE 16 ","","","",""
"Several times a year","1989","Couple + C. GT 16 ","","","",""
"Several times a year","1989","Couple + C. LE and GT 16","","","",""
"At least once a month","1989","1-pers.-HH","","","",""
"At least once a month","1989","(Married) couple without C. ","","","",""
"At least once a month","1989","Single parent ","","","",""
"At least once a month","1989","Couple + C. LE 16 ","","","",""
"At least once a month","1989","Couple + C. GT 16 ","","","",""
"At least once a month","1989","Couple + C. LE and GT 16","","","",""
"At lease once a week","1989","1-pers.-HH","","","",""
"At lease once a week","1989","(Married) couple without C. ","","","",""
"At lease once a week","1989","Single parent ","","","",""
"At lease once a week","1989","Couple + C. LE 16 ","","","",""
