"m11104","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","Full Time","3332","0.555245772881624","0.542253575618176","0.568237970145072","1"
"Almost never or never","1984","Part Time","1105","0.578927202139075","0.55650737629253","0.60134702798562","1"
"Almost never or never","1984","Not Working","3267","0.735802512013543","0.722998417375844","0.748606606651242","1"
"At lease once a week","1984","Full Time","","","","","4"
"At lease once a week","1984","Part Time","","","","","4"
"At lease once a week","1984","Not Working","","","","","4"
"At least once a month","1984","Full Time","1095","0.224696999245115","0.213784749374605","0.235609249115626","3"
"At least once a month","1984","Not Working","662","0.138544609888709","0.128511972545491","0.148577247231927","3"
"At least once a month","1984","Part Time","361","0.211075345959389","0.192545228063328","0.22960546385545","3"
"Several times a year","1984","Full Time","1193","0.220057227873261","0.209225964383081","0.23088849136344","2"
"Several times a year","1984","Part Time","397","0.209997451901536","0.191502086231001","0.228492817572071","2"
"Several times a year","1984","Not Working","626","0.125652878097748","0.116027183838351","0.135278572357145","2"
"Almost never or never","1985","Full Time","2660","0.482120054976411","0.468181791405149","0.496058318547674","1"
"Almost never or never","1985","Part Time","979","0.506312100512804","0.483523637743684","0.529100563281924","1"
"Almost never or never","1985","Not Working","2865","0.711672051202579","0.697911741393177","0.725432361011981","1"
"At lease once a week","1985","Full Time","1223","0.287925687634779","0.275295221075514","0.300556154194044","4"
"At lease once a week","1985","Part Time","484","0.28745071111383","0.266822157193194","0.308079265034467","4"
"At lease once a week","1985","Not Working","763","0.175055959792326","0.16351224519935","0.186599674385301","4"
"At least once a month","1985","Full Time","284","0.0614130388852279","0.0547159805832871","0.0681100971871687","3"
"At least once a month","1985","Part Time","99","0.0500343452967809","0.0400970613810027","0.0599716292125592","3"
"At least once a month","1985","Not Working","159","0.0354169220575716","0.0298023053618734","0.0410315387532697","3"
"Several times a year","1985","Part Time","287","0.156202843076585","0.139654933791157","0.172750752362013","2"
"Several times a year","1985","Full Time","770","0.168541218503582","0.158099067857523","0.178983369149641","2"
"Several times a year","1985","Not Working","376","0.0778550669475236","0.0697157507762744","0.0859943831187727","2"
"Almost never or never","1986","Full Time","2522","0.470584754514586","0.456493757585187","0.484675751443984","1"
"Almost never or never","1986","Part Time","945","0.485783440481567","0.462827901168529","0.508738979794606","1"
"Almost never or never","1986","Not Working","2671","0.725801385807514","0.711775244265155","0.739827527349874","1"
"At lease once a week","1986","Full Time","1247","0.29348248920463","0.280627339637238","0.306337638772023","4"
"At lease once a week","1986","Part Time","511","0.30209639267985","0.281007022530612","0.323185762829089","4"
"At lease once a week","1986","Not Working","785","0.17892988781066","0.166878744265018","0.190981031356301","4"
"At least once a month","1986","Part Time","101","0.0607765174981463","0.0498030092369509","0.0717500257593418","3"
"At least once a month","1986","Full Time","332","0.0729488677208729","0.0656073526624952","0.0802903827792507","3"
"At least once a month","1986","Not Working","134","0.0303960563916166","0.0249984339816112","0.035793678801622","3"
"Several times a year","1986","Full Time","719","0.162983888559911","0.152556781843787","0.173410995276035","2"
"Several times a year","1986","Part Time","264","0.151343649340436","0.134883220265612","0.16780407841526","2"
"Several times a year","1986","Not Working","296","0.0648726699902093","0.0571287126087857","0.0726166273716328","2"
"Almost never or never","1987","Full Time","","","","","1"
"Almost never or never","1987","Part Time","","","","","1"
"Almost never or never","1987","Not Working","","","","","1"
"At lease once a week","1987","Full Time","","","","","4"
"At lease once a week","1987","Part Time","","","","","4"
"At lease once a week","1987","Not Working","","","","","4"
"At least once a month","1987","Full Time","","","","","3"
"At least once a month","1987","Part Time","","","","","3"
"At least once a month","1987","Not Working","","","","","3"
"Several times a year","1987","Full Time","","","","","2"
"Several times a year","1987","Part Time","","","","","2"
"Several times a year","1987","Not Working","","","","","2"
"Almost never or never","1988","Full Time","2324","0.454513151518386","0.440061048822787","0.468965254213985","1"
"Almost never or never","1988","Part Time","948","0.49657437903695","0.473654104955688","0.519494653118211","1"
"Almost never or never","1988","Not Working","2371","0.699233501448557","0.68409889246353","0.714368110433585","1"
"At lease once a week","1988","Full Time","1194","0.293680771303237","0.280461608826919","0.306899933779554","4"
"At lease once a week","1988","Part Time","514","0.295465717100551","0.274550392494049","0.316381041707054","4"
"At lease once a week","1988","Not Working","711","0.185167605595704","0.172348373525103","0.197986837666305","4"
"At least once a month","1988","Full Time","298","0.0732394042037741","0.0656776622813273","0.0808011461262209","3"
"At least once a month","1988","Part Time","100","0.0548512469842404","0.0444135825405443","0.0652889114279364","3"
"At least once a month","1988","Not Working","123","0.0321959514181109","0.0263703641805697","0.0380215386556522","3"
"Several times a year","1988","Full Time","744","0.178566672974603","0.167450583528823","0.189682762420383","2"
"Several times a year","1988","Part Time","266","0.153108656878259","0.136601445389403","0.169615868367115","2"
"Several times a year","1988","Not Working","322","0.0834029415376277","0.074278101185547","0.0925277818897083","2"
"Almost never or never","1989","Full Time","","","","","1"
"Almost never or never","1989","Part Time","","","","","1"
"Almost never or never","1989","Not Working","","","","","1"
"At lease once a week","1989","Full Time","","","","","4"
"At lease once a week","1989","Not Working","","","","","4"
"At lease once a week","1989","Part Time","","","","","4"
"At least once a month","1989","Full Time","","","","","3"
"At least once a month","1989","Part Time","","","","","3"
"At least once a month","1989","Not Working","","","","","3"
"Several times a year","1989","Full Time","","","","","2"
"Several times a year","1989","Part Time","","","","","2"
"Several times a year","1989","Not Working","","","","","2"
"Almost never or never","1990","Full Time","1633","0.301860465083198","0.288317736918877","0.315403193247518","1"
"Almost never or never","1990","Part Time","637","0.316841581357246","0.294860985854857","0.338822176859634","1"
"Almost never or never","1990","Not Working","1983","0.611490767127206","0.594911143276708","0.628070390977705","1"
"At lease once a week","1990","Full Time","1317","0.332621994918199","0.318722681331553","0.346521308504845","4"
"At lease once a week","1990","Not Working","731","0.216787184671807","0.202770808506989","0.230803560836624","4"
"At lease once a week","1990","Part Time","550","0.343702625750139","0.32126383677874","0.366141414721538","4"
"At least once a month","1990","Full Time","461","0.113036608705466","0.103695588019192","0.12237762939174","3"
"At least once a month","1990","Part Time","165","0.102996852242445","0.088636449650653","0.117357254834237","3"
"At least once a month","1990","Not Working","179","0.0501912005428581","0.0427642430981684","0.0576181579875478","3"
"Several times a year","1990","Full Time","1003","0.252480931293138","0.239664787949497","0.265297074636778","2"
"Several times a year","1990","Part Time","369","0.23645894065017","0.216384117698849","0.256533763601491","2"
"Several times a year","1990","Not Working","427","0.121530847658128","0.110416459229275","0.132645236086982","2"
"Almost never or never","1991","Full Time","","","","","1"
"Almost never or never","1991","Part Time","","","","","1"
"Almost never or never","1991","Not Working","","","","","1"
"At lease once a week","1991","Full Time","","","","","4"
"At lease once a week","1991","Not Working","","","","","4"
"At lease once a week","1991","Part Time","","","","","4"
"At least once a month","1991","Full Time","","","","","3"
"At least once a month","1991","Part Time","","","","","3"
"At least once a month","1991","Not Working","","","","","3"
"Several times a year","1991","Full Time","","","","","2"
"Several times a year","1991","Part Time","","","","","2"
"Several times a year","1991","Not Working","","","","","2"
"Almost never or never","1992","Full Time","3238","0.442295857917181","0.430232099977001","0.454359615857361","1"
"Almost never or never","1992","Part Time","1297","0.481486002738707","0.461777228192628","0.501194777284786","1"
"Almost never or never","1992","Not Working","2866","0.715308849443389","0.701603996780521","0.729013702106257","1"
"At lease once a week","1992","Full Time","1467","0.261816683329553","0.251138312104919","0.272495054554186","4"
