"m11104","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","Schleswig-Holstein","in school","3","","",""
"Almost never or never","1984","Schleswig-Holstein","inadequately","8","","",""
"Almost never or never","1984","Schleswig-Holstein","general elemantary","63","0.757469437357596","0.666351386179063","0.84858748853613"
"Almost never or never","1984","Schleswig-Holstein","middle vocational","111","0.534250589070505","0.468335413590734","0.600165764550276"
"Almost never or never","1984","Schleswig-Holstein","vocational + Abi","4","","",""
"Almost never or never","1984","Schleswig-Holstein","higher vocational","17","","",""
"Almost never or never","1984","Schleswig-Holstein","higher education","12","","",""
"Almost never or never","1984","Hamburg","in school","3","","",""
"Almost never or never","1984","Hamburg","inadequately","20","","",""
"Almost never or never","1984","Hamburg","general elemantary","50","0.787529642114102","0.68884291351556","0.886216370712643"
"Almost never or never","1984","Hamburg","middle vocational","89","0.59056360117999","0.512391306679721","0.66873589568026"
"Almost never or never","1984","Hamburg","vocational + Abi","10","","",""
"Almost never or never","1984","Hamburg","higher vocational","13","","",""
"Almost never or never","1984","Hamburg","higher education","6","","",""
"Almost never or never","1984","Lower Saxony","in school","4","","",""
"Almost never or never","1984","Lower Saxony","inadequately","56","0.754311749344451","0.649656975640064","0.858966523048837"
"Almost never or never","1984","Lower Saxony","general elemantary","258","0.752856291008561","0.708048460803242","0.79766412121388"
"Almost never or never","1984","Lower Saxony","middle vocational","347","0.611174628038721","0.571535875237483","0.650813380839959"
"Almost never or never","1984","Lower Saxony","vocational + Abi","12","","",""
"Almost never or never","1984","Lower Saxony","higher vocational","40","0.557287150617435","0.445615773123448","0.668958528111422"
"Almost never or never","1984","Lower Saxony","higher education","30","0.421515709794883","0.311220818805902","0.531810600783863"
"Almost never or never","1984","Bremen","in school","","","",""
"Almost never or never","1984","Bremen","inadequately","6","","",""
"Almost never or never","1984","Bremen","general elemantary","33","0.842139513927662","0.72914773767982","0.955131290175504"
"Almost never or never","1984","Bremen","middle vocational","54","0.727649028985909","0.626221073299913","0.829076984671906"
"Almost never or never","1984","Bremen","vocational + Abi","3","","",""
"Almost never or never","1984","Bremen","higher vocational","2","","",""
"Almost never or never","1984","Bremen","higher education","","","",""
"Almost never or never","1984","North Rhine-Westphalia","in school","13","","",""
"Almost never or never","1984","North Rhine-Westphalia","inadequately","273","0.859426615020265","0.820354470375068","0.898498759665463"
"Almost never or never","1984","North Rhine-Westphalia","general elemantary","618","0.739475324270696","0.710123318484658","0.768827330056734"
"Almost never or never","1984","North Rhine-Westphalia","middle vocational","933","0.648764456468856","0.624647494732044","0.672881418205667"
"Almost never or never","1984","North Rhine-Westphalia","vocational + Abi","45","0.503337538667693","0.399461969494042","0.607213107841344"
"Almost never or never","1984","North Rhine-Westphalia","higher vocational","79","0.528761886253757","0.449923449070183","0.607600323437331"
"Almost never or never","1984","North Rhine-Westphalia","higher education","88","0.398573068157918","0.334456614562249","0.462689521753587"
"Almost never or never","1984","Hesse","in school","4","","",""
"Almost never or never","1984","Hesse","inadequately","93","0.871945654277314","0.808631899225627","0.935259409329"
"Almost never or never","1984","Hesse","general elemantary","247","0.741317972269108","0.695635864796851","0.787000079741365"
"Almost never or never","1984","Hesse","middle vocational","352","0.613513598068417","0.573952730747275","0.65307446538956"
"Almost never or never","1984","Hesse","vocational + Abi","17","","",""
"Almost never or never","1984","Hesse","higher vocational","35","0.729592573709419","0.606477111878058","0.852708035540781"
"Almost never or never","1984","Hesse","higher education","42","0.464618129161725","0.363253479639917","0.565982778683534"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","in school","","","",""
"Almost never or never","1984","Rhineland-Palatinate,Saarland","inadequately","50","0.83144390525347","0.738259990073785","0.924627820433155"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","general elemantary","221","0.76601406605828","0.717784263609037","0.814243868507524"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","middle vocational","244","0.638339664365299","0.590775331090422","0.685903997640177"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","vocational + Abi","5","","",""
"Almost never or never","1984","Rhineland-Palatinate,Saarland","higher vocational","20","","",""
"Almost never or never","1984","Rhineland-Palatinate,Saarland","higher education","18","","",""
"Almost never or never","1984","Baden-Württemberg","in school","13","","",""
"Almost never or never","1984","Baden-Württemberg","inadequately","247","0.87862515244253","0.840844164758105","0.916406140126955"
"Almost never or never","1984","Baden-Württemberg","general elemantary","519","0.782861840131064","0.751873074789703","0.813850605472425"
"Almost never or never","1984","Baden-Württemberg","middle vocational","585","0.629812954350652","0.598746584664753","0.66087932403655"
"Almost never or never","1984","Baden-Württemberg","vocational + Abi","32","0.628248688182766","0.494294857108673","0.76220251925686"
