"m11104","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","in school","48","0.266037387135577","0.202703580223888","0.329371194047265","1"
"Almost never or never","1984","inadequately","862","0.809096486636305","0.784834579103281","0.833358394169329","1"
"Almost never or never","1984","general elemantary","2502","0.75703762828121","0.742647262863855","0.771427993698565","1"
"Almost never or never","1984","middle vocational","3409","0.618273016470863","0.605583050127859","0.630962982813867","1"
"Almost never or never","1984","vocational + Abi","158","0.491055181488989","0.43540485178225","0.546705511195729","1"
"Almost never or never","1984","higher vocational","353","0.567695048457351","0.529433916420278","0.605956180494424","1"
"Almost never or never","1984","higher education","329","0.436207121610512","0.401493795489562","0.470920447731461","1"
"At lease once a week","1984","general elemantary","","","","","4"
"At lease once a week","1984","middle vocational","","","","","4"
"At lease once a week","1984","vocational + Abi","","","","","4"
"At lease once a week","1984","higher vocational","","","","","4"
"At lease once a week","1984","higher education","","","","","4"
"At lease once a week","1984","inadequately","","","","","4"
"At lease once a week","1984","in school","","","","","4"
"At least once a month","1984","general elemantary","426","0.119364321093966","0.108485571399085","0.130243070788846","3"
"At least once a month","1984","middle vocational","1097","0.194758577411259","0.184414178875797","0.20510297594672","3"
"At least once a month","1984","inadequately","50","0.0779981397601928","0.0614432670395658","0.0945530124808198","3"
"At least once a month","1984","vocational + Abi","75","0.264795543991622","0.215679130637792","0.313911957345452","3"
"At least once a month","1984","higher vocational","138","0.208296275189939","0.176932577914038","0.239659972465841","3"
"At least once a month","1984","in school","91","0.491326190531807","0.419673593819073","0.562978787244542","3"
"At least once a month","1984","higher education","236","0.298372990035822","0.266345495735388","0.330400484336257","3"
"Several times a year","1984","general elemantary","484","0.123598050624825","0.112554695000215","0.134641406249434","2"
"Several times a year","1984","inadequately","96","0.112905373603502","0.0933682733393824","0.132442473867622","2"
"Several times a year","1984","in school","48","0.242636422332616","0.181195533125437","0.304077311539795","2"
"Several times a year","1984","middle vocational","1124","0.186968406117878","0.176784093601616","0.19715271863414","2"
"Several times a year","1984","vocational + Abi","77","0.244149274519389","0.196328899207375","0.291969649831403","2"
"Several times a year","1984","higher vocational","153","0.22400867635271","0.191807924658297","0.256209428047122","2"
"Several times a year","1984","higher education","219","0.265419888353666","0.234511499051756","0.296328277655576","2"
"Almost never or never","1985","in school","40","0.183664065712505","0.128166511797529","0.239161619627481","1"
"Almost never or never","1985","inadequately","721","0.792862113666825","0.765440329154141","0.820283898179509","1"
"Almost never or never","1985","general elemantary","2094","0.71140334582137","0.695296336989058","0.727510354653681","1"
"Almost never or never","1985","middle vocational","2903","0.575992353184779","0.56247294557233","0.589511760797229","1"
"Almost never or never","1985","vocational + Abi","125","0.41768534907637","0.359183411915058","0.476187286237683","1"
"Almost never or never","1985","higher vocational","289","0.490993511827206","0.451418833865793","0.530568189788619","1"
"Almost never or never","1985","higher education","255","0.357004029114831","0.322714766649682","0.39129329157998","1"
"At lease once a week","1985","higher education","299","0.396897827754814","0.361882978040142","0.431912677469487","4"
"At lease once a week","1985","middle vocational","1202","0.234640165870462","0.223047148921643","0.24623318281928","4"
"At lease once a week","1985","general elemantary","527","0.169913593450765","0.156563416794054","0.183263770107476","4"
"At lease once a week","1985","inadequately","49","0.107702730658285","0.0867261232688012","0.128679338047768","4"
"At lease once a week","1985","vocational + Abi","86","0.338569066703708","0.282434205058988","0.394703928348429","4"
"At lease once a week","1985","higher vocational","176","0.286679251480477","0.25088128038821","0.322477222572745","4"
"At lease once a week","1985","in school","109","0.605561082912712","0.535513017551437","0.675609148273987","4"
"At least once a month","1985","vocational + Abi","14","","","","3"
"At least once a month","1985","higher vocational","42","0.0665146427212343","0.0467890419080361","0.0862402435344325","3"
"At least once a month","1985","middle vocational","273","0.0486973912705436","0.0428092984040831","0.0545854841370041","3"
"At least once a month","1985","general elemantary","123","0.0358421150604817","0.0292339300622156","0.0424503000587478","3"
"At least once a month","1985","inadequately","15","","","","3"
"At least once a month","1985","in school","15","","","","3"
"At least once a month","1985","higher education","56","0.0697778888889331","0.051544403161677","0.0880113746161892","3"
"Several times a year","1985","general elemantary","296","0.0828409456673835","0.0730425233896846","0.0926393679450823","2"
"Several times a year","1985","inadequately","54","0.0735142425053076","0.0558549936122196","0.0911734913983956","2"
"Several times a year","1985","in school","23","","","","2"
"Several times a year","1985","middle vocational","755","0.140670089674215","0.131158714663026","0.150181464685404","2"
"Several times a year","1985","vocational + Abi","48","0.187585935309251","0.141277978376962","0.233893892241539","2"
"Several times a year","1985","higher vocational","106","0.155812593971083","0.127102238670167","0.184522949271998","2"
"Several times a year","1985","higher education","140","0.176320254241422","0.149046322174408","0.203594186308436","2"
"Almost never or never","1986","in school","26","","","","1"
"Almost never or never","1986","inadequately","659","0.778084286211577","0.748941576913495","0.807226995509658","1"
"Almost never or never","1986","general elemantary","1964","0.709862259141496","0.693307843500182","0.726416674782811","1"
"Almost never or never","1986","middle vocational","2750","0.569276421790141","0.555506920254911","0.583045923325372","1"
"Almost never or never","1986","vocational + Abi","123","0.392592124222205","0.334981238679023","0.450203009765386","1"
"Almost never or never","1986","higher vocational","276","0.503952466241744","0.462906819979372","0.544998112504116","1"
"Almost never or never","1986","higher education","269","0.379116873226243","0.344301571528107","0.41393217492438","1"
"At lease once a week","1986","higher vocational","167","0.281241252374076","0.244331447742288","0.318151057005865","4"
"At lease once a week","1986","general elemantary","541","0.172187891056242","0.158416053547095","0.185959728565389","4"
"At lease once a week","1986","middle vocational","1244","0.247221639708461","0.235225704765307","0.259217574651614","4"
"At lease once a week","1986","higher education","300","0.387972686118394","0.353005180336227","0.422940191900561","4"
"At lease once a week","1986","inadequately","57","0.134954994334038","0.110992258159699","0.158917730508377","4"
"At lease once a week","1986","vocational + Abi","88","0.332609505385801","0.277025365896776","0.388193644874826","4"
"At lease once a week","1986","in school","121","0.659826867253713","0.591741055231718","0.727912679275707","4"
"At least once a month","1986","inadequately","15","","","","3"
"At least once a month","1986","general elemantary","121","0.0377061405444104","0.0307577439730768","0.0446545371157441","3"
"At least once a month","1986","middle vocational","299","0.0552660940075404","0.0489121785168114","0.0616200094982693","3"
"At least once a month","1986","vocational + Abi","18","","","","3"
"At least once a month","1986","higher vocational","35","0.0500113532277348","0.0321174875166621","0.0679052189388076","3"
"At least once a month","1986","in school","6","","","","3"
"At least once a month","1986","higher education","67","0.0904135661860801","0.0698348885412957","0.110992243830864","3"
"Several times a year","1986","inadequately","50","0.0662915459977269","0.0488430783195768","0.0837400136758769","2"
"Several times a year","1986","general elemantary","261","0.0802437092578513","0.0703338706778426","0.09015354783786","2"
"Several times a year","1986","in school","33","0.157843734894524","0.105447312426558","0.21024015736249","2"
"Several times a year","1986","middle vocational","675","0.128235844493858","0.118938444415736","0.13753324457198","2"
"Several times a year","1986","vocational + Abi","47","0.188897698930297","0.142718680171666","0.235076717688929","2"
"Several times a year","1986","higher vocational","92","0.164794928156445","0.134338487642845","0.195251368670044","2"
"Several times a year","1986","higher education","110","0.142496874469283","0.117412735252708","0.167581013685857","2"
"Almost never or never","1987","general elemantary","","","","","1"
"Almost never or never","1987","higher vocational","","","","","1"
"Almost never or never","1987","in school","","","","","1"
"Almost never or never","1987","inadequately","","","","","1"
"Almost never or never","1987","middle vocational","","","","","1"
"Almost never or never","1987","vocational + Abi","","","","","1"
"Almost never or never","1987","higher education","","","","","1"
"At lease once a week","1987","general elemantary","","","","","4"
"At lease once a week","1987","middle vocational","","","","","4"
"At lease once a week","1987","higher vocational","","","","","4"
"At lease once a week","1987","higher education","","","","","4"
"At lease once a week","1987","inadequately","","","","","4"
"At lease once a week","1987","vocational + Abi","","","","","4"
"At lease once a week","1987","in school","","","","","4"
"At least once a month","1987","general elemantary","","","","","3"
"At least once a month","1987","inadequately","","","","","3"
"At least once a month","1987","middle vocational","","","","","3"
"At least once a month","1987","higher vocational","","","","","3"
"At least once a month","1987","vocational + Abi","","","","","3"
"At least once a month","1987","in school","","","","","3"
"At least once a month","1987","higher education","","","","","3"
"Several times a year","1987","general elemantary","","","","","2"
"Several times a year","1987","inadequately","","","","","2"
"Several times a year","1987","middle vocational","","","","","2"
"Several times a year","1987","in school","","","","","2"
"Several times a year","1987","vocational + Abi","","","","","2"
"Several times a year","1987","higher vocational","","","","","2"
"Several times a year","1987","higher education","","","","","2"
"Almost never or never","1988","general elemantary","1795","0.703369543066576","0.68616260431169","0.720576481821461","1"
"Almost never or never","1988","higher vocational","237","0.470842745786363","0.428625366803672","0.513060124769055","1"
"Almost never or never","1988","in school","22","","","","1"
"Almost never or never","1988","inadequately","608","0.799294903181799","0.769602713543876","0.828987092819722","1"
"Almost never or never","1988","middle vocational","2539","0.548673593334654","0.534443950923976","0.562903235745333","1"
"Almost never or never","1988","vocational + Abi","124","0.41304689807439","0.354315871438125","0.471777924710656","1"
"Almost never or never","1988","higher education","241","0.3605704995899","0.324974521288345","0.396166477891454","1"
"At lease once a week","1988","general elemantary","523","0.175671432354017","0.16133620088761","0.190006663820423","4"
"At lease once a week","1988","higher vocational","160","0.283943975553013","0.2458066021514","0.322081348954627","4"
"At lease once a week","1988","higher education","283","0.393896374649635","0.357674248742836","0.430118500556433","4"
"At lease once a week","1988","middle vocational","1170","0.2467973298784","0.234468616995873","0.259126042760928","4"
"At lease once a week","1988","vocational + Abi","81","0.316983173214003","0.261482274602085","0.372484071825922","4"
"At lease once a week","1988","inadequately","45","0.105020260068439","0.0822927086012277","0.127747811535651","4"
"At lease once a week","1988","in school","116","0.70982393395022","0.639720181235252","0.779927686665188","4"
"At least once a month","1988","general elemantary","121","0.0352906623204484","0.0283399052718494","0.0422414193690474","3"
"At least once a month","1988","inadequately","13","","","","3"
"At least once a month","1988","middle vocational","275","0.0579939264746027","0.0513103381290322","0.0646775148201731","3"
"At least once a month","1988","vocational + Abi","17","","","","3"
"At least once a month","1988","higher vocational","37","0.0688594719916237","0.0474428778207913","0.090276066162456","3"
"At least once a month","1988","in school","9","","","","3"
"At least once a month","1988","higher education","45","0.0681555153478338","0.0494731558116437","0.0868378748840238","3"
"Several times a year","1988","general elemantary","268","0.0856683622589592","0.07512531704193","0.0962114074759884","2"
"Several times a year","1988","middle vocational","714","0.146535150312342","0.136422725362499","0.156647575262186","2"
"Several times a year","1988","inadequately","33","0.0731420237086055","0.0538401448694974","0.0924439025477135","2"
"Several times a year","1988","higher vocational","103","0.176353806669","0.144119100543793","0.208588512794206","2"
"Several times a year","1988","higher education","130","0.177377610412632","0.149059832856671","0.205695387968593","2"
"Several times a year","1988","in school","14","","","","2"
"Several times a year","1988","vocational + Abi","48","0.197319271184653","0.149848927233907","0.244789615135398","2"
"Almost never or never","1989","in school","","","","","1"
"Almost never or never","1989","inadequately","","","","","1"
"Almost never or never","1989","general elemantary","","","","","1"
"Almost never or never","1989","middle vocational","","","","","1"
"Almost never or never","1989","vocational + Abi","","","","","1"
"Almost never or never","1989","higher vocational","","","","","1"
"Almost never or never","1989","higher education","","","","","1"
"At lease once a week","1989","general elemantary","","","","","4"
"At lease once a week","1989","middle vocational","","","","","4"
"At lease once a week","1989","higher education","","","","","4"
"At lease once a week","1989","inadequately","","","","","4"
"At lease once a week","1989","vocational + Abi","","","","","4"
"At lease once a week","1989","higher vocational","","","","","4"
"At lease once a week","1989","in school","","","","","4"
"At least once a month","1989","general elemantary","","","","","3"
"At least once a month","1989","inadequately","","","","","3"
"At least once a month","1989","middle vocational","","","","","3"
"At least once a month","1989","vocational + Abi","","","","","3"
"At least once a month","1989","higher vocational","","","","","3"
"At least once a month","1989","in school","","","","","3"
"At least once a month","1989","higher education","","","","","3"
"Several times a year","1989","general elemantary","","","","","2"
"Several times a year","1989","inadequately","","","","","2"
"Several times a year","1989","in school","","","","","2"
"Several times a year","1989","middle vocational","","","","","2"
"Several times a year","1989","higher vocational","","","","","2"
"Several times a year","1989","higher education","","","","","2"
"Several times a year","1989","vocational + Abi","","","","","2"
"Almost never or never","1990","general elemantary","1806","0.625287658680325","0.607870462446926","0.642704854913724","1"
"Almost never or never","1990","in school","26","","","","1"
"Almost never or never","1990","inadequately","508","0.727659120733651","0.693170286864531","0.762147954602772","1"
"Almost never or never","1990","middle vocational","3623","0.471648197602705","0.459954853272391","0.483341541933019","1"
"Almost never or never","1990","vocational + Abi","128","0.290010650058999","0.244022580410863","0.335998719707135","1"
"Almost never or never","1990","higher vocational","338","0.39920341928183","0.364408437372139","0.433998401191521","1"
"Almost never or never","1990","higher education","705","0.353405265406151","0.330485379266885","0.376325151545418","1"
"At lease once a week","1990","general elemantary","557","0.184921069946159","0.170951522083544","0.198890617808773","4"
"At lease once a week","1990","middle vocational","1590","0.251594289541041","0.241429766882681","0.261758812199402","4"
"At lease once a week","1990","higher education","484","0.345763325711716","0.322959024317303","0.368567627106129","4"
"At lease once a week","1990","inadequately","46","0.109484164187633","0.0852931218759385","0.133675206499328","4"
"At lease once a week","1990","vocational + Abi","133","0.409965827305448","0.360120471397245","0.45981118321365","4"
"At lease once a week","1990","higher vocational","197","0.281964751147553","0.249995971741729","0.313933530553376","4"
"At lease once a week","1990","in school","125","0.704201726579754","0.639978283296271","0.768425169863237","4"
"At least once a month","1990","general elemantary","174","0.0529941261882915","0.0449333006454997","0.0610549517310832","3"
"At least once a month","1990","middle vocational","504","0.0807641723184473","0.0743816712381314","0.0871466733987632","3"
"At least once a month","1990","vocational + Abi","30","0.0821402846301755","0.0543125055935219","0.109968063666829","3"
"At least once a month","1990","inadequately","22","","","","3"
"At least once a month","1990","higher vocational","71","0.101239791048001","0.0798082549053342","0.122671327190667","3"
"At least once a month","1990","in school","19","","","","3"
"At least once a month","1990","higher education","120","0.0843386253838093","0.0710144428833549","0.0976628078842638","3"
"Several times a year","1990","inadequately","64","0.124263086422437","0.0987057258428314","0.149820447002043","2"
"Several times a year","1990","general elemantary","430","0.136797145185225","0.124432425675476","0.149161864694975","2"
"Several times a year","1990","in school","24","","","","2"
"Several times a year","1990","middle vocational","1284","0.195993340537806","0.186694719838272","0.205291961237341","2"
"Several times a year","1990","vocational + Abi","83","0.217883238005378","0.176046289829521","0.259720186181235","2"
"Several times a year","1990","higher vocational","155","0.217592038522617","0.188276768852608","0.246907308192626","2"
"Several times a year","1990","higher education","362","0.216492783498323","0.196745694719589","0.236239872277057","2"
"Almost never or never","1991","general elemantary","","","","","1"
"Almost never or never","1991","in school","","","","","1"
"Almost never or never","1991","inadequately","","","","","1"
"Almost never or never","1991","middle vocational","","","","","1"
"Almost never or never","1991","vocational + Abi","","","","","1"
"Almost never or never","1991","higher vocational","","","","","1"
"Almost never or never","1991","higher education","","","","","1"
"At lease once a week","1991","general elemantary","","","","","4"
"At lease once a week","1991","middle vocational","","","","","4"
"At lease once a week","1991","higher vocational","","","","","4"
"At lease once a week","1991","higher education","","","","","4"
"At lease once a week","1991","inadequately","","","","","4"
"At lease once a week","1991","vocational + Abi","","","","","4"
"At lease once a week","1991","in school","","","","","4"
"At least once a month","1991","vocational + Abi","","","","","3"
"At least once a month","1991","general elemantary","","","","","3"
"At least once a month","1991","middle vocational","","","","","3"
"At least once a month","1991","inadequately","","","","","3"
"At least once a month","1991","higher vocational","","","","","3"
"At least once a month","1991","higher education","","","","","3"
"At least once a month","1991","in school","","","","","3"
"Several times a year","1991","inadequately","","","","","2"
"Several times a year","1991","general elemantary","","","","","2"
"Several times a year","1991","middle vocational","","","","","2"
"Several times a year","1991","in school","","","","","2"
"Several times a year","1991","higher vocational","","","","","2"
"Several times a year","1991","vocational + Abi","","","","","2"
"Several times a year","1991","higher education","","","","","2"
