"m11104","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","Schleswig-Holstein","Not Employed","100","0.693876252746735","0.619874078566654","0.767878426926815","1"
"Almost never or never","1984","Schleswig-Holstein","Employed","120","0.505334580890872","0.441681533132173","0.56898762864957","1"
"Almost never or never","1984","Hamburg","Not Employed","84","0.733280723996309","0.652801935029152","0.813759512963466","1"
"Almost never or never","1984","Hamburg","Employed","108","0.519542940793409","0.448314210556215","0.590771671030603","1"
"Almost never or never","1984","Lower Saxony","Not Employed","366","0.721745110433524","0.683301323021299","0.760188897845749","1"
"Almost never or never","1984","Lower Saxony","Employed","383","0.542090495132036","0.504861647166169","0.579319343097903","1"
"Almost never or never","1984","Bremen","Not Employed","54","0.751615102679918","0.651112048770808","0.852118156589028","1"
"Almost never or never","1984","Bremen","Employed","44","0.711387388003394","0.596734975066488","0.8260398009403","1"
"Almost never or never","1984","North Rhine-Westphalia","Not Employed","929","0.733169137130243","0.709107184771033","0.757231089489453","1"
"Almost never or never","1984","North Rhine-Westphalia","Employed","1138","0.562157964485373","0.539983846195619","0.584332082775127","1"
"Almost never or never","1984","Hesse","Not Employed","315","0.702643575750231","0.660735647300761","0.7445515041997","1"
"Almost never or never","1984","Hesse","Employed","482","0.594537617709724","0.560213311225064","0.628861924194384","1"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","Not Employed","276","0.784933548631955","0.742666924780937","0.827200172482973","1"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","Employed","285","0.568543625672808","0.524555652391179","0.612531598954438","1"
"Almost never or never","1984","Baden-Württemberg","Not Employed","558","0.76376342362308","0.733220775952349","0.79430607129381","1"
"Almost never or never","1984","Baden-Württemberg","Employed","967","0.602131823594593","0.577279308343893","0.626984338845293","1"
"Almost never or never","1984","Bavaria","Not Employed","500","0.730866586775212","0.698243745724871","0.763489427825553","1"
"Almost never or never","1984","Bavaria","Employed","752","0.531829777104705","0.505162715290519","0.558496838918892","1"
"Almost never or never","1984","Berlin","Not Employed","85","0.724909358276679","0.64693665704967","0.802882059503687","1"
"Almost never or never","1984","Berlin","Employed","158","0.562344147113489","0.504027418540293","0.620660875686686","1"
"Almost never or never","1984","Brandenburg","Not Employed","","","","","1"
"Almost never or never","1984","Brandenburg","Employed","","","","","1"
"Almost never or never","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","1"
