"m11104","year","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","7704","0.637454619682074","0.628866922031175","0.646042317332974"
"Several times a year","1984","2216","0.177426109642157","0.17060166764884","0.184250551635474"
"At least once a month","1984","2118","0.185119270675769","0.178181119466242","0.192057421885295"
"At lease once a week","1984","","","",""
"Almost never or never","1985","6504","0.586332884386119","0.577108051905258","0.59555771686698"
"Several times a year","1985","1433","0.126919202105436","0.120683982585314","0.133154421625558"
"At least once a month","1985","542","0.048207200045222","0.044194949686537","0.052219450403907"
"At lease once a week","1985","2470","0.238540713463223","0.230557725694512","0.246523701231935"
"Almost never or never","1986","6138","0.582562015006793","0.573141755991508","0.591982274022078"
"Several times a year","1986","1279","0.118991061833583","0.112806013371601","0.125176110295564"
"At least once a month","1986","567","0.0527056910139269","0.0484372724554164","0.0569741095724373"
"At lease once a week","1986","2543","0.245741232145697","0.237517007228472","0.253965457062922"
"Almost never or never","1987","","","",""
"Several times a year","1987","","","",""
"At least once a month","1987","","","",""
"At lease once a week","1987","","","",""
"Almost never or never","1988","5643","0.562685466951995","0.552921382298353","0.572449551605637"
"Several times a year","1988","1332","0.134923118138317","0.1281984281253","0.141647808151335"
"At least once a month","1988","521","0.0531311296667549","0.0487162265655277","0.0575460327679821"
"At lease once a week","1988","2419","0.249260285242933","0.240745514267537","0.257775056218328"
"Almost never or never","1989","","","",""
"Several times a year","1989","","","",""
"At least once a month","1989","","","",""
"At lease once a week","1989","","","",""
"Almost never or never","1990","7208","0.481672257386793","0.473326020514679","0.490018494258907"
"Several times a year","1990","2428","0.185094662127316","0.178607373944516","0.191581950310116"
"At least once a month","1990","953","0.0756417857801535","0.0712249250917939","0.0800586464685132"
"At lease once a week","1990","3179","0.257591294705738","0.250286638491107","0.264895950920368"
"Almost never or never","1991","","","",""
"Several times a year","1991","","","",""
"At least once a month","1991","","","",""
"At lease once a week","1991","","","",""
"Almost never or never","1992","7401","0.552016487305199","0.54351539296441","0.560517581645987"
"Several times a year","1992","2185","0.158214434406516","0.151975770573336","0.164453098239697"
"At least once a month","1992","764","0.060619144337316","0.0565397700958711","0.064698518578761"
"At lease once a week","1992","2795","0.229149933950969","0.221965168070517","0.236334699831421"
"Almost never or never","1993","","","",""
"Several times a year","1993","","","",""
"At least once a month","1993","","","",""
"At lease once a week","1993","","","",""
"Almost never or never","1994","7009","0.541676755891475","0.53302198018056","0.550331531602389"
"Several times a year","1994","2284","0.172214080019654","0.165655752194117","0.17877240784519"
"At least once a month","1994","778","0.0594489586913336","0.055341595693969","0.0635563216886983"
"At lease once a week","1994","2661","0.226660205397538","0.219387891865521","0.233932518929556"
"Almost never or never","1995","5884","0.438585905864176","0.430141928005733","0.447029883722619"
"Several times a year","1995","2937","0.209806095296084","0.202877359794987","0.216734830797182"
"At least once a month","1995","960","0.0726683327363032","0.068250917366443","0.0770857481061635"
"At lease once a week","1995","3485","0.278939666103437","0.271308005720453","0.286571326486421"
"Almost never or never","1996","6507","0.491100380883628","0.482513664471768","0.499687097295489"
"Several times a year","1996","2700","0.198047374291028","0.191202195077774","0.204892553504281"
"At least once a month","1996","922","0.0699555676745666","0.06557440970383","0.0743367256453031"
"At lease once a week","1996","2892","0.240896677150778","0.233551677616779","0.248241676684776"
"Almost never or never","1997","6559","0.509265740106167","0.500596180144513","0.517935300067822"
"Several times a year","1997","2479","0.184509896849603","0.177782906334295","0.191236887364911"
"At least once a month","1997","763","0.0562535657820534","0.0522577604223475","0.0602493711417593"
