"m11104","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","Full Time","Male","2299","0.551701678253252","0.536276359578462","0.567126996928042"
"Almost never or never","1984","Full Time","Female","1033","0.563994826914479","0.53989922964327","0.588090424185687"
"Almost never or never","1984","Part Time","Male","323","0.51113378292261","0.472375906977537","0.549891658867682"
"Almost never or never","1984","Part Time","Female","782","0.61362847243923","0.586350462018492","0.640906482859967"
"Almost never or never","1984","Not Working","Male","796","0.671414938631191","0.645813272127939","0.697016605134443"
"Almost never or never","1984","Not Working","Female","2471","0.762083944598168","0.747471617206619","0.776696271989717"
"Several times a year","1984","Full Time","Male","857","0.217334838664046","0.204542465732816","0.230127211595276"
"Several times a year","1984","Full Time","Female","336","0.226777796251769","0.206430498600814","0.247125093902725"
"Several times a year","1984","Part Time","Male","151","0.226297491475073","0.193854227940582","0.258740755009564"
"Several times a year","1984","Part Time","Female","246","0.201653986035942","0.179176053249903","0.22413191882198"
"Several times a year","1984","Not Working","Male","214","0.148935725301714","0.129530019136223","0.168341431467206"
"Several times a year","1984","Not Working","Female","412","0.116149389349454","0.105154167126517","0.12714461157239"
"At least once a month","1984","Full Time","Male","837","0.230963483082702","0.217891436787293","0.244035529378111"
"At least once a month","1984","Full Time","Female","258","0.209227376833752","0.189462715261702","0.228992038405802"
"At least once a month","1984","Part Time","Male","165","0.262568725602318","0.228451010674393","0.296686440530242"
"At least once a month","1984","Part Time","Female","196","0.184717541524829","0.162977243108754","0.206457839940904"
"At least once a month","1984","Not Working","Male","283","0.179649336067095","0.158724531821701","0.200574140312488"
"At least once a month","1984","Not Working","Female","379","0.121766666052378","0.110544536479834","0.132988795624921"
"At lease once a week","1984","Full Time","Male","","","",""
"At lease once a week","1984","Full Time","Female","","","",""
"At lease once a week","1984","Part Time","Male","","","",""
"At lease once a week","1984","Part Time","Female","","","",""
"At lease once a week","1984","Not Working","Male","","","",""
"At lease once a week","1984","Not Working","Female","","","",""
"Almost never or never","1985","Full Time","Male","1828","0.480099718889583","0.463564651850169","0.496634785928996"
"Almost never or never","1985","Full Time","Female","832","0.487007356877923","0.461101175510974","0.512913538244872"
"Almost never or never","1985","Part Time","Male","312","0.465082053230004","0.427286264983418","0.502877841476591"
"Almost never or never","1985","Part Time","Female","667","0.528187695874172","0.499704687429498","0.556670704318847"
"Almost never or never","1985","Not Working","Male","736","0.662123906930827","0.635495502311231","0.688752311550423"
"Almost never or never","1985","Not Working","Female","2129","0.732755528283066","0.71678948129267","0.748721575273463"
"Several times a year","1985","Full Time","Male","538","0.16276161387839","0.150544158324891","0.174979069431889"
"Several times a year","1985","Full Time","Female","232","0.182522393645101","0.162501840038326","0.202542947251877"
"Several times a year","1985","Part Time","Male","106","0.14878061811547","0.121813846110447","0.175747390120493"
"Several times a year","1985","Part Time","Female","181","0.16014088342897","0.139216078510752","0.181065688347189"
"Several times a year","1985","Not Working","Male","110","0.0787303918902955","0.0635682219526299","0.0938925618279612"
"Several times a year","1985","Not Working","Female","266","0.0774826030815169","0.0678364784234295","0.0871287277396043"
"At least once a month","1985","Full Time","Male","228","0.067732955429788","0.0594162678534655","0.0760496430061105"
"At least once a month","1985","Full Time","Female","56","0.0461248200849063","0.0352532269906707","0.0569964131791419"
"At least once a month","1985","Part Time","Male","45","0.0596155678079184","0.0416737025864144","0.0775574330294224"
