"m11104","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1985","no migration background","Urban Area","3233","0.565768065005737","0.553224385325144","0.57831174468633","1"
"Almost never or never","1985","no migration background","Rural Area","1101","0.609132527861491","0.587157533894139","0.631107521828842","1"
"Almost never or never","1985","direct migration background","Urban Area","1891","0.704262560931773","0.686618360439175","0.721906761424371","1"
"Almost never or never","1985","direct migration background","Rural Area","225","0.573837077990599","0.521805680859922","0.625868475121276","1"
"Almost never or never","1985","indirect migration background","Urban Area","46","0.466335030936519","0.378173544585443","0.554496517287596","1"
"Almost never or never","1985","indirect migration background","Rural Area","8","","","","1"
"At lease once a week","1985","no migration background","Urban Area","1584","0.251455483189433","0.240475940992879","0.262435025385986","4"
"At lease once a week","1985","no migration background","Rural Area","449","0.225432848759528","0.206613861824116","0.24425183569494","4"
"At lease once a week","1985","direct migration background","Urban Area","330","0.162740441505614","0.14846927965791","0.177011603353318","4"
"At lease once a week","1985","indirect migration background","Urban Area","42","0.306963479038506","0.225452342234314","0.388474615842698","4"
"At lease once a week","1985","direct migration background","Rural Area","59","0.237722640871269","0.19293325196588","0.282512029776659","4"
"At lease once a week","1985","indirect migration background","Rural Area","6","","","","4"
"At least once a month","1985","no migration background","Urban Area","317","0.0492329235205699","0.0437576005692136","0.0547082464719262","3"
"At least once a month","1985","no migration background","Rural Area","104","0.0495503498116342","0.0397769419350611","0.0593237576882073","3"
"At least once a month","1985","direct migration background","Urban Area","94","0.0339664159798964","0.0269631196372214","0.0409697123225714","3"
"At least once a month","1985","direct migration background","Rural Area","17","","","","3"
"At least once a month","1985","indirect migration background","Urban Area","8","","","","3"
"At least once a month","1985","indirect migration background","Rural Area","2","","","","3"
"Several times a year","1985","no migration background","Rural Area","240","0.115884273567347","0.101468932810418","0.130299614324277","2"
"Several times a year","1985","direct migration background","Urban Area","255","0.0990305815827165","0.0874821975088719","0.110578965656561","2"
"Several times a year","1985","direct migration background","Rural Area","46","0.129577280036743","0.0942416456565508","0.164912914416935","2"
