"ple0011","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2011","West Germany","Female","7496","0.885618259568246","0.878824499927703","0.892412019208788","2"
"No","2011","East Germany","Female","2299","0.874773555148389","0.862026963954996","0.887520146341782","2"
"No","2011","West Germany","Male","6988","0.924191124975416","0.918199491225941","0.930182758724891","2"
"No","2011","East Germany","Male","2201","0.939148295033021","0.929466450417584","0.948830139648458","2"
"Yes","2011","West Germany","Male","509","0.0758088750245836","0.0698172412751087","0.0818005087740585","1"
"Yes","2011","West Germany","Female","935","0.114381740431754","0.107587980791212","0.121175500072297","1"
"Yes","2011","East Germany","Male","141","0.060851704966979","0.0511698603515417","0.0705335495824162","1"
"Yes","2011","East Germany","Female","291","0.125226444851611","0.112479853658218","0.137973036045004","1"
"No","2012","West Germany","Female","","","","","2"
"No","2012","East Germany","Female","","","","","2"
"No","2012","West Germany","Male","","","","","2"
"No","2012","East Germany","Male","","","","","2"
"Yes","2012","West Germany","Male","","","","","1"
"Yes","2012","West Germany","Female","","","","","1"
"Yes","2012","East Germany","Male","","","","","1"
"Yes","2012","East Germany","Female","","","","","1"
"No","2013","West Germany","Female","6878","0.881662267527807","0.874462093335051","0.888862441720563","2"
"No","2013","East Germany","Female","2104","0.878474547629457","0.865308999787586","0.891640095471327","2"
"No","2013","West Germany","Male","6243","0.913354769329669","0.906647726512007","0.92006181214733","2"
"No","2013","East Germany","Male","1993","0.936281955915102","0.925874973895467","0.946688937934738","2"
"Yes","2013","West Germany","Female","853","0.118337732472193","0.111137558279437","0.125537906664949","1"
"Yes","2013","East Germany","Male","123","0.0637180440848976","0.0533110620652625","0.0741250261045327","1"
"Yes","2013","East Germany","Female","262","0.121525452370543","0.108359904528673","0.134691000212414","1"
"Yes","2013","West Germany","Male","515","0.0866452306703314","0.0799381878526699","0.0933522734879929","1"
"No","2014","West Germany","Female","","","","","2"
"No","2014","East Germany","Female","","","","","2"
"No","2014","West Germany","Male","","","","","2"
"No","2014","East Germany","Male","","","","","2"
"Yes","2014","West Germany","Female","","","","","1"
"Yes","2014","East Germany","Male","","","","","1"
"Yes","2014","East Germany","Female","","","","","1"
"Yes","2014","West Germany","Male","","","","","1"
"No","2015","West Germany","Male","8466","0.92407792918573","0.918635839229598","0.929520019141861","2"
"No","2015","West Germany","Female","9670","0.890144639485573","0.884241272634276","0.896048006336869","2"
"No","2015","East Germany","Female","2565","0.878330706959606","0.866379156909893","0.89028225700932","2"
"No","2015","East Germany","Male","2270","0.932096491703286","0.922066829437611","0.94212615396896","2"
"Yes","2015","West Germany","Female","1109","0.109855360514427","0.103951993663131","0.115758727365724","1"
"Yes","2015","West Germany","Male","634","0.0759220708142702","0.0704799808581388","0.0813641607704016","1"
"Yes","2015","East Germany","Male","147","0.0679035082967145","0.05787384603104","0.077933170562389","1"
"Yes","2015","East Germany","Female","309","0.121669293040394","0.10971774299068","0.133620843090108","1"
"No","2016","East Germany","Female","","","","","2"
"No","2016","West Germany","Male","","","","","2"
"No","2016","West Germany","Female","","","","","2"
"No","2016","East Germany","Male","","","","","2"
"Yes","2016","West Germany","Female","","","","","1"
"Yes","2016","East Germany","Female","","","","","1"
"Yes","2016","West Germany","Male","","","","","1"
"Yes","2016","East Germany","Male","","","","","1"
"No","2017","East Germany","Female","2737","0.887393391138028","0.876158214210945","0.898628568065111","2"
"No","2017","West Germany","Male","9022","0.922537429331522","0.917228504662216","0.927846354000828","2"
"No","2017","West Germany","Female","10150","0.883726949476369","0.877827890910203","0.889626008042534","2"
"No","2017","East Germany","Male","2436","0.938727924262973","0.929507601662029","0.947948246863917","2"
"Yes","2017","West Germany","Female","1193","0.116273050523631","0.110373991957466","0.122172109089797","1"
"Yes","2017","East Germany","Female","304","0.112606608861972","0.101371431934889","0.123841785789055","1"
"Yes","2017","West Germany","Male","718","0.0774625706684779","0.0721536459991721","0.0827714953377836","1"
"Yes","2017","East Germany","Male","163","0.0612720757370274","0.0520517531360832","0.0704923983379716","1"
"No","2018","West Germany","Male","","","","","2"
"No","2018","West Germany","Female","","","","","2"
"No","2018","East Germany","Male","","","","","2"
"No","2018","East Germany","Female","","","","","2"
"Yes","2018","West Germany","Female","","","","","1"
"Yes","2018","East Germany","Female","","","","","1"
"Yes","2018","West Germany","Male","","","","","1"
"Yes","2018","East Germany","Male","","","","","1"
"No","2019","West Germany","Male","8889","0.913682036639718","0.908080623598788","0.919283449680648","2"
"No","2019","West Germany","Female","9459","0.886966539986598","0.880926853555574","0.893006226417622","2"
"No","2019","East Germany","Male","2488","0.932890409844607","0.923380059193081","0.942400760496133","2"
"No","2019","East Germany","Female","2635","0.890819478771028","0.879513683485874","0.902125274056182","2"
"Yes","2019","West Germany","Female","1099","0.113033460013402","0.106993773582378","0.119073146444426","1"
"Yes","2019","East Germany","Female","288","0.109180521228972","0.0978747259438181","0.120486316514126","1"
"Yes","2019","West Germany","Male","767","0.0863179633602817","0.080716550319352","0.0919193764012115","1"
"Yes","2019","East Germany","Male","171","0.0671095901553932","0.0575992395038675","0.0766199408069189","1"
