"ple0011","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","2011","lower secondary degree","836","1","1","1"
"Yes","2011","secondary school degree","491","1","1","1"
"Yes","2011","college entrance qualification","366","1","1","1"
"Yes","2011","Other degree","119","1","1","1"
"Yes","2011","no degree/no degree yet","38","1","1","1"
"Yes","2012","lower secondary degree","","","",""
"Yes","2012","secondary school degree","","","",""
"Yes","2012","college entrance qualification","","","",""
"Yes","2012","Other degree","","","",""
"Yes","2012","no degree/no degree yet","","","",""
"Yes","2013","lower secondary degree","698","1","1","1"
"Yes","2013","secondary school degree","511","1","1","1"
"Yes","2013","college entrance qualification","370","1","1","1"
"Yes","2013","Other degree","109","1","1","1"
"Yes","2013","no degree/no degree yet","37","1","1","1"
"Yes","2014","lower secondary degree","","","",""
"Yes","2014","secondary school degree","","","",""
"Yes","2014","college entrance qualification","","","",""
"Yes","2014","Other degree","","","",""
"Yes","2014","no degree/no degree yet","","","",""
"Yes","2015","lower secondary degree","726","1","1","1"
"Yes","2015","secondary school degree","645","1","1","1"
"Yes","2015","college entrance qualification","456","1","1","1"
"Yes","2015","Other degree","239","1","1","1"
"Yes","2015","no degree/no degree yet","73","1","1","1"
"Yes","2016","lower secondary degree","","","",""
"Yes","2016","secondary school degree","","","",""
"Yes","2016","college entrance qualification","","","",""
"Yes","2016","Other degree","","","",""
"Yes","2016","no degree/no degree yet","","","",""
"Yes","2017","lower secondary degree","693","1","1","1"
"Yes","2017","secondary school degree","709","1","1","1"
"Yes","2017","college entrance qualification","532","1","1","1"
"Yes","2017","Other degree","287","1","1","1"
"Yes","2017","no degree/no degree yet","87","1","1","1"
"Yes","2018","lower secondary degree","","","",""
"Yes","2018","secondary school degree","","","",""
"Yes","2018","college entrance qualification","","","",""
"Yes","2018","Other degree","","","",""
"Yes","2018","no degree/no degree yet","","","",""
"Yes","2019","lower secondary degree","613","1","1","1"
"Yes","2019","secondary school degree","711","1","1","1"
"Yes","2019","college entrance qualification","607","1","1","1"
"Yes","2019","Other degree","251","1","1","1"
"Yes","2019","no degree/no degree yet","75","1","1","1"
