"ple0011","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","2011","Not Employed","7118","0.863793736598219","0.856345054268759","0.871242418927679","2"
"No","2011","Employed","11866","0.930937149639041","0.926529679105382","0.9353446201727","2"
"Yes","2011","Not Employed","1028","0.136206263401781","0.128757581072321","0.143654945731241","1"
"Yes","2011","Employed","848","0.0690628503609591","0.0646553798272999","0.0734703208946183","1"
"No","2012","Not Employed","","","","","2"
"No","2012","Employed","","","","","2"
"Yes","2012","Not Employed","","","","","1"
"Yes","2012","Employed","","","","","1"
"No","2013","Not Employed","6458","0.861834101358132","0.853959113239347","0.869709089476916","2"
"No","2013","Employed","10760","0.923633404477722","0.918799319893786","0.928467489061658","2"
"Yes","2013","Not Employed","918","0.138165898641868","0.130290910523084","0.146040886760653","1"
"Yes","2013","Employed","835","0.0763665955222783","0.0715325109383422","0.0812006801062144","1"
"No","2014","Not Employed","","","","","2"
"No","2014","Employed","","","","","2"
"Yes","2014","Not Employed","","","","","1"
"Yes","2014","Employed","","","","","1"
"No","2015","Not Employed","7464","0.866708069454984","0.859485391952861","0.873930746957108","2"
"No","2015","Employed","15507","0.92956676577437","0.925681680070918","0.933451851477822","2"
"Yes","2015","Not Employed","1043","0.133291930545016","0.126069253042892","0.140514608047139","1"
"Yes","2015","Employed","1156","0.0704332342256298","0.0665481485221778","0.0743183199290818","1"
"No","2016","Not Employed","","","","","2"
"No","2016","Employed","","","","","2"
"Yes","2016","Not Employed","","","","","1"
"Yes","2016","Employed","","","","","1"
"No","2017","Not Employed","7586","0.865507020614683","0.858310423777444","0.872703617451921","2"
"No","2017","Employed","16759","0.92613984557038","0.922328448445709","0.92995124269505","2"
"Yes","2017","Not Employed","1048","0.134492979385317","0.127296382548079","0.141689576222556","1"
"Yes","2017","Employed","1330","0.0738601544296204","0.0700487573049498","0.0776715515542909","1"
"No","2018","Not Employed","","","","","2"
"No","2018","Employed","","","","","2"
"Yes","2018","Not Employed","","","","","1"
"Yes","2018","Employed","","","","","1"
"No","2019","Not Employed","7082","0.860848273836402","0.853321234182882","0.868375313489923","2"
"No","2019","Employed","16463","0.924186450993682","0.920293272841324","0.928079629146041","2"
"Yes","2019","Not Employed","1040","0.139151726163597","0.131624686510077","0.146678765817118","1"
"Yes","2019","Employed","1295","0.0758135490063175","0.0719203708539592","0.0797067271586759","1"
