"ple0011","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2011","Schleswig-Holstein","Single parent ","24","","","","2"
"No","2011","Brandenburg","1-pers.-HH","146","0.927629243585508","0.887606770188872","0.967651716982145","2"
"No","2011","Brandenburg","(Married) couple without C. ","349","0.871546935398747","0.83871630149881","0.904377569298683","2"
"No","2011","Schleswig-Holstein","(Married) couple without C. ","267","0.907648599999608","0.874666154893239","0.940631045105977","2"
"No","2011","Lower Saxony","Couple + C. LE 16 ","283","0.953959299346707","0.930164839849897","0.977753758843517","2"
"No","2011","Schleswig-Holstein","Couple + C. LE 16 ","101","0.975718351098759","0.945992739230592","1.00544396296693","2"
"No","2011","Schleswig-Holstein","1-pers.-HH","105","0.901585846152408","0.848511123931771","0.954660568373045","2"
"No","2011","Saxony","Couple + C. GT 16 ","186","0.947057176299305","0.915946231320751","0.978168121277858","2"
"No","2011","Berlin","Couple + C. LE and GT 16","15","","","","2"
"No","2011","Hamburg","1-pers.-HH","68","0.824897135140162","0.740554471359621","0.909239798920704","2"
"No","2011","Hamburg","(Married) couple without C. ","117","0.948789121536507","0.910147170518206","0.987431072554808","2"
"No","2011","Hamburg","Couple + C. LE 16 ","44","1","1","1","2"
"No","2011","Saxony","Couple + C. LE and GT 16","51","0.974114933509764","0.932149038541295","1.01608082847823","2"
"No","2011","Hamburg","Single parent ","9","","","","2"
"No","2011","Lower Saxony","(Married) couple without C. ","723","0.895760925054285","0.874439269626389","0.917082580482181","2"
"No","2011","Lower Saxony","Single parent ","80","0.882090094617643","0.816545295799864","0.947634893435421","2"
"No","2011","Schleswig-Holstein","Couple + C. GT 16 ","61","0.929951364206116","0.867904280842699","0.991998447569533","2"
"No","2011","Schleswig-Holstein","Couple + C. LE and GT 16","35","0.950959022045453","0.881375294222239","1.02054274986867","2"
"No","2011","Bremen","1-pers.-HH","29","","","","2"
"No","2011","Bremen","(Married) couple without C. ","39","0.878879548449124","0.782475522115356","0.975283574782892","2"
"No","2011","Bremen","Single parent ","14","","","","2"
"No","2011","Brandenburg","Single parent ","43","0.944340661257393","0.880148290238083","1.0085330322767","2"
"No","2011","Brandenburg","Couple + C. LE 16 ","86","0.92969705860923","0.876878771540581","0.98251534567788","2"
"No","2011","Brandenburg","Couple + C. GT 16 ","128","0.978397002630577","0.953501149896494","1.00329285536466","2"
"No","2011","Brandenburg","Couple + C. LE and GT 16","48","1","1","1","2"
"No","2011","Mecklenburg-Western Pomerania","1-pers.-HH","87","0.835115529043696","0.762746863999616","0.907484194087776","2"
"No","2011","Mecklenburg-Western Pomerania","(Married) couple without C. ","198","0.847838308252155","0.801216421040078","0.894460195464233","2"
"No","2011","Lower Saxony","Couple + C. GT 16 ","268","0.94424019432404","0.917785604198606","0.970694784449473","2"
"No","2011","Lower Saxony","Couple + C. LE and GT 16","118","0.946128485225579","0.906551041759624","0.985705928691534","2"
"No","2011","Saxony","1-pers.-HH","215","0.901040174733504","0.863103334984136","0.938977014482871","2"
"No","2011","Saxony","(Married) couple without C. ","535","0.898937253613306","0.874616203499759","0.923258303726853","2"
"No","2011","Saxony","Single parent ","86","0.982062523432906","0.954332068311788","1.00979297855402","2"
"No","2011","Saxony","Couple + C. LE 16 ","212","0.961138773741281","0.935542465427033","0.986735082055529","2"
"No","2011","Hamburg","Couple + C. GT 16 ","38","0.942177495329942","0.868923620721799","1.01543136993808","2"
"No","2011","Hamburg","Couple + C. LE and GT 16","15","","","","2"
"No","2011","Lower Saxony","1-pers.-HH","245","0.893438106466654","0.857101747531316","0.929774465401992","2"
"No","2011","Berlin","Single parent ","42","0.903330674015104","0.820590243727517","0.986071104302692","2"
"No","2011","Berlin","Couple + C. LE 16 ","80","0.973157880844648","0.939196251588482","1.00711951010081","2"
"No","2011","Berlin","Couple + C. GT 16 ","99","0.894124347180307","0.83527380713152","0.952974887229093","2"
"No","2011","Mecklenburg-Western Pomerania","Single parent ","37","0.984816197936173","0.946438082405227","1.02319431346712","2"
"No","2011","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","55","0.971303035466783","0.927961327989531","1.01464474294403","2"
