"ple0011","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2011","Urban Area","12368","0.903492500694081","0.898529031619515","0.908455969768647","2"
"No","2011","Rural Area","6616","0.907760603680626","0.901106277816368","0.914414929544885","2"
"Yes","2011","Urban Area","1228","0.0965074993059189","0.0915440302313528","0.101470968380485","1"
"Yes","2011","Rural Area","648","0.0922393963193738","0.0855850704551155","0.0988937221836322","1"
"No","2012","Urban Area","","","","","2"
"No","2012","Rural Area","","","","","2"
"Yes","2012","Urban Area","","","","","1"
"Yes","2012","Rural Area","","","","","1"
"No","2013","Urban Area","11122","0.894297708590367","0.888860903414777","0.899734513765957","2"
"No","2013","Rural Area","6096","0.908474606700111","0.901562791736974","0.915386421663248","2"
"Yes","2013","Urban Area","1163","0.105702291409633","0.100265486234043","0.111139096585223","1"
"Yes","2013","Rural Area","590","0.0915253932998891","0.0846135783367519","0.0984372082630263","1"
"No","2014","Urban Area","","","","","2"
"No","2014","Rural Area","","","","","2"
"Yes","2014","Urban Area","","","","","1"
"Yes","2014","Rural Area","","","","","1"
"No","2015","Urban Area","14983","0.906009697329758","0.901547754100513","0.910471640559003","2"
"No","2015","Rural Area","7988","0.906936717877193","0.900845629563454","0.913027806190933","2"
"Yes","2015","Urban Area","1448","0.0939903026702422","0.0895283594409973","0.0984522458994871","1"
"Yes","2015","Rural Area","751","0.0930632821228068","0.0869721938090675","0.0991543704365462","1"
"No","2016","Urban Area","","","","","2"
"No","2016","Rural Area","","","","","2"
"Yes","2016","Urban Area","","","","","1"
"Yes","2016","Rural Area","","","","","1"
"No","2017","Urban Area","15704","0.905982875359419","0.901630234588122","0.910335516130716","2"
"No","2017","Rural Area","8641","0.901059964914464","0.895040621635744","0.907079308193184","2"
"Yes","2017","Urban Area","1567","0.0940171246405812","0.0896644838692845","0.098369765411878","1"
"Yes","2017","Rural Area","811","0.098940035085536","0.0929206918068161","0.104959378364256","1"
"No","2018","Urban Area","","","","","2"
"No","2018","Rural Area","","","","","2"
"Yes","2018","Urban Area","","","","","1"
"Yes","2018","Rural Area","","","","","1"
"No","2019","Urban Area","14075","0.902979043880627","0.89831577624526","0.907642311515994","2"
"No","2019","Rural Area","8124","0.901174736015772","0.894968108941566","0.907381363089977","2"
"Yes","2019","Urban Area","1401","0.0970209561193727","0.0923576884840057","0.10168422375474","1"
"Yes","2019","Rural Area","757","0.098825263984228","0.0926186369100225","0.105031891058434","1"
