"ple0011","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2011","West Germany","14484","0.904370210687344","0.899803145702143","0.908937275672545","2"
"No","2011","East Germany","4500","0.906964781389611","0.898857869369679","0.915071693409542","2"
"Yes","2011","West Germany","1444","0.0956297893126559","0.0910627243274549","0.100196854297857","1"
"Yes","2011","East Germany","432","0.0930352186103892","0.0849283065904577","0.101142130630321","1"
"No","2012","West Germany","","","","","2"
"No","2012","East Germany","","","","","2"
"Yes","2012","West Germany","","","","","1"
"Yes","2012","East Germany","","","","","1"
"No","2013","West Germany","13121","0.897006443071922","0.89205728078898","0.901955605354864","2"
"No","2013","East Germany","4097","0.907232695257441","0.898739541609529","0.915725848905353","2"
"Yes","2013","West Germany","1368","0.102993556928078","0.0980443946451358","0.10794271921102","1"
"Yes","2013","East Germany","385","0.0927673047425591","0.0842741510946473","0.101260458390471","1"
"No","2014","West Germany","","","","","2"
"No","2014","East Germany","","","","","2"
"Yes","2014","West Germany","","","","","1"
"Yes","2014","East Germany","","","","","1"
"No","2015","West Germany","18136","0.906656199877803","0.902612165109547","0.91070023464606","2"
"No","2015","East Germany","4835","0.904684571628595","0.896772150312602","0.912596992944588","2"
"Yes","2015","West Germany","1743","0.0933438001221967","0.08929976535394","0.0973878348904534","1"
"Yes","2015","East Germany","456","0.0953154283714048","0.0874030070554117","0.103227849687398","1"
"No","2016","West Germany","","","","","2"
"No","2016","East Germany","","","","","2"
"Yes","2016","West Germany","","","","","1"
"Yes","2016","East Germany","","","","","1"
"No","2017","West Germany","19172","0.902702132484366","0.898701710716292","0.90670255425244","2"
"No","2017","East Germany","5173","0.912713933598919","0.905347651604402","0.920080215593435","2"
"Yes","2017","West Germany","1911","0.0972978675156341","0.0932974457475604","0.101298289283708","1"
"Yes","2017","East Germany","467","0.0872860664010813","0.0799197844065647","0.0946523483955979","1"
"No","2018","West Germany","","","","","2"
"No","2018","East Germany","","","","","2"
"Yes","2018","West Germany","","","","","1"
"Yes","2018","East Germany","","","","","1"
"No","2019","West Germany","18351","0.900040821913948","0.895906336758666","0.904175307069231","2"
"No","2019","East Germany","5124","0.911096301272296","0.903630845383485","0.918561757161107","2"
"Yes","2019","West Germany","1867","0.0999591780860518","0.0958246929307695","0.104093663241334","1"
"Yes","2019","East Germany","459","0.0889036987277039","0.0814382428388929","0.0963691546165149","1"
