"ple0011","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Full Time","lower secondary degree","125","1","1","1"
"Yes","2011","Full Time","secondary school degree","161","1","1","1"
"Yes","2011","Full Time","college entrance qualification","151","1","1","1"
"Yes","2011","Full Time","Other degree","25","","",""
"Yes","2011","Full Time","no degree/no degree yet","7","","",""
"Yes","2011","Part Time","lower secondary degree","121","1","1","1"
"Yes","2011","Part Time","secondary school degree","133","1","1","1"
"Yes","2011","Part Time","college entrance qualification","91","1","1","1"
"Yes","2011","Part Time","Other degree","20","","",""
"Yes","2011","Part Time","no degree/no degree yet","3","","",""
"Yes","2011","Not Working","lower secondary degree","590","1","1","1"
"Yes","2011","Not Working","secondary school degree","197","1","1","1"
"Yes","2011","Not Working","college entrance qualification","124","1","1","1"
"Yes","2011","Not Working","Other degree","74","1","1","1"
"Yes","2011","Not Working","no degree/no degree yet","28","","",""
"Yes","2012","Full Time","lower secondary degree","","","",""
"Yes","2012","Full Time","secondary school degree","","","",""
"Yes","2012","Full Time","college entrance qualification","","","",""
"Yes","2012","Full Time","Other degree","","","",""
"Yes","2012","Full Time","no degree/no degree yet","","","",""
"Yes","2012","Part Time","lower secondary degree","","","",""
"Yes","2012","Part Time","secondary school degree","","","",""
"Yes","2012","Part Time","college entrance qualification","","","",""
"Yes","2012","Part Time","Other degree","","","",""
"Yes","2012","Part Time","no degree/no degree yet","","","",""
"Yes","2012","Not Working","lower secondary degree","","","",""
"Yes","2012","Not Working","secondary school degree","","","",""
"Yes","2012","Not Working","college entrance qualification","","","",""
"Yes","2012","Not Working","Other degree","","","",""
"Yes","2012","Not Working","no degree/no degree yet","","","",""
"Yes","2013","Full Time","lower secondary degree","110","1","1","1"
"Yes","2013","Full Time","secondary school degree","164","1","1","1"
"Yes","2013","Full Time","college entrance qualification","146","1","1","1"
"Yes","2013","Full Time","Other degree","30","1","1","1"
"Yes","2013","Full Time","no degree/no degree yet","7","","",""
"Yes","2013","Part Time","lower secondary degree","129","1","1","1"
"Yes","2013","Part Time","secondary school degree","116","1","1","1"
"Yes","2013","Part Time","college entrance qualification","90","1","1","1"
"Yes","2013","Part Time","Other degree","20","","",""
