"year","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","6.46","7","20723","6.45","6.47","5","6","7","7"
"2006","","","","","","","","",""
"2007","","","","","","","","",""
"2008","","","","","","","","",""
"2009","","","","","","","","",""
"2010","6.4","7","16691","6.39","6.41","5","6","7","7"
"2011","","","","","","","","",""
"2012","","","","","","","","",""
"2013","","","","","","","","",""
"2014","","","","","","","","",""
"2015","6.39","7","26763","6.38","6.4","5","6","7","7"
"2016","6.55","7","4400","6.53","6.57","5","7","7","7"
"2017","6.8","7","2878","6.78","6.82","6","7","7","7"
"2018","6.81","7","423","6.75","6.87","6","7","7","7"
"2019","6.77","7","279","6.68","6.86","6","7","7","7"
