"year","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","general elemantary","6.37","7","2407","5","6","7","7","6.33","6.41","7","7"
"2005","higher education","6.45","7","4167","5","6","7","7","6.42","6.48","7","7"
"2005","higher vocational","6.53","7","1559","6","6","7","7","6.49","6.57","7","7"
"2005","in school","6.28","7","647","5","6","7","7","6.21","6.35","6","7"
"2005","inadequately","6.35","7","236","5","6","7","7","6.2","6.5","7","7"
"2005","middle vocational","6.49","7","10272","5","6","7","7","6.47","6.51","7","7"
"2005","vocational + Abi","6.45","7","1134","5","6","7","7","6.4","6.5","7","7"
"2006","general elemantary","","","","","","","","","","",""
"2006","higher education","","","","","","","","","","",""
"2006","higher vocational","","","","","","","","","","",""
"2006","in school","","","","","","","","","","",""
"2006","inadequately","","","","","","","","","","",""
"2006","middle vocational","","","","","","","","","","",""
"2006","vocational + Abi","","","","","","","","","","",""
"2007","general elemantary","","","","","","","","","","",""
"2007","higher education","","","","","","","","","","",""
"2007","higher vocational","","","","","","","","","","",""
"2007","in school","","","","","","","","","","",""
"2007","inadequately","","","","","","","","","","",""
"2007","middle vocational","","","","","","","","","","",""
"2007","vocational + Abi","","","","","","","","","","",""
"2008","general elemantary","","","","","","","","","","",""
"2008","higher education","","","","","","","","","","",""
"2008","higher vocational","","","","","","","","","","",""
"2008","in school","","","","","","","","","","",""
"2008","inadequately","","","","","","","","","","",""
"2008","middle vocational","","","","","","","","","","",""
"2008","vocational + Abi","","","","","","","","","","",""
"2009","general elemantary","","","","","","","","","","",""
"2009","higher education","","","","","","","","","","",""
"2009","higher vocational","","","","","","","","","","",""
"2009","in school","","","","","","","","","","",""
"2009","inadequately","","","","","","","","","","",""
"2009","middle vocational","","","","","","","","","","",""
"2009","vocational + Abi","","","","","","","","","","",""
"2010","general elemantary","6.28","7","1631","5","6","7","7","6.23","6.33","7","7"
"2010","higher education","6.44","7","3830","5","6","7","7","6.41","6.47","7","7"
"2010","higher vocational","6.46","7","1257","5","6","7","7","6.41","6.51","7","7"
"2010","in school","6.37","7","270","5","6","7","7","6.26","6.48","6","7"
"2010","inadequately","6.31","7","138","5","6","7","7","6.1","6.52","6","7"
"2010","middle vocational","6.42","7","8328","5","6","7","7","6.4","6.44","7","7"
"2010","vocational + Abi","6.38","7","944","5","6","7","7","6.33","6.43","7","7"
"2011","general elemantary","","","","","","","","","","",""
"2011","higher education","","","","","","","","","","",""
"2011","higher vocational","","","","","","","","","","",""
"2011","in school","","","","","","","","","","",""
"2011","inadequately","","","","","","","","","","",""
"2011","middle vocational","","","","","","","","","","",""
"2011","vocational + Abi","","","","","","","","","","",""
"2012","general elemantary","","","","","","","","","","",""
"2012","higher education","","","","","","","","","","",""
"2012","higher vocational","","","","","","","","","","",""
"2012","in school","","","","","","","","","","",""
"2012","inadequately","","","","","","","","","","",""
"2012","middle vocational","","","","","","","","","","",""
"2012","vocational + Abi","","","","","","","","","","",""
"2013","general elemantary","","","","","","","","","","",""
"2013","higher education","","","","","","","","","","",""
"2013","higher vocational","","","","","","","","","","",""
"2013","in school","","","","","","","","","","",""
"2013","inadequately","","","","","","","","","","",""
"2013","middle vocational","","","","","","","","","","",""
"2013","vocational + Abi","","","","","","","","","","",""
"2014","general elemantary","","","","","","","","","","",""
"2014","higher education","","","","","","","","","","",""
"2014","higher vocational","","","","","","","","","","",""
"2014","in school","","","","","","","","","","",""
"2014","inadequately","","","","","","","","","","",""
"2014","middle vocational","","","","","","","","","","",""
"2014","vocational + Abi","","","","","","","","","","",""
"2015","general elemantary","6.33","7","2939","5","6","7","7","6.29","6.37","7","7"
"2015","higher education","6.42","7","6420","5","6","7","7","6.4","6.44","7","7"
"2015","higher vocational","6.4","7","1539","5","6","7","7","6.36","6.44","7","7"
"2015","in school","6.35","7","377","5","6","7","7","6.26","6.44","7","7"
"2015","inadequately","6.23","7","518","5","6","7","7","6.13","6.33","7","7"
"2015","middle vocational","6.41","7","12181","5","6","7","7","6.39","6.43","7","7"
"2015","vocational + Abi","6.39","7","2151","5","6","7","7","6.35","6.43","7","7"
"2016","general elemantary","6.61","7","840","6","7","7","7","6.56","6.66","7","7"
"2016","higher education","6.55","7","778","6","6","7","7","6.5","6.6","7","7"
"2016","higher vocational","","","","","","","","","","",""
"2016","in school","","","","","","","","","","",""
"2016","inadequately","6.57","7","1549","5","7","7","7","6.53","6.61","7","7"
"2016","middle vocational","6.69","7","792","6","7","7","7","6.64","6.74","7","7"
"2016","vocational + Abi","6.25","7","110","5","5","7","7","6.1","6.4","7","7"
"2017","general elemantary","6.77","7","553","6","7","7","7","6.71","6.83","7","7"
"2017","higher education","6.85","7","449","6","7","7","7","6.8","6.9","7","7"
"2017","higher vocational","","","","","","","","","","",""
"2017","in school","","","","","","","","","","",""
"2017","inadequately","6.78","7","1214","6","7","7","7","6.75","6.81","7","7"
"2017","middle vocational","6.8","7","444","6","7","7","7","6.74","6.86","7","7"
"2017","vocational + Abi","6.87","7","69","6","7","7","7","6.74","7","7","7"
"2018","general elemantary","6.82","7","99","6","7","7","7","6.7","6.94","7","7"
"2018","higher education","6.78","7","49","6","7","7","7","6.54","7.02","7","7"
"2018","higher vocational","","","","","","","","","","",""
"2018","in school","","","","","","","","","","",""
"2018","inadequately","6.77","7","163","6","7","7","7","6.67","6.87","7","7"
"2018","middle vocational","6.95","7","58","7","7","7","7","6.86","7.04","7","7"
"2018","vocational + Abi","","","","","","","","","","",""
"2019","general elemantary","6.83","7","53","6","7","7","7","6.66","7","7","7"
"2019","higher education","","","","","","","","","","",""
"2019","higher vocational","","","","","","","","","","",""
"2019","in school","","","","","","","","","","",""
"2019","inadequately","6.55","7","132","5","7","7","7","6.38","6.72","7","7"
"2019","middle vocational","6.97","7","33","7","7","7","7","6.87","7.07","7","7"
"2019","vocational + Abi","","","","","","","","","","",""
