"year","e11102","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2004","Not Employed","(2b) intermediate general qualification","70.56","68","211","52","59","78","93","131","68.26","72.86","46","185","63","69"
"2004","Not Employed","(2c_gen) general maturity certificate","71.54","70","357","55","62","80","86","112","70.06","73.02","40","200","67","70"
"2004","Not Employed","(2c_voc) vocational maturity certificate","73.5","71","382","54","64","83","92","120","72.02","74.98","43","124","70","73"
"2004","Not Employed","(3a) lower tertiary education","75.66","74","458","58","66","85","95","116","74.36","76.96","45","134","73","78"
"2004","Not Employed","(3b) higher tertiary education","74.87","75","532","58","65","84","92","110","73.73","76.01","44","120","73","75"
"2005","Employed","(0) in school","","","","","","","","","","","","","",""
"2005","Employed","(1a) inadequately completed","","","","","","","","","","","","","",""
"2005","Employed","(1b) general elementary school","","","","","","","","","","","","","",""
"2005","Employed","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2005","Employed","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2005","Employed","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2005","Employed","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2005","Employed","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2005","Employed","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2005","Employed","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2005","Not Employed","(0) in school","","","","","","","","","","","","","",""
"2005","Not Employed","(1a) inadequately completed","","","","","","","","","","","","","",""
"2005","Not Employed","(1b) general elementary school","","","","","","","","","","","","","",""
"2005","Not Employed","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2005","Not Employed","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2005","Not Employed","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2005","Not Employed","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2005","Not Employed","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2005","Not Employed","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2005","Not Employed","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2006","Employed","(0) in school","71.48","68","72","53","63","80","85","118","68.33","74.63","48","118","64","72"
"2006","Employed","(1a) inadequately completed","78.5","76","85","62","70","89","100","111","75.21","81.79","48","116","70","80"
"2006","Employed","(1b) general elementary school","76.1","75","675","55","65","85","97","125","74.89","77.31","40","164","72","75"
"2006","Employed","(1c) basic vocational qualification","79.64","79","3020","60","69","90","100","125","79.06","80.22","39","190","79","80"
"2006","Employed","(2a) intermediate vocational","77.44","76","3801","58","65","87","98","125","76.92","77.96","37","200","75","76"
"2006","Employed","(2b) intermediate general qualification","72.96","70","367","55","61","82","95","122","71.4","74.52","37","130","66","70"
"2006","Employed","(2c_gen) general maturity certificate","69.74","68","452","54","60","78","87","110","68.38","71.1","42","151","65","70"
"2006","Employed","(2c_voc) vocational maturity certificate","75.05","74","1223","56","63","84","95","124","74.16","75.94","42","155","72","74"
"2006","Employed","(3a) lower tertiary education","77.07","77","1279","56","65","87","98","116","76.23","77.91","40","128","75","78"
"2006","Employed","(3b) higher tertiary education","76.94","75","2121","58","66","86","95","120","76.29","77.59","38","195","75","76"
"2006","Not Employed","(0) in school","68.21","65","331","52","60","75","85","175","66.71","69.71","45","175","64","68"
"2006","Not Employed","(1a) inadequately completed","72.61","73.15","159","55","63","82","90","100","70.39","74.83","35","155","70","76"
"2006","Not Employed","(1b) general elementary school","73.34","70","1268","57","63","80","90","118","72.49","74.19","34","200","70","72"
"2006","Not Employed","(1c) basic vocational qualification","76.69","75","3107","59","66","85","96","120","76.16","77.22","38","190","75","77"
"2006","Not Employed","(2a) intermediate vocational","73.9","72","1327","57","63","83","93","120","73.08","74.72","36","200","72","74"
"2006","Not Employed","(2b) intermediate general qualification","70.34","65","213","54","60","80","90","125","68.12","72.56","33","165","64","70"
"2006","Not Employed","(2c_gen) general maturity certificate","69.89","69","373","54","60","77","84","120","68.57","71.21","45","125","66","70"
"2006","Not Employed","(2c_voc) vocational maturity certificate","74.15","72","405","55","63","85","93","120","72.63","75.67","42","167","70","74"
"2006","Not Employed","(3a) lower tertiary education","76.36","75","522","58","67","84","95","130","75.05","77.67","40","195","75","78"
"2006","Not Employed","(3b) higher tertiary education","74.52","74","645","57","65","83","91","110","73.48","75.56","46","125","73","75"
"2007","Employed","(0) in school","","","","","","","","","","","","","",""
"2007","Employed","(1a) inadequately completed","","","","","","","","","","","","","",""
"2007","Employed","(1b) general elementary school","","","","","","","","","","","","","",""
"2007","Employed","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2007","Employed","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2007","Employed","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2007","Employed","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2007","Employed","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2007","Employed","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2007","Employed","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2007","Not Employed","(0) in school","","","","","","","","","","","","","",""
"2007","Not Employed","(1a) inadequately completed","","","","","","","","","","","","","",""
"2007","Not Employed","(1b) general elementary school","","","","","","","","","","","","","",""
"2007","Not Employed","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2007","Not Employed","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2007","Not Employed","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2007","Not Employed","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2007","Not Employed","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2007","Not Employed","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2007","Not Employed","(3b) higher tertiary education","","","","","","","","","","","","","",""
"2008","Employed","(0) in school","69.06","67.83","66","54","60","78","88","100","65.87","72.25","48","125","65","72"
"2008","Employed","(1a) inadequately completed","75.44","75.86","74","52","65","85","94","110","71.88","79","47","125","68","80"
"2008","Employed","(1b) general elementary school","76.34","75","556","57","65","85","95","121","75.02","77.66","40","150","73","76"
"2008","Employed","(1c) basic vocational qualification","80.86","80","2551","61","70","90","100","125","80.23","81.49","43","178","80","80"
"2008","Employed","(2a) intermediate vocational","78.35","77","3446","58","65","88","100","130","77.8","78.9","36","185","75","77"
"2008","Employed","(2b) intermediate general qualification","73.24","70","285","58","62","80","95","120","71.35","75.13","44","165","68","72"
"2008","Employed","(2c_gen) general maturity certificate","72.84","71","413","56","63","80","90","113","71.43","74.25","41","150","69","71"
"2008","Employed","(2c_voc) vocational maturity certificate","76.22","75","1083","56","64","85","98","125","75.25","77.19","44","165","74","76"
"2008","Employed","(3a) lower tertiary education","77.45","76","1132","57","65","87","100","120","76.51","78.39","40","135","75","78"
"2008","Employed","(3b) higher tertiary education","77.45","77","1896","58","65","86","97","124","76.76","78.14","38","190","75","77"
"2008","Not Employed","(0) in school","68.81","68","288","53","60","78","84","110","67.31","70.31","43","121","63","68"
"2008","Not Employed","(1a) inadequately completed","74.71","73","114","60","65","84","92","100","71.97","77.45","35","150","71","78"
"2008","Not Employed","(1b) general elementary school","74.01","71","1013","57","64","80","94","130","73.05","74.97","38","175","71","74"
"2008","Not Employed","(1c) basic vocational qualification","77.17","75","2678","58","66","85","96","125","76.59","77.75","40","204","75","77"
"2008","Not Employed","(2a) intermediate vocational","74.22","73","1148","57","63","84","94","120","73.32","75.12","40","158","72","75"
"2008","Not Employed","(2b) intermediate general qualification","72.56","68.12","185","53","60","79","96","180","69.73","75.39","38","180","65","70"
