"year","e11102","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","Employed","Female","67.12","65","6765","53","59","75","83","105","66.82","67.42","40","172","64","65"
"2002","Employed","Male","82.56","80","7961","68","74","90","100","120","82.27","82.85","34","180","80","82"
"2002","Not Employed","Female","68.33","67","5058","53","60","75","85","104","67.97","68.69","35","170","66","67"
"2002","Not Employed","Male","80.33","80","3175","65","71","88","95","120","79.86","80.8","39","180","80","80"
"2003","Employed","Female","","","","","","","","","","","","","",""
"2003","Employed","Male","","","","","","","","","","","","","",""
"2003","Not Employed","Female","","","","","","","","","","","","","",""
"2003","Not Employed","Male","","","","","","","","","","","","","",""
"2004","Employed","Female","67.68","65","6253","53","59","75","85","110","67.37","67.99","37","172","65","65"
"2004","Employed","Male","83.2","82","7122","68","74","90","100","125","82.88","83.52","40","210","82","82"
"2004","Not Employed","Female","69.24","68","4876","54","60","76","86","110","68.86","69.62","32","200","67","68"
"2004","Not Employed","Male","80.66","80","3244","65","72","89","98","120","80.18","81.14","37","200","80","80"
"2005","Employed","Female","","","","","","","","","","","","","",""
"2005","Employed","Male","","","","","","","","","","","","","",""
"2005","Not Employed","Female","","","","","","","","","","","","","",""
"2005","Not Employed","Male","","","","","","","","","","","","","",""
"2006","Employed","Female","68.27","65","6353","53","59","75","85","110","67.94","68.6","37","172","65","66"
"2006","Employed","Male","84.26","82","7012","69","75","92","102","128","83.93","84.59","40","200","82","83"
"2006","Not Employed","Female","69.82","68","5053","55","60","77","87","112","69.44","70.2","33","200","68","68"
"2006","Not Employed","Male","81.65","80","3454","65","72","90","100","125","81.18","82.12","41","195","80","80"
"2007","Employed","Female","","","","","","","","","","","","","",""
"2007","Employed","Male","","","","","","","","","","","","","",""
"2007","Not Employed","Female","","","","","","","","","","","","","",""
"2007","Not Employed","Male","","","","","","","","","","","","","",""
"2008","Employed","Female","69.03","67","5659","54","60","76","87","115","68.69","69.37","36","161","66","67"
"2008","Employed","Male","85.23","83","6154","70","75","93","104","130","84.87","85.59","43","190","83","84"
"2008","Not Employed","Female","69.97","68","4350","54","60","78","88","115","69.55","70.39","35","175","68","69"
"2008","Not Employed","Male","82.67","80","3062","66","73","90","100","130","82.16","83.18","45","230","80","81"
"2009","Employed","Female","","","","","","","","","","","","","",""
"2009","Employed","Male","","","","","","","","","","","","","",""
"2009","Not Employed","Female","","","","","","","","","","","","","",""
"2009","Not Employed","Male","","","","","","","","","","","","","",""
"2010","Employed","Female","69.49","67","5008","54","60","76","89","120","69.1","69.88","37","177","66","67"
"2010","Employed","Male","86.24","84","5256","70","75","95","105","134","85.84","86.64","43","197","84","85"
"2010","Not Employed","Female","70.49","69","3632","55","61","78","88","120","70.04","70.94","35","167","68","70"
"2010","Not Employed","Male","82.86","80","2681","65","73","90","101","133","82.29","83.43","45","250","80","82"
"2011","Employed","Female","","","","","","","","","","","","","",""
"2011","Employed","Male","","","","","","","","","","","","","",""
"2011","Not Employed","Female","","","","","","","","","","","","","",""
"2011","Not Employed","Male","","","","","","","","","","","","","",""
"2012","Employed","Female","69.41","67","6170","54","60","77","90","117","69.05","69.77","39","199","67","68"
"2012","Employed","Male","86.05","84.24","6173","69","76","95","105","130","85.68","86.42","39","225","84","85"
"2012","Not Employed","Female","70.81","70","4508","54","60","79","90","115","70.38","71.24","30","170","69","70"
"2012","Not Employed","Male","83.55","82","3472","67","74","91","102","133","83.06","84.04","30","190","81","82"
"2013","Employed","Female","","","","","","","","","","","","","",""
"2013","Employed","Male","","","","","","","","","","","","","",""
"2013","Not Employed","Female","","","","","","","","","","","","","",""
"2013","Not Employed","Male","","","","","","","","","","","","","",""
"2014","Employed","Female","69.79","67","8953","54","60","78","89","120","69.49","70.09","36","160","67","68"
"2014","Employed","Male","86.43","85","8623","69","75","95","107","135","86.1","86.76","39","225","84","85"
"2014","Not Employed","Female","70.86","69","5464","53","60","79","90","123","70.44","71.28","30","180","68","70"
"2014","Not Employed","Male","83.98","82","3802","67","74","92","104","134","83.49","84.47","30","200","81","82"
"2015","Employed","Female","","","","","","","","","","","","","",""
"2015","Employed","Male","","","","","","","","","","","","","",""
"2015","Not Employed","Female","","","","","","","","","","","","","",""
"2015","Not Employed","Male","","","","","","","","","","","","","",""
"2016","Employed","Female","70.55","68","8178","54","60","79","90","120","70.22","70.88","39","193","68","68"
"2016","Employed","Male","87.01","85","7725","70","76","95","108","136","86.66","87.36","38","215","85","85"
"2016","Not Employed","Female","71.24","70","4691","54","60","80","90","124","70.77","71.71","30","230","69","70"
"2016","Not Employed","Male","84.45","82","3320","66","74","92","105","140","83.9","85","45","200","82","83"
"2017","Employed","Female","","","","","","","","","","","","","",""
"2017","Employed","Male","","","","","","","","","","","","","",""
"2017","Not Employed","Female","","","","","","","","","","","","","",""
"2017","Not Employed","Male","","","","","","","","","","","","","",""
"2018","Employed","Female","71.06","68","8878","54","60","80","90","125","70.73","71.39","35","170","68","69"
"2018","Employed","Male","87.57","85","8806","70","76","95","110","140","87.23","87.91","38","200","85","85"
"2018","Not Employed","Female","71.51","69","5994","54","60","80","91","122","71.1","71.92","30","195","69","70"
"2018","Not Employed","Male","83.96","82","5338","66","73","92","104","135","83.53","84.39","36","230","80","80"
