"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","74.6","74","22959","56","64","84","93","115","74.41","74.79","34","180","73","74"
"2003","","","","","","","","","","","","","",""
"2004","75.23","74.22","21495","57","65","85","95","120","75.03","75.43","32","210","74","75"
"2005","","","","","","","","","","","","","",""
"2006","76.03","75","21872","58","65","85","96","121","75.82","76.24","33","200","75","75"
"2007","","","","","","","","","","","","","",""
"2008","76.77","75","19225","58","65","85","97","125","76.54","77","35","230","75","75"
"2009","","","","","","","","","","","","","",""
"2010","77.44","75","16577","58","65","86","100","130","77.19","77.69","35","250","75","76"
"2011","","","","","","","","","","","","","",""
"2012","77.52","75","20323","58","65","87","100","130","77.29","77.75","30","225","75","76"
"2013","","","","","","","","","","","","","",""
"2014","77.8","76","26842","58","65","88","100","130","77.6","78","30","225","75","76"
"2015","","","","","","","","","","","","","",""
"2016","78.41","76","23914","58","65","88","100","130","78.19","78.63","30","230","75","76"
"2017","","","","","","","","","","","","","",""
"2018","78.79","77","29016","58","66","89","101","133","78.59","78.99","30","230","75","76"
