"plh0219","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","West Germany","32","0.00936200353350099","0.00636519579201167","0.0123588112749903","1"
"1 Strongly disagree","2005","16-34 y.","East Germany","18","","","","1"
"1 Strongly disagree","2005","35-65 y.","West Germany","122","0.0168056382780033","0.0141311815573929","0.0194800949986136","1"
"1 Strongly disagree","2005","35-65 y.","East Germany","33","0.0148964532158738","0.0103490072732782","0.0194438991584693","1"
"1 Strongly disagree","2005","66 and older","West Germany","65","0.0247866614952737","0.0190330505422921","0.0305402724482553","1"
"1 Strongly disagree","2005","66 and older","East Germany","18","","","","1"
"2 on scale 1-7 ","2005","35-65 y.","West Germany","353","0.0411941350661068","0.0370591741008611","0.0453290960313525","2"
"2 on scale 1-7 ","2005","16-34 y.","West Germany","121","0.0304235151182289","0.025078945689108","0.0357680845473498","2"
"2 on scale 1-7 ","2005","66 and older","East Germany","44","0.0485945459657119","0.0350141782284408","0.062174913702983","2"
"2 on scale 1-7 ","2005","16-34 y.","East Germany","40","0.0340940956409892","0.0244209719051848","0.0437672193767937","2"
"2 on scale 1-7 ","2005","35-65 y.","East Germany","101","0.0413424437731404","0.0338690995329455","0.0488157880133352","2"
"2 on scale 1-7 ","2005","66 and older","West Germany","144","0.0537343777337929","0.0453896090718531","0.0620791463957326","2"
"3 on scale 1-7 ","2005","66 and older","West Germany","283","0.0957211156784746","0.0848334010556778","0.106608830301271","3"
"3 on scale 1-7 ","2005","16-34 y.","West Germany","275","0.068754869509483","0.0608807730757612","0.0766289659432047","3"
"3 on scale 1-7 ","2005","35-65 y.","East Germany","228","0.0889160670726564","0.0782315602285073","0.0996005739168054","3"
"3 on scale 1-7 ","2005","35-65 y.","West Germany","786","0.0903809714252919","0.0844153368147577","0.0963466060358261","3"
"3 on scale 1-7 ","2005","16-34 y.","East Germany","103","0.068627748417171","0.0551514298761132","0.0821040669582288","3"
"3 on scale 1-7 ","2005","66 and older","East Germany","81","0.0900967244431411","0.0720130340607131","0.108180414825569","3"
"4 on scale 1-7","2005","66 and older","East Germany","212","0.215645183240106","0.189669850925326","0.241620515554886","4"
"4 on scale 1-7","2005","16-34 y.","East Germany","234","0.173562615382955","0.153374637724196","0.193750593041714","4"
"4 on scale 1-7","2005","35-65 y.","West Germany","1752","0.198123332651731","0.189830364843276","0.206416300460187","4"
"4 on scale 1-7","2005","66 and older","West Germany","608","0.212006339510621","0.196880571199903","0.227132107821339","4"
"4 on scale 1-7","2005","16-34 y.","West Germany","678","0.177172430536894","0.165290979582009","0.18905388149178","4"
"4 on scale 1-7","2005","35-65 y.","East Germany","520","0.197457301069565","0.182513680304035","0.212400921835095","4"
"5 on scale 1-7","2005","66 and older","East Germany","226","0.214134152273496","0.188225064369781","0.240043240177212","5"
"5 on scale 1-7","2005","35-65 y.","East Germany","664","0.240437060313571","0.224394718953437","0.256479401673704","5"
"5 on scale 1-7","2005","66 and older","West Germany","595","0.207519337010988","0.192511943139028","0.222526730882949","5"
"5 on scale 1-7","2005","16-34 y.","West Germany","939","0.239840793724879","0.226553675569904","0.253127911879855","5"
"5 on scale 1-7","2005","16-34 y.","East Germany","336","0.225987641339632","0.203694255248828","0.248281027430437","5"
"5 on scale 1-7","2005","35-65 y.","West Germany","2035","0.224842855650894","0.216156796107806","0.233528915193982","5"
"6 on scale 1-7","2005","66 and older","East Germany","203","0.22226010158578","0.196000816919149","0.248519386252411","6"
