"plb0050","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2001","Schleswig-Holstein","(0) in school","","","",""
"Yes","2001","Schleswig-Holstein","(1a) inadequately completed","3","","",""
"Yes","2001","Schleswig-Holstein","(1b) general elementary school","8","","",""
"Yes","2001","Schleswig-Holstein","(1c) basic vocational qualification","51","0.472280118573262","0.381820090114044","0.562740147032481"
"Yes","2001","Schleswig-Holstein","(2b) intermediate general qualification","4","","",""
"Yes","2001","Schleswig-Holstein","(2a) intermediate vocational","59","0.564097758231871","0.471431103213517","0.656764413250225"
"Yes","2001","Schleswig-Holstein","(2c_gen) general maturity certificate","6","","",""
"Yes","2001","Schleswig-Holstein","(2c_voc) vocational maturity certificate","17","","",""
"Yes","2001","Schleswig-Holstein","(3a) lower tertiary education","18","","",""
"Yes","2001","Schleswig-Holstein","(3b) higher tertiary education","16","","",""
"Yes","2001","Hamburg","(0) in school","1","","",""
"Yes","2001","Hamburg","(1a) inadequately completed","1","","",""
"Yes","2001","Hamburg","(1b) general elementary school","2","","",""
"Yes","2001","Hamburg","(1c) basic vocational qualification","19","","",""
"Yes","2001","Hamburg","(2b) intermediate general qualification","","","",""
"Yes","2001","Hamburg","(2a) intermediate vocational","24","","",""
"Yes","2001","Hamburg","(2c_gen) general maturity certificate","6","","",""
"Yes","2001","Hamburg","(2c_voc) vocational maturity certificate","12","","",""
"Yes","2001","Hamburg","(3a) lower tertiary education","10","","",""
"Yes","2001","Hamburg","(3b) higher tertiary education","20","","",""
"Yes","2001","Lower Saxony","(0) in school","1","","",""
"Yes","2001","Lower Saxony","(1a) inadequately completed","4","","",""
"Yes","2001","Lower Saxony","(1b) general elementary school","31","0.552782016138902","0.433727116807612","0.671836915470192"
"Yes","2001","Lower Saxony","(1c) basic vocational qualification","162","0.472075509132657","0.418456644427439","0.525694373837875"
"Yes","2001","Lower Saxony","(2b) intermediate general qualification","18","","",""
"Yes","2001","Lower Saxony","(2a) intermediate vocational","161","0.536338444842827","0.480373229482686","0.592303660202968"
"Yes","2001","Lower Saxony","(2c_gen) general maturity certificate","15","","",""
"Yes","2001","Lower Saxony","(2c_voc) vocational maturity certificate","48","0.545078496379568","0.434569267809321","0.655587724949815"
"Yes","2001","Lower Saxony","(3a) lower tertiary education","44","0.669945869344109","0.558180803651368","0.781710935036851"
"Yes","2001","Lower Saxony","(3b) higher tertiary education","78","0.653987881262737","0.565091874309982","0.742883888215492"
"Yes","2001","Bremen","(0) in school","","","",""
"Yes","2001","Bremen","(1a) inadequately completed","2","","",""
"Yes","2001","Bremen","(1b) general elementary school","4","","",""
"Yes","2001","Bremen","(1c) basic vocational qualification","11","","",""
"Yes","2001","Bremen","(2b) intermediate general qualification","3","","",""
"Yes","2001","Bremen","(2a) intermediate vocational","8","","",""
"Yes","2001","Bremen","(2c_gen) general maturity certificate","1","","",""
"Yes","2001","Bremen","(2c_voc) vocational maturity certificate","6","","",""
"Yes","2001","Bremen","(3a) lower tertiary education","4","","",""
"Yes","2001","Bremen","(3b) higher tertiary education","10","","",""
"Yes","2001","North Rhine-Westphalia","(0) in school","5","","",""
"Yes","2001","North Rhine-Westphalia","(1a) inadequately completed","17","","",""
"Yes","2001","North Rhine-Westphalia","(1b) general elementary school","93","0.42394738654389","0.355966452267163","0.491928320820618"
"Yes","2001","North Rhine-Westphalia","(1c) basic vocational qualification","425","0.528624003081085","0.494183578627836","0.563064427534335"
"Yes","2001","North Rhine-Westphalia","(2b) intermediate general qualification","38","0.483909340796717","0.377039921382011","0.590778760211423"
"Yes","2001","North Rhine-Westphalia","(2a) intermediate vocational","307","0.54190268879245","0.501142924009023","0.582662453575877"
"Yes","2001","North Rhine-Westphalia","(2c_gen) general maturity certificate","43","0.388961116331938","0.295265571886236","0.48265666077764"
"Yes","2001","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","188","0.599531065081824","0.545676218501354","0.653385911662294"
"Yes","2001","North Rhine-Westphalia","(3a) lower tertiary education","103","0.588899942482714","0.513364841606571","0.664435043358858"
"Yes","2001","North Rhine-Westphalia","(3b) higher tertiary education","183","0.549245333491803","0.495315693851981","0.603174973131626"
"Yes","2001","Hesse","(0) in school","","","",""
"Yes","2001","Hesse","(1a) inadequately completed","6","","",""
"Yes","2001","Hesse","(1b) general elementary school","35","0.432263931652363","0.317836648822404","0.546691214482321"
"Yes","2001","Hesse","(1c) basic vocational qualification","129","0.548456695024241","0.485496894264025","0.611416495784456"
"Yes","2001","Hesse","(2b) intermediate general qualification","9","","",""
"Yes","2001","Hesse","(2a) intermediate vocational","134","0.620884391611593","0.556480657582058","0.685288125641127"
"Yes","2001","Hesse","(2c_gen) general maturity certificate","12","","",""
"Yes","2001","Hesse","(2c_voc) vocational maturity certificate","55","0.605212070532499","0.504225747461598","0.706198393603401"
"Yes","2001","Hesse","(3a) lower tertiary education","39","0.62179250097338","0.500097992372729","0.743487009574031"
"Yes","2001","Hesse","(3b) higher tertiary education","69","0.637771135628434","0.548756168290216","0.726786102966652"
"Yes","2001","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","(1a) inadequately completed","4","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","(1b) general elementary school","23","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","141","0.438856178821039","0.381839778138987","0.495872579503092"
"Yes","2001","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","7","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","81","0.523160576595263","0.444783443475779","0.601537709714747"
"Yes","2001","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","8","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","28","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","24","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","44","0.639781910951401","0.520286567000732","0.75927725490207"
"Yes","2001","Baden-Württemberg","(0) in school","1","","",""
"Yes","2001","Baden-Württemberg","(1a) inadequately completed","14","","",""
"Yes","2001","Baden-Württemberg","(1b) general elementary school","123","0.586641624732336","0.519880329145688","0.653402920318983"
"Yes","2001","Baden-Württemberg","(1c) basic vocational qualification","234","0.50072749516001","0.456591372692586","0.544863617627433"
"Yes","2001","Baden-Württemberg","(2b) intermediate general qualification","22","","",""
"Yes","2001","Baden-Württemberg","(2a) intermediate vocational","191","0.535153346961531","0.482900730008269","0.587405963914792"
"Yes","2001","Baden-Württemberg","(2c_gen) general maturity certificate","25","","",""
"Yes","2001","Baden-Württemberg","(2c_voc) vocational maturity certificate","65","0.517934101385401","0.429985749188303","0.605882453582499"
"Yes","2001","Baden-Württemberg","(3a) lower tertiary education","68","0.623289531793516","0.530161551953053","0.716417511633979"
"Yes","2001","Baden-Württemberg","(3b) higher tertiary education","94","0.562590519065656","0.485725559984749","0.639455478146564"
"Yes","2001","Bavaria","(0) in school","3","","",""
"Yes","2001","Bavaria","(1a) inadequately completed","7","","",""
"Yes","2001","Bavaria","(1b) general elementary school","74","0.43477490906584","0.358905077544886","0.510644740586794"
"Yes","2001","Bavaria","(1c) basic vocational qualification","358","0.487428137824594","0.450609803147849","0.52424647250134"
"Yes","2001","Bavaria","(2b) intermediate general qualification","23","","",""
"Yes","2001","Bavaria","(2a) intermediate vocational","218","0.509143012612273","0.461614851804449","0.556671173420097"
"Yes","2001","Bavaria","(2c_gen) general maturity certificate","11","","",""
"Yes","2001","Bavaria","(2c_voc) vocational maturity certificate","57","0.521511634451156","0.432134760647802","0.61088850825451"
"Yes","2001","Bavaria","(3a) lower tertiary education","83","0.612352963824068","0.530166489022506","0.69453943862563"
"Yes","2001","Bavaria","(3b) higher tertiary education","102","0.572469084917094","0.500595024822584","0.644343145011604"
"Yes","2001","Berlin","(0) in school","","","",""
"Yes","2001","Berlin","(1a) inadequately completed","1","","",""
"Yes","2001","Berlin","(1b) general elementary school","7","","",""
"Yes","2001","Berlin","(1c) basic vocational qualification","36","0.55616000069725","0.433475157793917","0.678844843600584"
"Yes","2001","Berlin","(2b) intermediate general qualification","9","","",""
"Yes","2001","Berlin","(2a) intermediate vocational","82","0.532654422641803","0.451723684701709","0.613585160581898"
"Yes","2001","Berlin","(2c_gen) general maturity certificate","9","","",""
"Yes","2001","Berlin","(2c_voc) vocational maturity certificate","13","","",""
"Yes","2001","Berlin","(3a) lower tertiary education","44","0.613194316504711","0.498281351787774","0.728107281221648"
"Yes","2001","Berlin","(3b) higher tertiary education","46","0.516770332799738","0.408610315972254","0.624930349627222"
"Yes","2001","Brandenburg","(0) in school","1","","",""
"Yes","2001","Brandenburg","(1a) inadequately completed","","","",""
"Yes","2001","Brandenburg","(1b) general elementary school","7","","",""
"Yes","2001","Brandenburg","(1c) basic vocational qualification","15","","",""
"Yes","2001","Brandenburg","(2b) intermediate general qualification","6","","",""
"Yes","2001","Brandenburg","(2a) intermediate vocational","105","0.480925842999069","0.415495703990461","0.546355982007676"
"Yes","2001","Brandenburg","(2c_gen) general maturity certificate","10","","",""
"Yes","2001","Brandenburg","(2c_voc) vocational maturity certificate","8","","",""
"Yes","2001","Brandenburg","(3a) lower tertiary education","60","0.676612625595108","0.581543785417944","0.771681465772273"
"Yes","2001","Brandenburg","(3b) higher tertiary education","41","0.604838746461072","0.485988963700761","0.723688529221383"
"Yes","2001","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Yes","2001","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Yes","2001","Mecklenburg-Western Pomerania","(1b) general elementary school","2","","",""
"Yes","2001","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","9","","",""
"Yes","2001","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","2","","",""
"Yes","2001","Mecklenburg-Western Pomerania","(2a) intermediate vocational","72","0.513705174303946","0.433452086507103","0.593958262100789"
"Yes","2001","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","8","","",""
"Yes","2001","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","3","","",""
"Yes","2001","Mecklenburg-Western Pomerania","(3a) lower tertiary education","24","","",""
"Yes","2001","Mecklenburg-Western Pomerania","(3b) higher tertiary education","19","","",""
"Yes","2001","Saxony","(0) in school","1","","",""
"Yes","2001","Saxony","(1a) inadequately completed","","","",""
"Yes","2001","Saxony","(1b) general elementary school","4","","",""
"Yes","2001","Saxony","(1c) basic vocational qualification","19","","",""
"Yes","2001","Saxony","(2b) intermediate general qualification","14","","",""
"Yes","2001","Saxony","(2a) intermediate vocational","186","0.403446765324305","0.357865559826471","0.449027970822138"
"Yes","2001","Saxony","(2c_gen) general maturity certificate","6","","",""
"Yes","2001","Saxony","(2c_voc) vocational maturity certificate","16","","",""
"Yes","2001","Saxony","(3a) lower tertiary education","59","0.513100695940171","0.42547853425126","0.600722857629082"
"Yes","2001","Saxony","(3b) higher tertiary education","73","0.581528502454467","0.494349081579335","0.668707923329599"
"Yes","2001","Saxony-Anhalt","(0) in school","","","",""
"Yes","2001","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Yes","2001","Saxony-Anhalt","(1b) general elementary school","3","","",""
