"plb0050","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2005","Rural Area","Male","","","","","2"
"No","2005","Rural Area","Female","","","","","2"
"Yes","2005","Urban Area","Female","","","","","1"
"Yes","2005","Urban Area","Male","","","","","1"
"Yes","2005","Rural Area","Male","","","","","1"
"Yes","2005","Rural Area","Female","","","","","1"
"No","2006","Urban Area","Male","1904","0.457316995815864","0.442418298806105","0.472215692825622","2"
"No","2006","Urban Area","Female","1914","0.509539069885232","0.493706928567577","0.525371211202887","2"
"No","2006","Rural Area","Male","1114","0.546602731073126","0.525270189558896","0.567935272587355","2"
"No","2006","Rural Area","Female","1007","0.523809543532119","0.501417445101642","0.546201641962595","2"
"Yes","2006","Urban Area","Female","1916","0.490460930114768","0.474628788797113","0.506293071432423","1"
"Yes","2006","Rural Area","Female","904","0.476190456467881","0.453798358037405","0.498582554898358","1"
"Yes","2006","Urban Area","Male","2391","0.542683004184136","0.527784307174378","0.557581701193895","1"
"Yes","2006","Rural Area","Male","978","0.453397268926875","0.432064727412646","0.474729810441104","1"
"No","2007","Urban Area","Male","","","","","2"
"No","2007","Urban Area","Female","","","","","2"
"No","2007","Rural Area","Male","","","","","2"
"No","2007","Rural Area","Female","","","","","2"
"Yes","2007","Urban Area","Female","","","","","1"
"Yes","2007","Rural Area","Female","","","","","1"
"Yes","2007","Urban Area","Male","","","","","1"
"Yes","2007","Rural Area","Male","","","","","1"
"No","2008","Urban Area","Female","","","","","2"
"No","2008","Rural Area","Male","","","","","2"
"No","2008","Rural Area","Female","","","","","2"
"No","2008","Urban Area","Male","","","","","2"
"Yes","2008","Urban Area","Female","","","","","1"
"Yes","2008","Rural Area","Female","","","","","1"
"Yes","2008","Urban Area","Male","","","","","1"
"Yes","2008","Rural Area","Male","","","","","1"
"No","2009","Urban Area","Female","","","","","2"
"No","2009","Rural Area","Male","","","","","2"
"No","2009","Rural Area","Female","","","","","2"
"No","2009","Urban Area","Male","","","","","2"
"Yes","2009","Urban Area","Female","","","","","1"
"Yes","2009","Rural Area","Female","","","","","1"
"Yes","2009","Urban Area","Male","","","","","1"
"Yes","2009","Rural Area","Male","","","","","1"
"No","2010","Urban Area","Female","","","","","2"
"No","2010","Urban Area","Male","","","","","2"
"No","2010","Rural Area","Male","","","","","2"
"No","2010","Rural Area","Female","","","","","2"
"Yes","2010","Urban Area","Male","","","","","1"
"Yes","2010","Urban Area","Female","","","","","1"
"Yes","2010","Rural Area","Female","","","","","1"
"Yes","2010","Rural Area","Male","","","","","1"
"No","2011","Urban Area","Female","1719","0.468460129446722","0.452136936773292","0.484783322120151","2"
"No","2011","Rural Area","Female","951","0.5093041491755","0.48693143936301","0.531676858987989","2"
"No","2011","Urban Area","Male","1541","0.427184743783509","0.411128094770093","0.443241392796926","2"
"No","2011","Rural Area","Male","973","0.485452701518484","0.463382764680518","0.50752263835645","2"
"Yes","2011","Rural Area","Female","967","0.4906958508245","0.468323141012011","0.51306856063699","1"
"Yes","2011","Urban Area","Male","2105","0.572815256216491","0.556758607203074","0.588871905229907","1"
"Yes","2011","Urban Area","Female","1871","0.531539870553278","0.515216677879849","0.547863063226708","1"
"Yes","2011","Rural Area","Male","997","0.514547298481516","0.49247736164355","0.536617235319482","1"
"No","2012","Urban Area","Female","","","","","2"
"No","2012","Rural Area","Female","","","","","2"
"No","2012","Urban Area","Male","","","","","2"
"No","2012","Rural Area","Male","","","","","2"
"Yes","2012","Rural Area","Female","","","","","1"
"Yes","2012","Urban Area","Male","","","","","1"
"Yes","2012","Urban Area","Female","","","","","1"
"Yes","2012","Rural Area","Male","","","","","1"
"No","2013","Urban Area","Female","","","","","2"
"No","2013","Rural Area","Female","","","","","2"
"No","2013","Urban Area","Male","","","","","2"
"No","2013","Rural Area","Male","","","","","2"
"Yes","2013","Urban Area","Male","","","","","1"
"Yes","2013","Urban Area","Female","","","","","1"
"Yes","2013","Rural Area","Male","","","","","1"
"Yes","2013","Rural Area","Female","","","","","1"
"No","2014","Urban Area","Female","","","","","2"
"No","2014","Rural Area","Female","","","","","2"
"No","2014","Urban Area","Male","","","","","2"
"No","2014","Rural Area","Male","","","","","2"
"Yes","2014","Urban Area","Male","","","","","1"
"Yes","2014","Urban Area","Female","","","","","1"
"Yes","2014","Rural Area","Male","","","","","1"
"Yes","2014","Rural Area","Female","","","","","1"
"No","2015","Urban Area","Male","","","","","2"
"No","2015","Urban Area","Female","","","","","2"
"No","2015","Rural Area","Female","","","","","2"
