"plb0050","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2001","(0) in school","West Germany","11","","",""
"Yes","2001","(0) in school","East Germany","2","","",""
"Yes","2001","(1a) inadequately completed","West Germany","59","0.553131709368787","0.457117938645359","0.649145480092215"
"Yes","2001","(1a) inadequately completed","East Germany","","","",""
"Yes","2001","(1b) general elementary school","West Germany","398","0.473173931707155","0.439104479546925","0.507243383867385"
"Yes","2001","(1b) general elementary school","East Germany","19","","",""
"Yes","2001","(1c) basic vocational qualification","West Germany","1554","0.500400872333908","0.48276286003763","0.518038884630186"
"Yes","2001","(1c) basic vocational qualification","East Germany","108","0.336401373827919","0.284141917599903","0.388660830055935"
"Yes","2001","(2b) intermediate general qualification","West Germany","130","0.471806036587747","0.412804923156106","0.530807150019388"
"Yes","2001","(2b) intermediate general qualification","East Germany","37","0.384068461220899","0.291478116193629","0.47665880624817"
"Yes","2001","(2a) intermediate vocational","West Germany","1225","0.546654803550422","0.526139739167438","0.567169867933405"
"Yes","2001","(2a) intermediate vocational","East Germany","596","0.418783968252521","0.392894400260468","0.444673536244574"
"Yes","2001","(2c_gen) general maturity certificate","West Germany","133","0.408454988601012","0.353736606911812","0.463173370290212"
"Yes","2001","(2c_gen) general maturity certificate","East Germany","40","0.43731229079658","0.334254069188245","0.540370512404915"
"Yes","2001","(2c_voc) vocational maturity certificate","West Germany","486","0.566268125068064","0.533298807612979","0.59923744252315"
"Yes","2001","(2c_voc) vocational maturity certificate","East Germany","53","0.537805169034908","0.440087495408898","0.635522842660919"
"Yes","2001","(3a) lower tertiary education","West Germany","417","0.609533173561616","0.572257466594267","0.646808880528965"
"Yes","2001","(3a) lower tertiary education","East Germany","253","0.551577950083336","0.506080330376266","0.597075569790406"
"Yes","2001","(3b) higher tertiary education","West Germany","644","0.584412351220126","0.555047657897426","0.613777044542826"
"Yes","2001","(3b) higher tertiary education","East Germany","223","0.579523602336855","0.529225267863202","0.629821936810507"
"No","2001","(0) in school","West Germany","49","0.831011932808847","0.73619102362617","0.925832841991525"
"No","2001","(0) in school","East Germany","10","","",""
"No","2001","(1a) inadequately completed","West Germany","44","0.446868290631213","0.350854519907785","0.542882061354641"
"No","2001","(1a) inadequately completed","East Germany","6","","",""
"No","2001","(1b) general elementary school","West Germany","427","0.526826068292845","0.492756616132615","0.560895520453075"
"No","2001","(1b) general elementary school","East Germany","50","0.724727836025512","0.61933959273531","0.830116079315714"
"No","2001","(1c) basic vocational qualification","West Germany","1533","0.499599127666092","0.481961115369814","0.51723713996237"
"No","2001","(1c) basic vocational qualification","East Germany","206","0.663598626172081","0.611339169944065","0.715858082400097"
"No","2001","(2b) intermediate general qualification","West Germany","145","0.528193963412253","0.469192849980612","0.587195076843894"
"No","2001","(2b) intermediate general qualification","East Germany","69","0.615931538779101","0.52334119375183","0.708521883806372"
"No","2001","(2a) intermediate vocational","West Germany","1037","0.453345196449578","0.432830132066595","0.473860260832562"
"No","2001","(2a) intermediate vocational","East Germany","799","0.581216031747479","0.555326463755426","0.607105599739532"
"No","2001","(2c_gen) general maturity certificate","West Germany","177","0.591545011398988","0.536826629709788","0.646263393088188"
"No","2001","(2c_gen) general maturity certificate","East Germany","49","0.56268770920342","0.459629487595085","0.665745930811755"
"No","2001","(2c_voc) vocational maturity certificate","West Germany","382","0.433731874931936","0.40076255747685","0.466701192387021"
"No","2001","(2c_voc) vocational maturity certificate","East Germany","47","0.462194830965092","0.364477157339081","0.559912504591102"
"No","2001","(3a) lower tertiary education","West Germany","241","0.390466826438384","0.353191119471035","0.427742533405733"
"No","2001","(3a) lower tertiary education","East Germany","206","0.448422049916664","0.402924430209594","0.493919669623734"
"No","2001","(3b) higher tertiary education","West Germany","438","0.415587648779874","0.386222955457174","0.444952342102574"
"No","2001","(3b) higher tertiary education","East Germany","147","0.420476397663145","0.370178063189493","0.470774732136798"
"Yes","2002","(0) in school","West Germany","","","",""
"Yes","2002","(0) in school","East Germany","","","",""
"Yes","2002","(1a) inadequately completed","West Germany","","","",""
"Yes","2002","(1a) inadequately completed","East Germany","","","",""
"Yes","2002","(1b) general elementary school","West Germany","","","",""
"Yes","2002","(1b) general elementary school","East Germany","","","",""
"Yes","2002","(1c) basic vocational qualification","West Germany","","","",""
"Yes","2002","(1c) basic vocational qualification","East Germany","","","",""
"Yes","2002","(2b) intermediate general qualification","West Germany","","","",""
"Yes","2002","(2b) intermediate general qualification","East Germany","","","",""
"Yes","2002","(2a) intermediate vocational","West Germany","","","",""
"Yes","2002","(2a) intermediate vocational","East Germany","","","",""
"Yes","2002","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","2002","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","2002","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","2002","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","2002","(3a) lower tertiary education","West Germany","","","",""
"Yes","2002","(3a) lower tertiary education","East Germany","","","",""
"Yes","2002","(3b) higher tertiary education","West Germany","","","",""
"Yes","2002","(3b) higher tertiary education","East Germany","","","",""
"No","2002","(0) in school","West Germany","","","",""
"No","2002","(0) in school","East Germany","","","",""
"No","2002","(1a) inadequately completed","West Germany","","","",""
"No","2002","(1a) inadequately completed","East Germany","","","",""
"No","2002","(1b) general elementary school","West Germany","","","",""
"No","2002","(1b) general elementary school","East Germany","","","",""
"No","2002","(1c) basic vocational qualification","West Germany","","","",""
"No","2002","(1c) basic vocational qualification","East Germany","","","",""
"No","2002","(2b) intermediate general qualification","West Germany","","","",""
"No","2002","(2b) intermediate general qualification","East Germany","","","",""
