"plb0050","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2001","in school","West Germany","11","","",""
"Yes","2001","in school","East Germany","2","","",""
"Yes","2001","inadequately","West Germany","53","0.541290549864664","0.442128318657464","0.640452781071864"
"Yes","2001","inadequately","East Germany","1","","",""
"Yes","2001","general elemantary","West Germany","522","0.471635185091643","0.441972962716861","0.501297407466426"
"Yes","2001","general elemantary","East Germany","55","0.333086573846148","0.262854040598412","0.403319107093885"
"Yes","2001","middle vocational","West Germany","2605","0.513341488564678","0.499590136147587","0.527092840981768"
"Yes","2001","middle vocational","East Germany","647","0.405312724005033","0.380918739884376","0.429706708125691"
"Yes","2001","vocational + Abi","West Germany","339","0.545053602337273","0.506138113453413","0.583969091221132"
"Yes","2001","vocational + Abi","East Germany","39","0.490116361306792","0.375440555781392","0.604792166832192"
"Yes","2001","higher vocational","West Germany","468","0.544287499124797","0.510767051008152","0.577807947241442"
"Yes","2001","higher vocational","East Germany","111","0.427461890589333","0.368778166245328","0.486145614933338"
"Yes","2001","higher education","West Germany","1061","0.593973787290124","0.570899189336403","0.617048385243844"
"Yes","2001","higher education","East Germany","476","0.564238932111394","0.530484829720081","0.597993034502708"
"No","2001","in school","West Germany","49","0.831011932808847","0.73619102362617","0.925832841991525"
"No","2001","in school","East Germany","10","","",""
"No","2001","inadequately","West Germany","44","0.458709450135336","0.359547218928135","0.557871681342536"
"No","2001","inadequately","East Germany","4","","",""
"No","2001","general elemantary","West Germany","566","0.528364814908357","0.498702592533574","0.558027037283139"
"No","2001","general elemantary","East Germany","118","0.666913426153852","0.596680892906115","0.737145959401588"
"No","2001","middle vocational","West Germany","2470","0.486658511435322","0.472907159018231","0.500409863852412"
"No","2001","middle vocational","East Germany","909","0.594687275994967","0.57029329187431","0.619081260115624"
"No","2001","vocational + Abi","West Germany","290","0.454946397662727","0.416030908778868","0.493861886546586"
"No","2001","vocational + Abi","East Germany","34","0.509883638693208","0.395207833167808","0.624559444218608"
"No","2001","higher vocational","West Germany","380","0.455712500875203","0.422192052758558","0.489232948991848"
"No","2001","higher vocational","East Germany","162","0.572538109410667","0.513854385066662","0.631221833754672"
"No","2001","higher education","West Germany","679","0.406026212709876","0.382951614756156","0.429100810663597"
"No","2001","higher education","East Germany","353","0.435761067888606","0.402006965497292","0.469515170279919"
"Yes","2002","in school","West Germany","","","",""
"Yes","2002","in school","East Germany","","","",""
"Yes","2002","inadequately","West Germany","","","",""
"Yes","2002","inadequately","East Germany","","","",""
"Yes","2002","general elemantary","West Germany","","","",""
"Yes","2002","general elemantary","East Germany","","","",""
"Yes","2002","middle vocational","West Germany","","","",""
"Yes","2002","middle vocational","East Germany","","","",""
