"plb0050","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2001","West Germany","Male","3068","0.568491946927335","0.555175329377727","0.581808564476944"
"Yes","2001","West Germany","Female","1999","0.472689735640753","0.457686996891874","0.487692474389633"
"Yes","2001","East Germany","Male","672","0.420815544173073","0.396277653341918","0.445353435004227"
"Yes","2001","East Germany","Female","666","0.476627395460685","0.450276004684446","0.502978786236923"
"No","2001","West Germany","Male","2246","0.431508053072665","0.418191435523056","0.444824670622273"
"No","2001","West Germany","Female","2255","0.527310264359247","0.512307525610367","0.542313003108126"
"No","2001","East Germany","Male","883","0.579184455826927","0.554646564995773","0.603722346658082"
"No","2001","East Germany","Female","714","0.523372604539315","0.497021213763077","0.549723995315554"
"Yes","2002","West Germany","Male","","","",""
"Yes","2002","West Germany","Female","","","",""
"Yes","2002","East Germany","Male","","","",""
"Yes","2002","East Germany","Female","","","",""
"No","2002","West Germany","Male","","","",""
"No","2002","West Germany","Female","","","",""
"No","2002","East Germany","Male","","","",""
"No","2002","East Germany","Female","","","",""
"Yes","2003","West Germany","Male","","","",""
"Yes","2003","West Germany","Female","","","",""
"Yes","2003","East Germany","Male","","","",""
"Yes","2003","East Germany","Female","","","",""
"No","2003","West Germany","Male","","","",""
"No","2003","West Germany","Female","","","",""
"No","2003","East Germany","Male","","","",""
"No","2003","East Germany","Female","","","",""
"Yes","2004","West Germany","Male","","","",""
"Yes","2004","West Germany","Female","","","",""
"Yes","2004","East Germany","Male","","","",""
"Yes","2004","East Germany","Female","","","",""
"No","2004","West Germany","Male","","","",""
"No","2004","West Germany","Female","","","",""
"No","2004","East Germany","Male","","","",""
"No","2004","East Germany","Female","","","",""
"Yes","2005","West Germany","Male","","","",""
"Yes","2005","West Germany","Female","","","",""
"Yes","2005","East Germany","Male","","","",""
"Yes","2005","East Germany","Female","","","",""
"No","2005","West Germany","Male","","","",""
"No","2005","West Germany","Female","","","",""
"No","2005","East Germany","Male","","","",""
"No","2005","East Germany","Female","","","",""
"Yes","2006","West Germany","Male","2763","0.536190322767966","0.522366253180003","0.550014392355928"
"Yes","2006","West Germany","Female","2164","0.487624703194161","0.472877214624448","0.502372191763875"
"Yes","2006","East Germany","Male","606","0.411195220958752","0.385309333997206","0.437081107920298"
"Yes","2006","East Germany","Female","656","0.477915288461781","0.451049783789537","0.504780793134024"
"No","2006","West Germany","Male","2236","0.463809677232034","0.449985607644072","0.477633746819997"
"No","2006","West Germany","Female","2249","0.512375296805839","0.497627808236125","0.527122785375552"
"No","2006","East Germany","Male","782","0.588804779041248","0.562918892079702","0.614690666002794"
"No","2006","East Germany","Female","672","0.522084711538219","0.495219206865976","0.548950216210463"
"Yes","2007","West Germany","Male","","","",""
"Yes","2007","West Germany","Female","","","",""
"Yes","2007","East Germany","Male","","","",""
"Yes","2007","East Germany","Female","","","",""
"No","2007","West Germany","Male","","","",""
"No","2007","West Germany","Female","","","",""
"No","2007","East Germany","Male","","","",""
"No","2007","East Germany","Female","","","",""
