"plb0050","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Yes","2009","35-65 y.","Rural Area","","","","","1"
"Yes","2009","16-34 y.","Urban Area","","","","","1"
"Yes","2009","16-34 y.","Rural Area","","","","","1"
"Yes","2009","66 and older","Urban Area","","","","","1"
"Yes","2009","66 and older","Rural Area","","","","","1"
"No","2010","16-34 y.","Urban Area","","","","","2"
"No","2010","16-34 y.","Rural Area","","","","","2"
"No","2010","66 and older","Urban Area","","","","","2"
"No","2010","66 and older","Rural Area","","","","","2"
"No","2010","35-65 y.","Urban Area","","","","","2"
"No","2010","35-65 y.","Rural Area","","","","","2"
"Yes","2010","35-65 y.","Urban Area","","","","","1"
"Yes","2010","35-65 y.","Rural Area","","","","","1"
"Yes","2010","16-34 y.","Urban Area","","","","","1"
"Yes","2010","16-34 y.","Rural Area","","","","","1"
"Yes","2010","66 and older","Urban Area","","","","","1"
"Yes","2010","66 and older","Rural Area","","","","","1"
"No","2011","16-34 y.","Urban Area","863","0.474989945791875","0.451797734981585","0.498182156602165","2"
"No","2011","16-34 y.","Rural Area","475","0.510434777435346","0.478341391209776","0.542528163660915","2"
"No","2011","66 and older","Urban Area","105","0.807937097083704","0.739694801845042","0.876179392322366","2"
"No","2011","66 and older","Rural Area","49","0.783442253276702","0.680914225463302","0.885970281090102","2"
"No","2011","35-65 y.","Urban Area","2292","0.425652988810367","0.412375321918064","0.438930655702669","2"
"No","2011","35-65 y.","Rural Area","1400","0.482494170975877","0.464288676212329","0.500699665739426","2"
"Yes","2011","35-65 y.","Urban Area","3035","0.574347011189633","0.561069344297331","0.587624678081936","1"
"Yes","2011","35-65 y.","Rural Area","1494","0.517505829024123","0.499300334260574","0.535711323787671","1"
"Yes","2011","66 and older","Urban Area","23","","","","1"
"Yes","2011","16-34 y.","Urban Area","918","0.525010054208125","0.501817843397835","0.548202265018415","1"
"Yes","2011","16-34 y.","Rural Area","457","0.489565222564655","0.457471836339085","0.521658608790224","1"
"Yes","2011","66 and older","Rural Area","13","","","","1"
"No","2012","16-34 y.","Urban Area","","","","","2"
"No","2012","16-34 y.","Rural Area","","","","","2"
"No","2012","66 and older","Urban Area","","","","","2"
"No","2012","66 and older","Rural Area","","","","","2"
"No","2012","35-65 y.","Urban Area","","","","","2"
"No","2012","35-65 y.","Rural Area","","","","","2"
"Yes","2012","35-65 y.","Urban Area","","","","","1"
"Yes","2012","35-65 y.","Rural Area","","","","","1"
"Yes","2012","66 and older","Urban Area","","","","","1"
"Yes","2012","66 and older","Rural Area","","","","","1"
"Yes","2012","16-34 y.","Urban Area","","","","","1"
"Yes","2012","16-34 y.","Rural Area","","","","","1"
"No","2013","16-34 y.","Urban Area","","","","","2"
"No","2013","16-34 y.","Rural Area","","","","","2"
"No","2013","35-65 y.","Urban Area","","","","","2"
"No","2013","35-65 y.","Rural Area","","","","","2"
"No","2013","66 and older","Urban Area","","","","","2"
"No","2013","66 and older","Rural Area","","","","","2"
"Yes","2013","35-65 y.","Urban Area","","","","","1"
"Yes","2013","35-65 y.","Rural Area","","","","","1"
"Yes","2013","66 and older","Urban Area","","","","","1"
"Yes","2013","66 and older","Rural Area","","","","","1"
"Yes","2013","16-34 y.","Urban Area","","","","","1"
"Yes","2013","16-34 y.","Rural Area","","","","","1"
"No","2014","16-34 y.","Urban Area","","","","","2"
"No","2014","16-34 y.","Rural Area","","","","","2"
"No","2014","35-65 y.","Urban Area","","","","","2"
"No","2014","35-65 y.","Rural Area","","","","","2"
"No","2014","66 and older","Urban Area","","","","","2"
"No","2014","66 and older","Rural Area","","","","","2"
"Yes","2014","35-65 y.","Urban Area","","","","","1"
"Yes","2014","35-65 y.","Rural Area","","","","","1"
"Yes","2014","16-34 y.","Urban Area","","","","","1"
"Yes","2014","66 and older","Urban Area","","","","","1"
"Yes","2014","66 and older","Rural Area","","","","","1"
"Yes","2014","16-34 y.","Rural Area","","","","","1"
"No","2015","16-34 y.","Urban Area","","","","","2"
"No","2015","16-34 y.","Rural Area","","","","","2"
"No","2015","35-65 y.","Urban Area","","","","","2"
"No","2015","35-65 y.","Rural Area","","","","","2"
"No","2015","66 and older","Urban Area","","","","","2"
"No","2015","66 and older","Rural Area","","","","","2"
"Yes","2015","35-65 y.","Urban Area","","","","","1"
"Yes","2015","35-65 y.","Rural Area","","","","","1"
"Yes","2015","16-34 y.","Urban Area","","","","","1"
"Yes","2015","16-34 y.","Rural Area","","","","","1"
"Yes","2015","66 and older","Urban Area","","","","","1"
"Yes","2015","66 and older","Rural Area","","","","","1"
"No","2016","16-34 y.","Urban Area","1180","0.486021110038243","0.46575306412863","0.506289155947856","2"
"No","2016","16-34 y.","Rural Area","551","0.47778712146034","0.448174352469912","0.507399890450769","2"
"No","2016","35-65 y.","Urban Area","2973","0.434721872416212","0.422794858144017","0.446648886688406","2"
"No","2016","35-65 y.","Rural Area","1734","0.456098413576525","0.439884661454959","0.472312165698091","2"
"No","2016","66 and older","Urban Area","119","0.800582478186232","0.737680118191637","0.863484838180826","2"
"No","2016","66 and older","Rural Area","58","0.746850405842919","0.651568918924262","0.842131892761575","2"
"Yes","2016","35-65 y.","Urban Area","3663","0.565278127583788","0.553351113311594","0.577205141855983","1"
"Yes","2016","35-65 y.","Rural Area","1891","0.543901586423475","0.527687834301909","0.560115338545041","1"
"Yes","2016","16-34 y.","Urban Area","1156","0.513978889961757","0.493710844052144","0.53424693587137","1"
"Yes","2016","16-34 y.","Rural Area","542","0.52221287853966","0.492600109549231","0.551825647530088","1"
"Yes","2016","66 and older","Urban Area","36","0.199417521813768","0.136515161819174","0.262319881808363","1"
"Yes","2016","66 and older","Rural Area","22","","","","1"
"No","2017","16-34 y.","Urban Area","","","","","2"
"No","2017","16-34 y.","Rural Area","","","","","2"
"No","2017","35-65 y.","Urban Area","","","","","2"
"No","2017","35-65 y.","Rural Area","","","","","2"
"No","2017","66 and older","Urban Area","","","","","2"
"No","2017","66 and older","Rural Area","","","","","2"
"Yes","2017","35-65 y.","Urban Area","","","","","1"
"Yes","2017","35-65 y.","Rural Area","","","","","1"
"Yes","2017","16-34 y.","Urban Area","","","","","1"
"Yes","2017","16-34 y.","Rural Area","","","","","1"
"Yes","2017","66 and older","Urban Area","","","","","1"
"Yes","2017","66 and older","Rural Area","","","","","1"
"No","2018","16-34 y.","Urban Area","","","","","2"
"No","2018","16-34 y.","Rural Area","","","","","2"
"No","2018","35-65 y.","Urban Area","","","","","2"
"No","2018","35-65 y.","Rural Area","","","","","2"
"No","2018","66 and older","Urban Area","","","","","2"
"No","2018","66 and older","Rural Area","","","","","2"
"Yes","2018","35-65 y.","Urban Area","","","","","1"
"Yes","2018","35-65 y.","Rural Area","","","","","1"
"Yes","2018","16-34 y.","Urban Area","","","","","1"
"Yes","2018","16-34 y.","Rural Area","","","","","1"
"Yes","2018","66 and older","Urban Area","","","","","1"
"Yes","2018","66 and older","Rural Area","","","","","1"
"No","2019","16-34 y.","Urban Area","1007","0.448606240026666","0.427588236313385","0.469624243739948","2"
"No","2019","16-34 y.","Rural Area","549","0.487223861677373","0.457260715231109","0.517187008123638","2"
"No","2019","35-65 y.","Urban Area","3471","0.436694688076163","0.425065119677434","0.448324256474892","2"
"No","2019","35-65 y.","Rural Area","2177","0.474637716000521","0.45936384258781","0.489911589413232","2"
"No","2019","66 and older","Urban Area","258","0.749724580753196","0.702039948936919","0.797409212569472","2"
"No","2019","66 and older","Rural Area","143","0.807371663093039","0.746830448775029","0.867912877411049","2"
"Yes","2019","35-65 y.","Urban Area","3516","0.563305311923837","0.551675743525109","0.574934880322566","1"
"Yes","2019","35-65 y.","Rural Area","1929","0.525362283999479","0.510088410586768","0.54063615741219","1"
"Yes","2019","16-34 y.","Urban Area","1144","0.551393759973334","0.530375756260052","0.572411763686615","1"
"Yes","2019","66 and older","Urban Area","59","0.250275419246804","0.202590787430528","0.297960051063081","1"
"Yes","2019","16-34 y.","Rural Area","520","0.512776138322627","0.482812991876362","0.542739284768891","1"
"Yes","2019","66 and older","Rural Area","20","","","","1"
