"plb0050","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2001","Full Time","(0) in school","2","","",""
"Yes","2001","Full Time","(1a) inadequately completed","38","0.507020336102984","0.390729335251101","0.623311336954868"
"Yes","2001","Full Time","(1b) general elementary school","274","0.516272362724351","0.473278714268761","0.559266011179941"
"Yes","2001","Full Time","(1c) basic vocational qualification","1266","0.531903225868645","0.511969238345231","0.551837213392059"
"Yes","2001","Full Time","(2b) intermediate general qualification","115","0.510463133496837","0.447087249022582","0.573839017971092"
"Yes","2001","Full Time","(2a) intermediate vocational","1418","0.55118684738532","0.532196190294814","0.570177504475826"
"Yes","2001","Full Time","(2c_gen) general maturity certificate","77","0.467285749191969","0.390925982512652","0.543645515871287"
"Yes","2001","Full Time","(2c_voc) vocational maturity certificate","415","0.617345760927969","0.58084162821565","0.653849893640287"
"Yes","2001","Full Time","(3a) lower tertiary education","541","0.601402487545936","0.569163519472945","0.633641455618927"
"Yes","2001","Full Time","(3b) higher tertiary education","676","0.609306803512138","0.580434547816421","0.638179059207855"
"Yes","2001","Part Time","(0) in school","10","","",""
"Yes","2001","Part Time","(1a) inadequately completed","20","","",""
"Yes","2001","Part Time","(1b) general elementary school","140","0.395184890992369","0.344039557510017","0.446330224474722"
"Yes","2001","Part Time","(1c) basic vocational qualification","382","0.395705797233392","0.364577573252036","0.426834021214748"
"Yes","2001","Part Time","(2b) intermediate general qualification","50","0.384437486011949","0.300491065500427","0.468383906523471"
"Yes","2001","Part Time","(2a) intermediate vocational","389","0.395271217341244","0.364456174951343","0.426086259731144"
"Yes","2001","Part Time","(2c_gen) general maturity certificate","91","0.376346483966576","0.312328444529538","0.440364523403613"
"Yes","2001","Part Time","(2c_voc) vocational maturity certificate","120","0.455036348834174","0.396073341969496","0.513999355698853"
"Yes","2001","Part Time","(3a) lower tertiary education","126","0.573450369046851","0.507646576027974","0.639254162065729"
"Yes","2001","Part Time","(3b) higher tertiary education","185","0.512370900965839","0.459004222150423","0.565737579781255"
