"plb0050","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2001","1-pers.-HH","(0) in school","","","",""
"Yes","2001","1-pers.-HH","(1a) inadequately completed","4","","",""
"Yes","2001","1-pers.-HH","(1b) general elementary school","30","0.495550873745682","0.372089636042688","0.619012111448676"
"Yes","2001","1-pers.-HH","(1c) basic vocational qualification","160","0.481815953989425","0.428547223355616","0.535084684623234"
"Yes","2001","1-pers.-HH","(2b) intermediate general qualification","11","","",""
"Yes","2001","1-pers.-HH","(2a) intermediate vocational","225","0.535640038021021","0.488112884232276","0.583167191809767"
"Yes","2001","1-pers.-HH","(2c_gen) general maturity certificate","32","0.346373799455943","0.243387747885778","0.449359851026109"
"Yes","2001","1-pers.-HH","(2c_voc) vocational maturity certificate","83","0.595505124475832","0.514781029937629","0.676229219014035"
"Yes","2001","1-pers.-HH","(3a) lower tertiary education","81","0.539381825113105","0.456815536655442","0.621948113570769"
"Yes","2001","1-pers.-HH","(3b) higher tertiary education","114","0.566844893325896","0.497474541997178","0.636215244654615"
"Yes","2001","(Married) couple without C. ","(0) in school","1","","",""
"Yes","2001","(Married) couple without C. ","(1a) inadequately completed","16","","",""
"Yes","2001","(Married) couple without C. ","(1b) general elementary school","88","0.435466727622332","0.363433204298859","0.507500250945805"
"Yes","2001","(Married) couple without C. ","(1c) basic vocational qualification","467","0.491795127379334","0.459716277271504","0.523873977487163"
"Yes","2001","(Married) couple without C. ","(2b) intermediate general qualification","20","","",""
"Yes","2001","(Married) couple without C. ","(2a) intermediate vocational","454","0.526712100242143","0.493629974125246","0.559794226359041"
"Yes","2001","(Married) couple without C. ","(2c_gen) general maturity certificate","29","","",""
"Yes","2001","(Married) couple without C. ","(2c_voc) vocational maturity certificate","152","0.574403695598621","0.513478719535896","0.635328671661347"
"Yes","2001","(Married) couple without C. ","(3a) lower tertiary education","173","0.557745698833041","0.502279694613346","0.613211703052736"
"Yes","2001","(Married) couple without C. ","(3b) higher tertiary education","252","0.609663309902967","0.562270156782317","0.657056463023617"
"Yes","2001","Single parent ","(0) in school","1","","",""
"Yes","2001","Single parent ","(1a) inadequately completed","2","","",""
"Yes","2001","Single parent ","(1b) general elementary school","31","0.447250742905065","0.33319260422182","0.561308881588309"
"Yes","2001","Single parent ","(1c) basic vocational qualification","80","0.463874416671578","0.389776338629883","0.537972494713272"
"Yes","2001","Single parent ","(2b) intermediate general qualification","16","","",""
"Yes","2001","Single parent ","(2a) intermediate vocational","88","0.502756913793621","0.431094622458685","0.574419205128556"
"Yes","2001","Single parent ","(2c_gen) general maturity certificate","14","","",""
"Yes","2001","Single parent ","(2c_voc) vocational maturity certificate","26","","",""
"Yes","2001","Single parent ","(3a) lower tertiary education","26","","",""
"Yes","2001","Single parent ","(3b) higher tertiary education","30","0.561089802230978","0.432260490472133","0.689919113989823"
"Yes","2001","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2001","Couple + C. LE 16 ","(1a) inadequately completed","13","","",""
"Yes","2001","Couple + C. LE 16 ","(1b) general elementary school","88","0.5243104804505","0.451149816771326","0.597471144129673"
"Yes","2001","Couple + C. LE 16 ","(1c) basic vocational qualification","470","0.490380530269737","0.458674927037877","0.522086133501597"
"Yes","2001","Couple + C. LE 16 ","(2b) intermediate general qualification","20","","",""
"Yes","2001","Couple + C. LE 16 ","(2a) intermediate vocational","556","0.473325103462638","0.444703634872056","0.501946572053219"
"Yes","2001","Couple + C. LE 16 ","(2c_gen) general maturity certificate","12","","",""
"Yes","2001","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","155","0.489716791912031","0.435617783407746","0.543815800416315"
"Yes","2001","Couple + C. LE 16 ","(3a) lower tertiary education","207","0.651747706271977","0.5997919610658","0.703703451478154"
"Yes","2001","Couple + C. LE 16 ","(3b) higher tertiary education","248","0.576344233395914","0.529142865975754","0.623545600816075"
"Yes","2001","Couple + C. GT 16 ","(0) in school","8","","",""
"Yes","2001","Couple + C. GT 16 ","(1a) inadequately completed","14","","",""
