"plb0050","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2001","Not Employed","(0) in school","1","","",""
"Yes","2001","Not Employed","(1a) inadequately completed","1","","",""
"Yes","2001","Not Employed","(1b) general elementary school","3","","",""
"Yes","2001","Not Employed","(1c) basic vocational qualification","14","","",""
"Yes","2001","Not Employed","(2b) intermediate general qualification","2","","",""
"Yes","2001","Not Employed","(2a) intermediate vocational","14","","",""
"Yes","2001","Not Employed","(2c_gen) general maturity certificate","5","","",""
"Yes","2001","Not Employed","(2c_voc) vocational maturity certificate","4","","",""
"Yes","2001","Not Employed","(3a) lower tertiary education","3","","",""
"Yes","2001","Not Employed","(3b) higher tertiary education","6","","",""
"Yes","2001","Employed","(0) in school","12","","",""
"Yes","2001","Employed","(1a) inadequately completed","58","0.528403276930826","0.433817825129348","0.622988728732304"
"Yes","2001","Employed","(1b) general elementary school","414","0.467188002035649","0.434035118870525","0.500340885200772"
"Yes","2001","Employed","(1c) basic vocational qualification","1648","0.493330169721074","0.476412786430361","0.510247553011788"
"Yes","2001","Employed","(2b) intermediate general qualification","165","0.464839170620702","0.413880545796189","0.515797795445216"
"Yes","2001","Employed","(2a) intermediate vocational","1807","0.511377701423214","0.495053431346673","0.527701971499756"
"Yes","2001","Employed","(2c_gen) general maturity certificate","168","0.416298144433087","0.366994360289062","0.465601928577112"
"Yes","2001","Employed","(2c_voc) vocational maturity certificate","535","0.567638973227746","0.536219002369522","0.599058944085971"
"Yes","2001","Employed","(3a) lower tertiary education","667","0.595897427637175","0.566937871734112","0.624856983540238"
"Yes","2001","Employed","(3b) higher tertiary education","861","0.584611036190005","0.559105497698209","0.610116574681801"
"No","2001","Not Employed","(0) in school","9","","",""
"No","2001","Not Employed","(1a) inadequately completed","1","","",""
"No","2001","Not Employed","(1b) general elementary school","21","","",""
"No","2001","Not Employed","(1c) basic vocational qualification","32","0.76147572001783","0.638317472049048","0.884633967986612"
"No","2001","Not Employed","(2b) intermediate general qualification","11","","",""
"No","2001","Not Employed","(2a) intermediate vocational","41","0.741804603105999","0.626143919211117","0.857465287000882"
"No","2001","Not Employed","(2c_gen) general maturity certificate","10","","",""
"No","2001","Not Employed","(2c_voc) vocational maturity certificate","9","","",""
"No","2001","Not Employed","(3a) lower tertiary education","11","","",""
"No","2001","Not Employed","(3b) higher tertiary education","12","","",""
"No","2001","Employed","(0) in school","50","0.831134779127532","0.73788279514347","0.924386763111595"
"No","2001","Employed","(1a) inadequately completed","49","0.471596723069174","0.377011271267696","0.566182174870652"
