"plb0050","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2001","1-pers.-HH","Female","287","0.458142387792005","0.41866801784986","0.497616757734149","2"
"No","2001","Couple + C. GT 16 ","Male","588","0.448642826665123","0.421353700287945","0.475931953042302","2"
"No","2001","1-pers.-HH","Male","391","0.491802596933525","0.45731023351918","0.52629496034787","2"
"No","2001","(Married) couple without C. ","Male","701","0.451173653148926","0.42647266230884","0.475874643989013","2"
"No","2001","(Married) couple without C. ","Female","724","0.491398000646879","0.466257441750551","0.516538559543206","2"
"No","2001","Couple + C. GT 16 ","Female","540","0.539264789319249","0.508809190879401","0.569720387759097","2"
"No","2001","Single parent ","Male","102","0.521903728327591","0.453188506914125","0.590618949741057","2"
"No","2001","Single parent ","Female","242","0.503978201883546","0.458138028826897","0.549818374940195","2"
"No","2001","Couple + C. LE 16 ","Male","943","0.435776571119978","0.414875057241306","0.456678084998651","2"
"No","2001","Couple + C. LE 16 ","Female","765","0.59077328029085","0.56423834048418","0.61730822009752","2"
"No","2001","Couple + C. LE and GT 16","Male","318","0.460340491825542","0.422514991662807","0.498165991988277","2"
"No","2001","Couple + C. LE and GT 16","Female","304","0.615300898703819","0.572993083818954","0.657608713588685","2"
"Yes","2001","1-pers.-HH","Male","416","0.508197403066475","0.47370503965213","0.54268976648082","1"
"Yes","2001","1-pers.-HH","Female","325","0.541857612207995","0.502383242265851","0.58133198215014","1"
"Yes","2001","(Married) couple without C. ","Male","858","0.548826346851074","0.524125356010987","0.57352733769116","1"
"Yes","2001","(Married) couple without C. ","Female","795","0.508601999353121","0.483461440456794","0.533742558249449","1"
"Yes","2001","Single parent ","Male","101","0.478096271672409","0.409381050258943","0.546811493085875","1"
"Yes","2001","Single parent ","Female","215","0.496021798116454","0.450181625059805","0.541861971173103","1"
"Yes","2001","Couple + C. LE 16 ","Male","1219","0.564223428880022","0.543321915001349","0.585124942758694","1"
"Yes","2001","Couple + C. LE 16 ","Female","554","0.40922671970915","0.38269177990248","0.43576165951582","1"
"Yes","2001","Couple + C. GT 16 ","Male","688","0.551357173334877","0.524068046957698","0.578646299712055","1"
"Yes","2001","Couple + C. GT 16 ","Female","489","0.460735210680751","0.430279612240903","0.491190809120599","1"
"Yes","2001","Couple + C. LE and GT 16","Male","349","0.539659508174458","0.501834008011723","0.577485008337193","1"
"Yes","2001","Couple + C. LE and GT 16","Female","204","0.384699101296181","0.342391286411315","0.427006916181046","1"
"No","2002","Couple + C. GT 16 ","Male","","","","","2"
"No","2002","1-pers.-HH","Male","","","","","2"
"No","2002","1-pers.-HH","Female","","","","","2"
"No","2002","(Married) couple without C. ","Male","","","","","2"
"No","2002","(Married) couple without C. ","Female","","","","","2"
"No","2002","Couple + C. GT 16 ","Female","","","","","2"
"No","2002","Single parent ","Male","","","","","2"
"No","2002","Single parent ","Female","","","","","2"
"No","2002","Couple + C. LE 16 ","Male","","","","","2"
"No","2002","Couple + C. LE 16 ","Female","","","","","2"
"No","2002","Couple + C. LE and GT 16","Male","","","","","2"
"No","2002","Couple + C. LE and GT 16","Female","","","","","2"
"Yes","2002","1-pers.-HH","Male","","","","","1"
"Yes","2002","1-pers.-HH","Female","","","","","1"
"Yes","2002","(Married) couple without C. ","Male","","","","","1"
"Yes","2002","(Married) couple without C. ","Female","","","","","1"
"Yes","2002","Single parent ","Male","","","","","1"
"Yes","2002","Single parent ","Female","","","","","1"
"Yes","2002","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2002","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2002","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2002","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2002","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2002","Couple + C. LE and GT 16","Female","","","","","1"
"No","2003","Couple + C. GT 16 ","Male","","","","","2"
"No","2003","1-pers.-HH","Male","","","","","2"
"No","2003","1-pers.-HH","Female","","","","","2"
"No","2003","(Married) couple without C. ","Male","","","","","2"
"No","2003","(Married) couple without C. ","Female","","","","","2"
"No","2003","Single parent ","Male","","","","","2"
"No","2003","Couple + C. LE 16 ","Male","","","","","2"
"No","2003","Single parent ","Female","","","","","2"
"No","2003","Couple + C. GT 16 ","Female","","","","","2"
"No","2003","Couple + C. LE 16 ","Female","","","","","2"
"No","2003","Couple + C. LE and GT 16","Male","","","","","2"
"No","2003","Couple + C. LE and GT 16","Female","","","","","2"
"Yes","2003","Single parent ","Male","","","","","1"
"Yes","2003","Single parent ","Female","","","","","1"
"Yes","2003","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2003","Couple + C. LE 16 ","Female","","","","","1"
