"plb0050","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Hamburg","Couple + C. GT 16 ","5","","","","2"
"No","2001","Berlin","(Married) couple without C. ","35","0.344784176972734","0.247661637569145","0.441906716376324","2"
"No","2001","Bavaria","Couple + C. LE and GT 16","86","0.527739735674862","0.45109984274273","0.604379628606993","2"
"No","2001","Hamburg","Single parent ","5","","","","2"
"No","2001","Hamburg","Couple + C. LE 16 ","20","","","","2"
"No","2001","Berlin","Single parent ","18","","","","2"
"No","2001","Bavaria","Single parent ","67","0.589725499936061","0.500213489289665","0.679237510582458","2"
"No","2001","Berlin","1-pers.-HH","49","0.547384655316234","0.447815821487201","0.646953489145268","2"
"No","2001","Bavaria","Couple + C. LE 16 ","238","0.469127108156063","0.425075154811334","0.513179061500793","2"
"No","2001","Berlin","Couple + C. LE 16 ","51","0.521246013584821","0.429545189142207","0.612946838027434","2"
"No","2001","Bavaria","Couple + C. GT 16 ","180","0.475181655931017","0.424366241386291","0.525997070475742","2"
"No","2001","Schleswig-Holstein","1-pers.-HH","23","","","","2"
"No","2001","Schleswig-Holstein","(Married) couple without C. ","63","0.560325503307008","0.467570449658788","0.653080556955227","2"
"No","2001","Schleswig-Holstein","Single parent ","14","","","","2"
"No","2001","Schleswig-Holstein","Couple + C. LE 16 ","60","0.526809658903281","0.436340623418431","0.617278694388131","2"
"No","2001","Schleswig-Holstein","Couple + C. GT 16 ","11","","","","2"
"No","2001","Hamburg","1-pers.-HH","19","","","","2"
"No","2001","Hamburg","(Married) couple without C. ","12","","","","2"
"No","2001","Hamburg","Couple + C. LE and GT 16","2","","","","2"
"No","2001","Berlin","Couple + C. GT 16 ","27","","","","2"
"No","2001","Berlin","Couple + C. LE and GT 16","14","","","","2"
"No","2001","Schleswig-Holstein","Couple + C. LE and GT 16","17","","","","2"
"No","2001","Baden-Württemberg","Couple + C. LE and GT 16","74","0.458660166360477","0.379961343707633","0.53735898901332","2"
"No","2001","Bavaria","1-pers.-HH","114","0.50352843270413","0.439603048020408","0.567453817387852","2"
