"plb0050","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Schleswig-Holstein","Employed","187","0.488918895601978","0.437846349983109","0.539991441220848","2"
"No","2001","Brandenburg","Not Employed","11","","","","2"
"No","2001","Schleswig-Holstein","Not Employed","3","","","","2"
"No","2001","Hamburg","Not Employed","1","","","","2"
"No","2001","Hamburg","Employed","64","0.357754579889088","0.282775281213014","0.432733878565162","2"
"No","2001","Lower Saxony","Not Employed","9","","","","2"
"No","2001","Lower Saxony","Employed","473","0.471549249001691","0.441093167159662","0.502005330843721","2"
"No","2001","Bremen","Employed","38","0.417718563831567","0.314085861008097","0.521351266655038","2"
"No","2001","Bremen","Not Employed","","","","","2"
"No","2001","North Rhine-Westphalia","Employed","1212","0.466456311137901","0.447306342999934","0.485606279275867","2"
"No","2001","Brandenburg","Employed","246","0.476427777772609","0.432474214486219","0.520381341058999","2"
"No","2001","North Rhine-Westphalia","Not Employed","28","","","","2"
"No","2001","Hesse","Not Employed","9","","","","2"
"No","2001","Hesse","Employed","360","0.417039842535573","0.383794719280019","0.450284965791127","2"
"No","2001","Baden-Württemberg","Employed","713","0.461846837375638","0.4370118154186","0.486681859332677","2"
"No","2001","Rhineland-Palatinate,Saarland","Not Employed","13","","","","2"
"No","2001","Baden-Württemberg","Not Employed","18","","","","2"
"No","2001","Rhineland-Palatinate,Saarland","Employed","354","0.528087954142932","0.491316134245699","0.564859774040166","2"
"No","2001","Mecklenburg-Western Pomerania","Employed","150","0.501279482103223","0.443832108414695","0.558726855791751","2"
"No","2001","Mecklenburg-Western Pomerania","Not Employed","7","","","","2"
"No","2001","Bavaria","Not Employed","16","","","","2"
"No","2001","Bavaria","Employed","895","0.497365655878969","0.47442633095146","0.520304980806477","2"
"No","2001","Berlin","Not Employed","3","","","","2"
"No","2001","Berlin","Employed","204","0.484803381667922","0.438524974142207","0.531081789193636","2"
"No","2001","Saxony","Not Employed","17","","","","2"
"No","2001","Saxony","Employed","492","0.573573901139157","0.540711064781537","0.606436737496777","2"
"No","2001","Saxony-Anhalt","Not Employed","14","","","","2"
"No","2001","Saxony-Anhalt","Employed","284","0.603542057784084","0.560920907800092","0.646163207768075","2"
"No","2001","Thuringia","Not Employed","10","","","","2"
"No","2001","Thuringia","Employed","267","0.560365040394322","0.516902925591034","0.603827155197611","2"
"Yes","2001","Schleswig-Holstein","Not Employed","1","","","","1"
"Yes","2001","Schleswig-Holstein","Employed","181","0.511081104398021","0.460008558779151","0.562153650016891","1"
"Yes","2001","Hamburg","Not Employed","2","","","","1"
"Yes","2001","Hamburg","Employed","93","0.642245420110912","0.567266121434838","0.717224718786986","1"
"Yes","2001","Lower Saxony","Not Employed","3","","","","1"
"Yes","2001","Lower Saxony","Employed","559","0.528450750998309","0.497994669156279","0.558906832840338","1"
"Yes","2001","Bremen","Not Employed","","","","","1"
"Yes","2001","Bremen","Employed","49","0.582281436168433","0.478648733344962","0.685914138991903","1"
"Yes","2001","North Rhine-Westphalia","Not Employed","9","","","","1"
"Yes","2001","North Rhine-Westphalia","Employed","1395","0.533543688862099","0.514393720724133","0.552693657000066","1"
"Yes","2001","Hesse","Not Employed","4","","","","1"
"Yes","2001","Hesse","Employed","485","0.582960157464427","0.549715034208873","0.616205280719981","1"
"Yes","2001","Rhineland-Palatinate,Saarland","Not Employed","7","","","","1"
"Yes","2001","Rhineland-Palatinate,Saarland","Employed","354","0.471912045857068","0.435140225959834","0.508683865754301","1"
"Yes","2001","Baden-Württemberg","Not Employed","8","","","","1"
"Yes","2001","Baden-Württemberg","Employed","835","0.538153162624361","0.513318140667323","0.5629881845814","1"
"Yes","2001","Bavaria","Not Employed","6","","","","1"
"Yes","2001","Bavaria","Employed","930","0.502634344121031","0.479695019193523","0.52557366904854","1"
"Yes","2001","Berlin","Not Employed","5","","","","1"
"Yes","2001","Berlin","Employed","244","0.515196618332078","0.468918210806363","0.561475025857793","1"
"Yes","2001","Brandenburg","Not Employed","3","","","","1"
"Yes","2001","Brandenburg","Employed","250","0.523572222227391","0.479618658941001","0.567525785513781","1"
"Yes","2001","Mecklenburg-Western Pomerania","Not Employed","","","","","1"
"Yes","2001","Mecklenburg-Western Pomerania","Employed","141","0.498720517896777","0.441273144208249","0.556167891585305","1"
"Yes","2001","Saxony","Not Employed","","","","","1"
"Yes","2001","Saxony","Employed","378","0.426426098860843","0.393563262503223","0.459288935218463","1"
"Yes","2001","Saxony-Anhalt","Not Employed","3","","","","1"
"Yes","2001","Saxony-Anhalt","Employed","222","0.396457942215916","0.353836792231925","0.439079092199908","1"
"Yes","2001","Thuringia","Not Employed","4","","","","1"
"Yes","2001","Thuringia","Employed","234","0.439634959605677","0.396172844802389","0.483097074408966","1"
"No","2002","Schleswig-Holstein","Not Employed","","","","","2"
"No","2002","Schleswig-Holstein","Employed","","","","","2"
"No","2002","Hamburg","Not Employed","","","","","2"
"No","2002","Hamburg","Employed","","","","","2"
"No","2002","Lower Saxony","Not Employed","","","","","2"
"No","2002","Lower Saxony","Employed","","","","","2"
"No","2002","Brandenburg","Not Employed","","","","","2"
"No","2002","Bremen","Not Employed","","","","","2"
"No","2002","Bremen","Employed","","","","","2"
"No","2002","North Rhine-Westphalia","Employed","","","","","2"
"No","2002","Brandenburg","Employed","","","","","2"
"No","2002","North Rhine-Westphalia","Not Employed","","","","","2"
"No","2002","Hesse","Not Employed","","","","","2"
"No","2002","Hesse","Employed","","","","","2"
"No","2002","Baden-Württemberg","Not Employed","","","","","2"
"No","2002","Baden-Württemberg","Employed","","","","","2"
"No","2002","Rhineland-Palatinate,Saarland","Not Employed","","","","","2"
"No","2002","Rhineland-Palatinate,Saarland","Employed","","","","","2"
"No","2002","Mecklenburg-Western Pomerania","Employed","","","","","2"
"No","2002","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"No","2002","Bavaria","Not Employed","","","","","2"
"No","2002","Bavaria","Employed","","","","","2"
"No","2002","Berlin","Not Employed","","","","","2"
"No","2002","Berlin","Employed","","","","","2"
"No","2002","Saxony","Not Employed","","","","","2"
"No","2002","Saxony","Employed","","","","","2"
"No","2002","Saxony-Anhalt","Not Employed","","","","","2"
"No","2002","Saxony-Anhalt","Employed","","","","","2"
"No","2002","Thuringia","Not Employed","","","","","2"
"No","2002","Thuringia","Employed","","","","","2"
"Yes","2002","Hesse","Not Employed","","","","","1"
"Yes","2002","Hesse","Employed","","","","","1"
"Yes","2002","Rhineland-Palatinate,Saarland","Not Employed","","","","","1"
"Yes","2002","Rhineland-Palatinate,Saarland","Employed","","","","","1"
"Yes","2002","Baden-Württemberg","Not Employed","","","","","1"
"Yes","2002","Baden-Württemberg","Employed","","","","","1"
"Yes","2002","Bavaria","Not Employed","","","","","1"
"Yes","2002","Bavaria","Employed","","","","","1"
"Yes","2002","Berlin","Not Employed","","","","","1"
"Yes","2002","Berlin","Employed","","","","","1"
"Yes","2002","Brandenburg","Not Employed","","","","","1"
