"plb0050","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Yes","2001","Schleswig-Holstein","182","0.509104801578251","0.458303526877353","0.559906076279149"
"Yes","2001","Hamburg","95","0.644206930729957","0.570024759910318","0.718389101549597"
"Yes","2001","Lower Saxony","562","0.526403997308774","0.496116635542506","0.556691359075041"
"Yes","2001","Bremen","49","0.582281436168433","0.478648733344962","0.685914138991903"
"Yes","2001","North Rhine-Westphalia","1404","0.529433281505609","0.510407890596326","0.548458672414892"
"Yes","2001","Hesse","489","0.575900407570649","0.542832092446196","0.608968722695102"
"Yes","2001","Rhineland-Palatinate,Saarland","361","0.46929344987325","0.433041458197471","0.505545441549028"
"Yes","2001","Baden-Württemberg","843","0.535019812057242","0.510379404686078","0.559660219428405"
"Yes","2001","Bavaria","936","0.499516797853787","0.476714193871403","0.522319401836172"
"Yes","2001","Berlin","249","0.518083536792602","0.472221699726126","0.563945373859078"
"Yes","2001","Brandenburg","253","0.519175977636552","0.475813571148896","0.562538384124209"
"Yes","2001","Mecklenburg-Western Pomerania","141","0.481604961912641","0.424874560920514","0.538335362904767"
"Yes","2001","Saxony","378","0.418098228727116","0.385638096506348","0.450558360947883"
"Yes","2001","Saxony-Anhalt","225","0.385711481317322","0.343994321903853","0.42742864073079"
"Yes","2001","Thuringia","238","0.438027022525457","0.39517684309894","0.480877201951974"
"No","2001","Schleswig-Holstein","190","0.490895198421749","0.440093923720851","0.541696473122647"
"No","2001","Hamburg","65","0.355793069270043","0.281610898450403","0.429975240089683"
"No","2001","Lower Saxony","482","0.473596002691226","0.443308640924959","0.503883364457494"
"No","2001","Bremen","38","0.417718563831567","0.314085861008097","0.521351266655038"
"No","2001","North Rhine-Westphalia","1240","0.470566718494391","0.451541327585108","0.489592109403674"
"No","2001","Hesse","369","0.424099592429351","0.391031277304898","0.457167907553804"
"No","2001","Rhineland-Palatinate,Saarland","367","0.53070655012675","0.494454558450972","0.566958541802529"
"No","2001","Baden-Württemberg","731","0.464980187942758","0.440339780571595","0.489620595313922"
"No","2001","Bavaria","911","0.500483202146213","0.477680598163829","0.523285806128597"
