"plb0050","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2001","1-pers.-HH","Urban Area","580","0.527864463961727","0.498145887148913","0.557583040774541"
"Yes","2001","1-pers.-HH","Rural Area","161","0.500147539871323","0.446605406328326","0.55368967341432"
"Yes","2001","(Married) couple without C. ","Urban Area","1174","0.544681298421261","0.523552253819836","0.565810343022687"
"Yes","2001","(Married) couple without C. ","Rural Area","479","0.491374613965609","0.459483663136615","0.523265564794602"
"Yes","2001","Single parent ","Urban Area","220","0.507772947594012","0.460792085528783","0.554753809659241"
"Yes","2001","Single parent ","Rural Area","96","0.455254077643958","0.390184086415124","0.520324068872791"
"Yes","2001","Couple + C. LE 16 ","Urban Area","1247","0.538446023052654","0.518169227660946","0.558722818444362"
"Yes","2001","Couple + C. LE 16 ","Rural Area","526","0.438735608775062","0.410166837634462","0.467304379915662"
"Yes","2001","Couple + C. GT 16 ","Urban Area","729","0.532409210389411","0.506017436826088","0.558800983952735"
"Yes","2001","Couple + C. GT 16 ","Rural Area","448","0.478733140124731","0.446661812484531","0.51080446776493"
"Yes","2001","Couple + C. LE and GT 16","Urban Area","347","0.490419607052257","0.453853718093259","0.526985496011255"
"Yes","2001","Couple + C. LE and GT 16","Rural Area","206","0.446758549730287","0.401177556672878","0.492339542787696"
"No","2001","1-pers.-HH","Urban Area","504","0.472135536038273","0.442416959225459","0.501854112851087"
"No","2001","1-pers.-HH","Rural Area","174","0.499852460128678","0.44631032658568","0.553394593671675"
"No","2001","(Married) couple without C. ","Urban Area","960","0.455318701578739","0.434189656977313","0.476447746180165"
"No","2001","(Married) couple without C. ","Rural Area","465","0.508625386034391","0.476734435205398","0.540516336863385"
"No","2001","Single parent ","Urban Area","215","0.492227052405988","0.445246190340759","0.539207914471217"
"No","2001","Single parent ","Rural Area","129","0.544745922356042","0.479675931127209","0.609815913584876"
"No","2001","Couple + C. LE 16 ","Urban Area","1075","0.461553976947346","0.441277181555638","0.481830772339054"
"No","2001","Couple + C. LE 16 ","Rural Area","633","0.561264391224938","0.532695620084338","0.589833162365538"
"No","2001","Couple + C. GT 16 ","Urban Area","644","0.467590789610589","0.441199016047265","0.493982563173912"
"No","2001","Couple + C. GT 16 ","Rural Area","484","0.521266859875269","0.48919553223507","0.553338187515469"
"No","2001","Couple + C. LE and GT 16","Urban Area","371","0.509580392947743","0.473014503988745","0.546146281906741"
"No","2001","Couple + C. LE and GT 16","Rural Area","251","0.553241450269713","0.507660457212304","0.598822443327122"
"Yes","2002","1-pers.-HH","Urban Area","","","",""
"Yes","2002","1-pers.-HH","Rural Area","","","",""
"Yes","2002","(Married) couple without C. ","Urban Area","","","",""
"Yes","2002","(Married) couple without C. ","Rural Area","","","",""
"Yes","2002","Single parent ","Urban Area","","","",""
"Yes","2002","Single parent ","Rural Area","","","",""
"Yes","2002","Couple + C. LE 16 ","Urban Area","","","",""
"Yes","2002","Couple + C. LE 16 ","Rural Area","","","",""
"Yes","2002","Couple + C. GT 16 ","Urban Area","","","",""
"Yes","2002","Couple + C. GT 16 ","Rural Area","","","",""
"Yes","2002","Couple + C. LE and GT 16","Urban Area","","","",""
"Yes","2002","Couple + C. LE and GT 16","Rural Area","","","",""
"No","2002","1-pers.-HH","Urban Area","","","",""
"No","2002","1-pers.-HH","Rural Area","","","",""
"No","2002","(Married) couple without C. ","Urban Area","","","",""
"No","2002","(Married) couple without C. ","Rural Area","","","",""
"No","2002","Single parent ","Urban Area","","","",""
"No","2002","Single parent ","Rural Area","","","",""
"No","2002","Couple + C. LE 16 ","Urban Area","","","",""
"No","2002","Couple + C. LE 16 ","Rural Area","","","",""
"No","2002","Couple + C. GT 16 ","Urban Area","","","",""
"No","2002","Couple + C. GT 16 ","Rural Area","","","",""
"No","2002","Couple + C. LE and GT 16","Urban Area","","","",""
"No","2002","Couple + C. LE and GT 16","Rural Area","","","",""
"Yes","2003","1-pers.-HH","Urban Area","","","",""
"Yes","2003","1-pers.-HH","Rural Area","","","",""
"Yes","2003","(Married) couple without C. ","Urban Area","","","",""
"Yes","2003","(Married) couple without C. ","Rural Area","","","",""
"Yes","2003","Single parent ","Urban Area","","","",""
"Yes","2003","Single parent ","Rural Area","","","",""
"Yes","2003","Couple + C. LE 16 ","Urban Area","","","",""
"Yes","2003","Couple + C. LE 16 ","Rural Area","","","",""
"Yes","2003","Couple + C. GT 16 ","Urban Area","","","",""
"Yes","2003","Couple + C. GT 16 ","Rural Area","","","",""
"Yes","2003","Couple + C. LE and GT 16","Urban Area","","","",""
"Yes","2003","Couple + C. LE and GT 16","Rural Area","","","",""
"No","2003","1-pers.-HH","Urban Area","","","",""
"No","2003","1-pers.-HH","Rural Area","","","",""
"No","2003","(Married) couple without C. ","Urban Area","","","",""
"No","2003","(Married) couple without C. ","Rural Area","","","",""
"No","2003","Single parent ","Urban Area","","","",""
"No","2003","Single parent ","Rural Area","","","",""
"No","2003","Couple + C. LE 16 ","Urban Area","","","",""
"No","2003","Couple + C. LE 16 ","Rural Area","","","",""
"No","2003","Couple + C. GT 16 ","Urban Area","","","",""
"No","2003","Couple + C. GT 16 ","Rural Area","","","",""
"No","2003","Couple + C. LE and GT 16","Urban Area","","","",""
"No","2003","Couple + C. LE and GT 16","Rural Area","","","",""
"Yes","2004","1-pers.-HH","Urban Area","","","",""
"Yes","2004","1-pers.-HH","Rural Area","","","",""
"Yes","2004","(Married) couple without C. ","Urban Area","","","",""
"Yes","2004","(Married) couple without C. ","Rural Area","","","",""
"Yes","2004","Single parent ","Urban Area","","","",""
