"plb0050","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2001","lower secondary degree","(0) in school","","","",""
"Yes","2001","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","2001","lower secondary degree","(1b) general elementary school","294","0.447313684387476","0.409997145870969","0.484630222903983"
"Yes","2001","lower secondary degree","(1c) basic vocational qualification","1522","0.489112113772641","0.471608210461284","0.506616017083997"
"Yes","2001","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes","2001","lower secondary degree","(2a) intermediate vocational","3","","",""
"Yes","2001","lower secondary degree","(2c_gen) general maturity certificate","6","","",""
"Yes","2001","lower secondary degree","(2c_voc) vocational maturity certificate","9","","",""
"Yes","2001","lower secondary degree","(3a) lower tertiary education","24","","",""
"Yes","2001","lower secondary degree","(3b) higher tertiary education","9","","",""
"Yes","2001","secondary school degree","(0) in school","","","",""
"Yes","2001","secondary school degree","(1a) inadequately completed","","","",""
"Yes","2001","secondary school degree","(1b) general elementary school","","","",""
"Yes","2001","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","2001","secondary school degree","(2b) intermediate general qualification","167","0.455951977407843","0.40587542027888","0.506028534536806"
"Yes","2001","secondary school degree","(2a) intermediate vocational","1818","0.508456036983058","0.492222005166994","0.524690068799123"
"Yes","2001","secondary school degree","(2c_gen) general maturity certificate","2","","",""
"Yes","2001","secondary school degree","(2c_voc) vocational maturity certificate","14","","",""
"Yes","2001","secondary school degree","(3a) lower tertiary education","226","0.60343995300254","0.55451234458436","0.652367561420719"
"Yes","2001","secondary school degree","(3b) higher tertiary education","46","0.708377540723198","0.60190393866722","0.814851142779176"
"Yes","2001","college entrance qualification","(0) in school","","","",""
"Yes","2001","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","2001","college entrance qualification","(1b) general elementary school","","","",""
"Yes","2001","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","2001","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","2001","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","2001","college entrance qualification","(2c_gen) general maturity certificate","150","0.406741447991988","0.35527842568628","0.458204470297697"
"Yes","2001","college entrance qualification","(2c_voc) vocational maturity certificate","460","0.571700435719555","0.537769554360412","0.605631317078699"
"Yes","2001","college entrance qualification","(3a) lower tertiary education","410","0.593665189038336","0.556363904874781","0.630966473201891"
"Yes","2001","college entrance qualification","(3b) higher tertiary education","755","0.582589335792628","0.555382286145172","0.609796385440083"
"Yes","2001","Other degree","(0) in school","","","",""
"Yes","2001","Other degree","(1a) inadequately completed","","","",""
"Yes","2001","Other degree","(1b) general elementary school","123","0.514432327648648","0.447154932312554","0.581709722984742"
"Yes","2001","Other degree","(1c) basic vocational qualification","140","0.495841062070752","0.435981205204522","0.555700918936982"
"Yes","2001","Other degree","(2b) intermediate general qualification","","","",""
"Yes","2001","Other degree","(2a) intermediate vocational","","","",""
"Yes","2001","Other degree","(2c_gen) general maturity certificate","15","","",""
"Yes","2001","Other degree","(2c_voc) vocational maturity certificate","56","0.506707137336127","0.414115874707751","0.599298399964503"
"Yes","2001","Other degree","(3a) lower tertiary education","10","","",""
"Yes","2001","Other degree","(3b) higher tertiary education","57","0.555484932591242","0.458091992624265","0.65287787255822"
"Yes","2001","no degree/no degree yet","(0) in school","13","","",""
"Yes","2001","no degree/no degree yet","(1a) inadequately completed","59","0.52605655059635","0.432318844593247","0.619794256599453"
"Yes","2001","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","2001","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","2001","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","2001","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","2001","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","2001","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","2001","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","2001","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","2001","lower secondary degree","(0) in school","","","",""
"No","2001","lower secondary degree","(1a) inadequately completed","","","",""
"No","2001","lower secondary degree","(1b) general elementary school","388","0.552686315612524","0.515369777096017","0.590002854129032"
"No","2001","lower secondary degree","(1c) basic vocational qualification","1611","0.510887886227359","0.493383982916003","0.528391789538716"
"No","2001","lower secondary degree","(2b) intermediate general qualification","1","","",""
"No","2001","lower secondary degree","(2a) intermediate vocational","11","","",""
"No","2001","lower secondary degree","(2c_gen) general maturity certificate","3","","",""
"No","2001","lower secondary degree","(2c_voc) vocational maturity certificate","11","","",""
"No","2001","lower secondary degree","(3a) lower tertiary education","24","","",""
"No","2001","lower secondary degree","(3b) higher tertiary education","10","","",""
"No","2001","secondary school degree","(0) in school","","","",""
"No","2001","secondary school degree","(1a) inadequately completed","","","",""
"No","2001","secondary school degree","(1b) general elementary school","","","",""
"No","2001","secondary school degree","(1c) basic vocational qualification","","","",""
"No","2001","secondary school degree","(2b) intermediate general qualification","213","0.544048022592157","0.493971465463194","0.59412457972112"
"No","2001","secondary school degree","(2a) intermediate vocational","1825","0.491543963016942","0.475309931200877","0.507777994833006"
"No","2001","secondary school degree","(2c_gen) general maturity certificate","2","","",""
"No","2001","secondary school degree","(2c_voc) vocational maturity certificate","5","","",""
"No","2001","secondary school degree","(3a) lower tertiary education","158","0.39656004699746","0.347632438579281","0.44548765541564"
"No","2001","secondary school degree","(3b) higher tertiary education","24","","",""
"No","2001","college entrance qualification","(0) in school","","","",""
"No","2001","college entrance qualification","(1a) inadequately completed","","","",""
"No","2001","college entrance qualification","(1b) general elementary school","","","",""
"No","2001","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","2001","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","2001","college entrance qualification","(2a) intermediate vocational","","","",""
"No","2001","college entrance qualification","(2c_gen) general maturity certificate","200","0.593258552008012","0.541795529702303","0.64472157431372"
"No","2001","college entrance qualification","(2c_voc) vocational maturity certificate","357","0.428299564280445","0.394368682921301","0.462230445639588"
"No","2001","college entrance qualification","(3a) lower tertiary education","256","0.406334810961664","0.369033526798108","0.443636095125219"
"No","2001","college entrance qualification","(3b) higher tertiary education","507","0.417410664207372","0.390203614559917","0.444617713854828"
"No","2001","Other degree","(0) in school","","","",""
"No","2001","Other degree","(1a) inadequately completed","","","",""
"No","2001","Other degree","(1b) general elementary school","89","0.485567672351352","0.418290277015258","0.552845067687446"
"No","2001","Other degree","(1c) basic vocational qualification","128","0.504158937929248","0.444299081063018","0.564018794795478"
"No","2001","Other degree","(2b) intermediate general qualification","","","",""
"No","2001","Other degree","(2a) intermediate vocational","","","",""
"No","2001","Other degree","(2c_gen) general maturity certificate","21","","",""
"No","2001","Other degree","(2c_voc) vocational maturity certificate","56","0.493292862663873","0.400701600035497","0.585884125292249"
"No","2001","Other degree","(3a) lower tertiary education","7","","",""
"No","2001","Other degree","(3b) higher tertiary education","43","0.444515067408758","0.34712212744178","0.541908007375735"
"No","2001","no degree/no degree yet","(0) in school","59","0.839628165441749","0.754868469369457","0.924387861514042"
"No","2001","no degree/no degree yet","(1a) inadequately completed","50","0.47394344940365","0.380205743400547","0.567681155406753"
"No","2001","no degree/no degree yet","(1b) general elementary school","","","",""
"No","2001","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","2001","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","2001","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","2001","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","2001","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","2001","no degree/no degree yet","(3a) lower tertiary education","1","","",""
"No","2001","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Yes","2002","lower secondary degree","(0) in school","","","",""
"Yes","2002","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","2002","lower secondary degree","(1b) general elementary school","","","",""
"Yes","2002","lower secondary degree","(1c) basic vocational qualification","","","",""
"Yes","2002","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes","2002","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes","2002","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes","2002","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2002","lower secondary degree","(3a) lower tertiary education","","","",""
"Yes","2002","lower secondary degree","(3b) higher tertiary education","","","",""
"Yes","2002","secondary school degree","(0) in school","","","",""
"Yes","2002","secondary school degree","(1a) inadequately completed","","","",""
