"plb0050","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2001","1-pers.-HH","no migration background","645","0.52435568349856","0.496559101636025","0.552152265361095"
"Yes","2001","1-pers.-HH","direct migration background","61","0.510240147572755","0.415521583265635","0.604958711879874"
"Yes","2001","1-pers.-HH","indirect migration background","35","0.46547230639468","0.350256020329154","0.580688592460206"
"Yes","2001","(Married) couple without C. ","no migration background","1450","0.535618351908313","0.516750516287871","0.554486187528755"
"Yes","2001","(Married) couple without C. ","direct migration background","161","0.485071228501487","0.430141067980387","0.540001389022588"
"Yes","2001","(Married) couple without C. ","indirect migration background","42","0.516343503301748","0.403991927953652","0.628695078649844"
"Yes","2001","Single parent ","no migration background","257","0.492066688611849","0.450170958950504","0.533962418273195"
"Yes","2001","Single parent ","direct migration background","43","0.478736767478931","0.371267080781484","0.586206454176377"
"Yes","2001","Single parent ","indirect migration background","16","","",""
"Yes","2001","Couple + C. LE 16 ","no migration background","1429","0.507447193150756","0.489076362990287","0.525818023311225"
"Yes","2001","Couple + C. LE 16 ","direct migration background","286","0.500554171671475","0.458185881522312","0.542922461820638"
"Yes","2001","Couple + C. LE 16 ","indirect migration background","58","0.59347786024467","0.497685303118875","0.689270417370465"
"Yes","2001","Couple + C. GT 16 ","no migration background","964","0.510155107615669","0.487706933998855","0.532603281232483"
"Yes","2001","Couple + C. GT 16 ","direct migration background","162","0.538836375851366","0.481164627479893","0.59650812422284"
"Yes","2001","Couple + C. GT 16 ","indirect migration background","51","0.471875727609763","0.379832730325502","0.563918724894023"
"Yes","2001","Couple + C. LE and GT 16","no migration background","427","0.458993433987361","0.42684559792609","0.491141270048632"
"Yes","2001","Couple + C. LE and GT 16","direct migration background","101","0.544754448375491","0.47485817305125","0.614650723699732"
"Yes","2001","Couple + C. LE and GT 16","indirect migration background","25","","",""
"No","2001","1-pers.-HH","no migration background","595","0.47564431650144","0.447847734638905","0.503440898363975"
"No","2001","1-pers.-HH","direct migration background","46","0.489759852427245","0.395041288120126","0.584478416734365"
"No","2001","1-pers.-HH","indirect migration background","37","0.53452769360532","0.419311407539794","0.649743979670846"
"No","2001","(Married) couple without C. ","no migration background","1234","0.464381648091687","0.445513812471245","0.483249483712129"
"No","2001","(Married) couple without C. ","direct migration background","157","0.514928771498513","0.459998610977412","0.569858932019613"
"No","2001","(Married) couple without C. ","indirect migration background","34","0.483656496698252","0.371304921350156","0.596008072046348"
"No","2001","Single parent ","no migration background","290","0.50793331138815","0.466037581726805","0.549829041049496"
"No","2001","Single parent ","direct migration background","40","0.521263232521069","0.413793545823623","0.628732919218516"
"No","2001","Single parent ","indirect migration background","14","","",""
"No","2001","Couple + C. LE 16 ","no migration background","1416","0.492552806849244","0.474181976688775","0.510923637009713"
"No","2001","Couple + C. LE 16 ","direct migration background","249","0.499445828328525","0.457077538179362","0.541814118477688"
"No","2001","Couple + C. LE 16 ","indirect migration background","43","0.40652213975533","0.310729582629535","0.502314696881125"
"No","2001","Couple + C. GT 16 ","no migration background","941","0.489844892384331","0.467396718767517","0.512293066001145"
"No","2001","Couple + C. GT 16 ","direct migration background","125","0.461163624148633","0.40349187577716","0.518835372520107"
"No","2001","Couple + C. GT 16 ","indirect migration background","62","0.528124272390237","0.436081275105977","0.620167269674498"
"No","2001","Couple + C. LE and GT 16","no migration background","496","0.541006566012639","0.508858729951368","0.57315440207391"
"No","2001","Couple + C. LE and GT 16","direct migration background","94","0.455245551624509","0.385349276300268","0.52514182694875"
"No","2001","Couple + C. LE and GT 16","indirect migration background","32","0.543887889108243","0.414587104757705","0.67318867345878"
"Yes","2002","1-pers.-HH","no migration background","","","",""
"Yes","2002","1-pers.-HH","direct migration background","","","",""
"Yes","2002","1-pers.-HH","indirect migration background","","","",""
"Yes","2002","(Married) couple without C. ","no migration background","","","",""
"Yes","2002","(Married) couple without C. ","direct migration background","","","",""
"Yes","2002","(Married) couple without C. ","indirect migration background","","","",""
"Yes","2002","Single parent ","no migration background","","","",""
"Yes","2002","Single parent ","direct migration background","","","",""
"Yes","2002","Single parent ","indirect migration background","","","",""
"Yes","2002","Couple + C. LE 16 ","no migration background","","","",""
"Yes","2002","Couple + C. LE 16 ","direct migration background","","","",""
"Yes","2002","Couple + C. LE 16 ","indirect migration background","","","",""
"Yes","2002","Couple + C. GT 16 ","no migration background","","","",""
"Yes","2002","Couple + C. GT 16 ","direct migration background","","","",""
"Yes","2002","Couple + C. GT 16 ","indirect migration background","","","",""
"Yes","2002","Couple + C. LE and GT 16","no migration background","","","",""
"Yes","2002","Couple + C. LE and GT 16","direct migration background","","","",""
"Yes","2002","Couple + C. LE and GT 16","indirect migration background","","","",""
"No","2002","1-pers.-HH","no migration background","","","",""
"No","2002","1-pers.-HH","direct migration background","","","",""
"No","2002","1-pers.-HH","indirect migration background","","","",""
"No","2002","(Married) couple without C. ","no migration background","","","",""
"No","2002","(Married) couple without C. ","direct migration background","","","",""
"No","2002","(Married) couple without C. ","indirect migration background","","","",""
"No","2002","Single parent ","no migration background","","","",""
"No","2002","Single parent ","direct migration background","","","",""
"No","2002","Single parent ","indirect migration background","","","",""
"No","2002","Couple + C. LE 16 ","no migration background","","","",""
"No","2002","Couple + C. LE 16 ","direct migration background","","","",""
"No","2002","Couple + C. LE 16 ","indirect migration background","","","",""
"No","2002","Couple + C. GT 16 ","no migration background","","","",""
"No","2002","Couple + C. GT 16 ","direct migration background","","","",""
"No","2002","Couple + C. GT 16 ","indirect migration background","","","",""
