"plb0050","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2001","West Germany","5067","0.527099365687379","0.51709548040814","0.537103250966618"
"Yes","2001","East Germany","1338","0.445799513250314","0.427817128538338","0.463781897962291"
"No","2001","West Germany","4501","0.472900634312621","0.462896749033382","0.48290451959186"
"No","2001","East Germany","1597","0.554200486749686","0.536218102037709","0.572182871461662"
"Yes","2002","West Germany","","","",""
"Yes","2002","East Germany","","","",""
"No","2002","West Germany","","","",""
"No","2002","East Germany","","","",""
"Yes","2003","West Germany","","","",""
"Yes","2003","East Germany","","","",""
"No","2003","West Germany","","","",""
"No","2003","East Germany","","","",""
"Yes","2004","West Germany","","","",""
"Yes","2004","East Germany","","","",""
"No","2004","West Germany","","","",""
"No","2004","East Germany","","","",""
"Yes","2005","West Germany","","","",""
"Yes","2005","East Germany","","","",""
"No","2005","West Germany","","","",""
"No","2005","East Germany","","","",""
"Yes","2006","West Germany","4927","0.514575668225861","0.504478664283342","0.52467267216838"
"Yes","2006","East Germany","1262","0.44080587675868","0.422133990402384","0.459477763114975"
"No","2006","West Germany","4485","0.485424331774139","0.47532732783162","0.495521335716658"
"No","2006","East Germany","1454","0.55919412324132","0.540522236885025","0.577866009597616"
"Yes","2007","West Germany","","","",""
"Yes","2007","East Germany","","","",""
"No","2007","West Germany","","","",""
"No","2007","East Germany","","","",""
"Yes","2008","West Germany","","","",""
"Yes","2008","East Germany","","","",""
"No","2008","West Germany","","","",""
"No","2008","East Germany","","","",""
"Yes","2009","West Germany","","","",""
"Yes","2009","East Germany","","","",""
"No","2009","West Germany","","","",""
"No","2009","East Germany","","","",""
"Yes","2010","West Germany","","","",""
"Yes","2010","East Germany","","","",""
"No","2010","West Germany","","","",""
"No","2010","East Germany","","","",""
"Yes","2011","West Germany","4667","0.549998665975763","0.539470127109956","0.56052720484157"
"Yes","2011","East Germany","1273","0.480133049220317","0.4607304227202","0.499535675720433"
"No","2011","West Germany","3910","0.450001334024237","0.43947279515843","0.460529872890044"
"No","2011","East Germany","1274","0.519866950779683","0.500464324279567","0.5392695772798"
"Yes","2012","West Germany","","","",""
"Yes","2012","East Germany","","","",""
"No","2012","West Germany","","","",""
"No","2012","East Germany","","","",""
"Yes","2013","West Germany","","","",""
"Yes","2013","East Germany","","","",""
"No","2013","West Germany","","","",""
"No","2013","East Germany","","","",""
"Yes","2014","West Germany","","","",""
"Yes","2014","East Germany","","","",""
"No","2014","West Germany","","","",""
"No","2014","East Germany","","","",""
"Yes","2015","West Germany","","","",""
"Yes","2015","East Germany","","","",""
"No","2015","West Germany","","","",""
"No","2015","East Germany","","","",""
"Yes","2016","West Germany","5988","0.547110965102278","0.537909437929628","0.556312492274928"
"Yes","2016","East Germany","1322","0.49930533827108","0.480385939116962","0.518224737425198"
"No","2016","West Germany","5254","0.452889034897722","0.443687507725072","0.462090562070372"
"No","2016","East Germany","1361","0.50069466172892","0.481775262574802","0.519614060883038"
"Yes","2017","West Germany","","","",""
"Yes","2017","East Germany","","","",""
"No","2017","West Germany","","","",""
"No","2017","East Germany","","","",""
"Yes","2018","West Germany","","","",""
"Yes","2018","East Germany","","","",""
"No","2018","West Germany","","","",""
"No","2018","East Germany","","","",""
"Yes","2019","West Germany","6180","0.544172822157531","0.535420839819327","0.552924804495736"
"Yes","2019","East Germany","1429","0.510865658768573","0.4935024897118","0.528228827825347"
"No","2019","West Germany","6260","0.455827177842469","0.447075195504264","0.464579160180674"
"No","2019","East Germany","1755","0.489134341231426","0.471771172174653","0.5064975102882"
