"plb0050","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2001","Not Employed","West Germany","44","0.315016001206259","0.23861299636147","0.391419006051048"
"Yes","2001","Not Employed","East Germany","11","","",""
"Yes","2001","Employed","West Germany","5023","0.53018204927952","0.520106663449609","0.54025743510943"
"Yes","2001","Employed","East Germany","1327","0.45348388022303","0.435248289679469","0.471719470766592"
"No","2001","Not Employed","West Germany","98","0.684983998793741","0.608580993948952","0.761387003638531"
"No","2001","Not Employed","East Germany","61","0.843201109907112","0.75921278499207","0.927189434822153"
"No","2001","Employed","West Germany","4403","0.46981795072048","0.459742564890569","0.479893336550391"
"No","2001","Employed","East Germany","1536","0.54651611977697","0.528280529233408","0.564751710320531"
"Yes","2002","Not Employed","West Germany","","","",""
"Yes","2002","Not Employed","East Germany","","","",""
"Yes","2002","Employed","West Germany","","","",""
"Yes","2002","Employed","East Germany","","","",""
"No","2002","Not Employed","West Germany","","","",""
"No","2002","Not Employed","East Germany","","","",""
"No","2002","Employed","West Germany","","","",""
"No","2002","Employed","East Germany","","","",""
"Yes","2003","Not Employed","West Germany","","","",""
"Yes","2003","Not Employed","East Germany","","","",""
"Yes","2003","Employed","West Germany","","","",""
"Yes","2003","Employed","East Germany","","","",""
"No","2003","Not Employed","West Germany","","","",""
"No","2003","Not Employed","East Germany","","","",""
"No","2003","Employed","West Germany","","","",""
"No","2003","Employed","East Germany","","","",""
"Yes","2004","Not Employed","West Germany","","","",""
"Yes","2004","Not Employed","East Germany","","","",""
"Yes","2004","Employed","West Germany","","","",""
"Yes","2004","Employed","East Germany","","","",""
"No","2004","Not Employed","West Germany","","","",""
"No","2004","Not Employed","East Germany","","","",""
"No","2004","Employed","West Germany","","","",""
"No","2004","Employed","East Germany","","","",""
"Yes","2005","Not Employed","West Germany","","","",""
"Yes","2005","Not Employed","East Germany","","","",""
"Yes","2005","Employed","West Germany","","","",""
"Yes","2005","Employed","East Germany","","","",""
"No","2005","Not Employed","West Germany","","","",""
"No","2005","Not Employed","East Germany","","","",""
"No","2005","Employed","West Germany","","","",""
"No","2005","Employed","East Germany","","","",""
"Yes","2006","Not Employed","West Germany","46","0.303099736848912","0.226418935689134","0.37978053800869"
"Yes","2006","Not Employed","East Germany","10","","",""
"Yes","2006","Employed","West Germany","4881","0.51816158223506","0.507992122939068","0.528331041531051"
"Yes","2006","Employed","East Germany","1252","0.447034500919896","0.428133267672551","0.465935734167242"
"No","2006","Not Employed","West Germany","92","0.696900263151088","0.62021946199131","0.773581064310866"
"No","2006","Not Employed","East Germany","48","0.790418923173843","0.68567259873502","0.895165247612667"
"No","2006","Employed","West Germany","4393","0.48183841776494","0.471668958468949","0.492007877060932"
"No","2006","Employed","East Germany","1406","0.552965499080103","0.534064265832758","0.571866732327449"
"Yes","2007","Not Employed","West Germany","","","",""
"Yes","2007","Not Employed","East Germany","","","",""
"Yes","2007","Employed","West Germany","","","",""
"Yes","2007","Employed","East Germany","","","",""
"No","2007","Not Employed","West Germany","","","",""
"No","2007","Not Employed","East Germany","","","",""
"No","2007","Employed","West Germany","","","",""
"No","2007","Employed","East Germany","","","",""
"Yes","2008","Not Employed","West Germany","","","",""
"Yes","2008","Not Employed","East Germany","","","",""
"Yes","2008","Employed","West Germany","","","",""
"Yes","2008","Employed","East Germany","","","",""
"No","2008","Not Employed","West Germany","","","",""
"No","2008","Not Employed","East Germany","","","",""
"No","2008","Employed","West Germany","","","",""
"No","2008","Employed","East Germany","","","",""
"Yes","2009","Not Employed","West Germany","","","",""
"Yes","2009","Not Employed","East Germany","","","",""
"Yes","2009","Employed","West Germany","","","",""
"Yes","2009","Employed","East Germany","","","",""
"No","2009","Not Employed","West Germany","","","",""
"No","2009","Not Employed","East Germany","","","",""
"No","2009","Employed","West Germany","","","",""
"No","2009","Employed","East Germany","","","",""
"Yes","2010","Not Employed","West Germany","","","",""
"Yes","2010","Not Employed","East Germany","","","",""
"Yes","2010","Employed","West Germany","","","",""
"Yes","2010","Employed","East Germany","","","",""
"No","2010","Not Employed","West Germany","","","",""
"No","2010","Not Employed","East Germany","","","",""
"No","2010","Employed","West Germany","","","",""
"No","2010","Employed","East Germany","","","",""
"Yes","2011","Not Employed","West Germany","51","0.410898281113517","0.323595016719888","0.498201545507145"
"Yes","2011","Not Employed","East Germany","15","","",""
"Yes","2011","Employed","West Germany","4616","0.552144941224359","0.541545412017405","0.562744470431313"
"Yes","2011","Employed","East Germany","1258","0.478982074733628","0.45944658799173","0.498517561475525"
"No","2011","Not Employed","West Germany","71","0.589101718886483","0.501798454492854","0.676404983280112"
"No","2011","Not Employed","East Germany","20","","",""
"No","2011","Employed","West Germany","3839","0.447855058775641","0.437255529568687","0.458454587982595"
"No","2011","Employed","East Germany","1254","0.521017925266372","0.501482438524475","0.54055341200827"
"Yes","2012","Not Employed","West Germany","","","",""
"Yes","2012","Not Employed","East Germany","","","",""
"Yes","2012","Employed","West Germany","","","",""
"Yes","2012","Employed","East Germany","","","",""
"No","2012","Not Employed","West Germany","","","",""
"No","2012","Not Employed","East Germany","","","",""
"No","2012","Employed","West Germany","","","",""
"No","2012","Employed","East Germany","","","",""
"Yes","2013","Not Employed","West Germany","","","",""
"Yes","2013","Not Employed","East Germany","","","",""
"Yes","2013","Employed","West Germany","","","",""
"Yes","2013","Employed","East Germany","","","",""
"No","2013","Not Employed","West Germany","","","",""
"No","2013","Not Employed","East Germany","","","",""
"No","2013","Employed","West Germany","","","",""
"No","2013","Employed","East Germany","","","",""
"Yes","2014","Not Employed","West Germany","","","",""
"Yes","2014","Not Employed","East Germany","","","",""
"Yes","2014","Employed","West Germany","","","",""
"Yes","2014","Employed","East Germany","","","",""
"No","2014","Not Employed","West Germany","","","",""
"No","2014","Not Employed","East Germany","","","",""
"No","2014","Employed","West Germany","","","",""
"No","2014","Employed","East Germany","","","",""
"Yes","2015","Not Employed","West Germany","","","",""
"Yes","2015","Not Employed","East Germany","","","",""
"Yes","2015","Employed","West Germany","","","",""
"Yes","2015","Employed","East Germany","","","",""
"No","2015","Not Employed","West Germany","","","",""
"No","2015","Not Employed","East Germany","","","",""
"No","2015","Employed","West Germany","","","",""
"No","2015","Employed","East Germany","","","",""
"Yes","2016","Not Employed","West Germany","91","0.345210888635706","0.287531479261445","0.402890298009967"
"Yes","2016","Not Employed","East Germany","22","","",""
"Yes","2016","Employed","West Germany","5897","0.551699773799807","0.542398058834377","0.561001488765236"
"Yes","2016","Employed","East Germany","1300","0.503139985802407","0.483983860462274","0.522296111142539"
"No","2016","Not Employed","West Germany","170","0.654789111364294","0.597109701990033","0.712468520738555"
"No","2016","Not Employed","East Germany","44","0.738304578018982","0.632259145789422","0.844350010248543"
"No","2016","Employed","West Germany","5084","0.448300226200193","0.438998511234764","0.457601941165623"
"No","2016","Employed","East Germany","1317","0.496860014197593","0.477703888857461","0.516016139537726"
"Yes","2017","Not Employed","West Germany","","","",""
"Yes","2017","Not Employed","East Germany","","","",""
"Yes","2017","Employed","West Germany","","","",""
"Yes","2017","Employed","East Germany","","","",""
"No","2017","Not Employed","West Germany","","","",""
"No","2017","Not Employed","East Germany","","","",""
"No","2017","Employed","West Germany","","","",""
"No","2017","Employed","East Germany","","","",""
"Yes","2018","Not Employed","West Germany","","","",""
"Yes","2018","Not Employed","East Germany","","","",""
"Yes","2018","Employed","West Germany","","","",""
"Yes","2018","Employed","East Germany","","","",""
"No","2018","Not Employed","West Germany","","","",""
"No","2018","Not Employed","East Germany","","","",""
"No","2018","Employed","West Germany","","","",""
"No","2018","Employed","East Germany","","","",""
"Yes","2019","Not Employed","West Germany","147","0.365158742624827","0.321015583131265","0.409301902118388"
"Yes","2019","Not Employed","East Germany","41","0.418051176947552","0.33158421366374","0.504518140231363"
"Yes","2019","Employed","West Germany","6033","0.550504495768742","0.541597968076271","0.559411023461214"
"Yes","2019","Employed","East Germany","1388","0.514867275617891","0.497156552945187","0.532577998290596"
"No","2019","Not Employed","West Germany","310","0.634841257375173","0.590698097881612","0.678984416868735"
"No","2019","Not Employed","East Germany","84","0.581948823052448","0.495481859768637","0.66841578633626"
"No","2019","Employed","West Germany","5950","0.449495504231258","0.440588976538786","0.458402031923729"
"No","2019","Employed","East Germany","1671","0.485132724382109","0.467422001709404","0.502843447054813"
