"plb0050","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Not Employed","Female","109","0.742561229135657","0.671149432990291","0.813973025281023","2"
"No","2001","Employed","Female","2860","0.521081518854536","0.507867176561043","0.534295861148029","2"
"No","2001","Not Employed","Male","50","0.698903183890297","0.591439762830112","0.806366604950481","2"
"No","2001","Employed","Male","3079","0.453842911754319","0.442008759945422","0.465677063563216","2"
"Yes","2001","Not Employed","Male","20","","","","1"
"Yes","2001","Not Employed","Female","35","0.257438770864343","0.186026974718977","0.328850567009709","1"
"Yes","2001","Employed","Male","3720","0.546157088245681","0.534322936436784","0.557991240054578","1"
"Yes","2001","Employed","Female","2630","0.478918481145464","0.465704138851971","0.492132823438957","1"
"No","2002","Not Employed","Female","","","","","2"
"No","2002","Employed","Female","","","","","2"
"No","2002","Not Employed","Male","","","","","2"
"No","2002","Employed","Male","","","","","2"
"Yes","2002","Not Employed","Male","","","","","1"
"Yes","2002","Not Employed","Female","","","","","1"
"Yes","2002","Employed","Male","","","","","1"
"Yes","2002","Employed","Female","","","","","1"
"No","2003","Employed","Female","","","","","2"
"No","2003","Not Employed","Male","","","","","2"
"No","2003","Not Employed","Female","","","","","2"
"No","2003","Employed","Male","","","","","2"
"Yes","2003","Not Employed","Female","","","","","1"
"Yes","2003","Employed","Male","","","","","1"
"Yes","2003","Employed","Female","","","","","1"
"Yes","2003","Not Employed","Male","","","","","1"
"No","2004","Employed","Female","","","","","2"
"No","2004","Not Employed","Male","","","","","2"
"No","2004","Not Employed","Female","","","","","2"
"No","2004","Employed","Male","","","","","2"
"Yes","2004","Not Employed","Female","","","","","1"
"Yes","2004","Employed","Male","","","","","1"
"Yes","2004","Employed","Female","","","","","1"
"Yes","2004","Not Employed","Male","","","","","1"
"No","2005","Not Employed","Male","","","","","2"
"No","2005","Not Employed","Female","","","","","2"
"No","2005","Employed","Male","","","","","2"
"No","2005","Employed","Female","","","","","2"
"Yes","2005","Not Employed","Female","","","","","1"
"Yes","2005","Not Employed","Male","","","","","1"
"Yes","2005","Employed","Male","","","","","1"
"Yes","2005","Employed","Female","","","","","1"
"No","2006","Not Employed","Male","67","0.72550741740772","0.630638299335587","0.820376535479854","2"
"No","2006","Not Employed","Female","73","0.713816494109247","0.629734657212933","0.79789833100556","2"
"No","2006","Employed","Male","2951","0.480963007030461","0.468627304593212","0.49329870946771","2"
"No","2006","Employed","Female","2848","0.509631962424198","0.496573762908285","0.522690161940111","2"
"Yes","2006","Not Employed","Female","38","0.286183505890753","0.20210166899444","0.370265342787067","1"
