"plb0050","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Schleswig-Holstein","East Germany","","","","","2"
"No","2001","Brandenburg","West Germany","","","","","2"
"No","2001","Schleswig-Holstein","West Germany","190","0.490895198421749","0.440093923720851","0.541696473122647","2"
"No","2001","Hamburg","West Germany","65","0.355793069270043","0.281610898450403","0.429975240089683","2"
"No","2001","Hamburg","East Germany","","","","","2"
"No","2001","Lower Saxony","West Germany","482","0.473596002691226","0.443308640924959","0.503883364457494","2"
"No","2001","Lower Saxony","East Germany","","","","","2"
"No","2001","Bremen","East Germany","","","","","2"
"No","2001","Bremen","West Germany","38","0.417718563831567","0.314085861008097","0.521351266655038","2"
"No","2001","North Rhine-Westphalia","East Germany","","","","","2"
"No","2001","Brandenburg","East Germany","257","0.480824022363448","0.437461615875791","0.524186428851105","2"
"No","2001","North Rhine-Westphalia","West Germany","1240","0.470566718494391","0.451541327585108","0.489592109403674","2"
"No","2001","Hesse","West Germany","369","0.424099592429351","0.391031277304898","0.457167907553804","2"
"No","2001","Hesse","East Germany","","","","","2"
"No","2001","Baden-Württemberg","East Germany","","","","","2"
"No","2001","Rhineland-Palatinate,Saarland","West Germany","367","0.53070655012675","0.494454558450972","0.566958541802529","2"
"No","2001","Baden-Württemberg","West Germany","731","0.464980187942758","0.440339780571595","0.489620595313922","2"
"No","2001","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"No","2001","Mecklenburg-Western Pomerania","East Germany","157","0.518395038087359","0.461664637095233","0.575125439079486","2"
"No","2001","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"No","2001","Bavaria","West Germany","911","0.500483202146213","0.477680598163829","0.523285806128597","2"
"No","2001","Bavaria","East Germany","","","","","2"
"No","2001","Berlin","West Germany","108","0.456766870355592","0.395507623229392","0.518026117481792","2"
"No","2001","Berlin","East Germany","99","0.52409616113363","0.455224984999736","0.592967337267524","2"
"No","2001","Saxony","West Germany","","","","","2"
"No","2001","Saxony","East Germany","509","0.581901771272884","0.549441639052117","0.614361903493652","2"
"No","2001","Saxony-Anhalt","West Germany","","","","","2"
"No","2001","Saxony-Anhalt","East Germany","298","0.614288518682678","0.57257135926921","0.656005678096147","2"
"No","2001","Thuringia","West Germany","","","","","2"
"No","2001","Thuringia","East Germany","277","0.561972977474543","0.519122798048026","0.60482315690106","2"
"Yes","2001","Schleswig-Holstein","West Germany","182","0.509104801578251","0.458303526877353","0.559906076279149","1"
"Yes","2001","Schleswig-Holstein","East Germany","","","","","1"
"Yes","2001","Hamburg","West Germany","95","0.644206930729957","0.570024759910318","0.718389101549597","1"
"Yes","2001","Hamburg","East Germany","","","","","1"
"Yes","2001","Lower Saxony","West Germany","562","0.526403997308774","0.496116635542506","0.556691359075041","1"
"Yes","2001","Lower Saxony","East Germany","","","","","1"
"Yes","2001","Bremen","West Germany","49","0.582281436168433","0.478648733344962","0.685914138991903","1"
"Yes","2001","Bremen","East Germany","","","","","1"
"Yes","2001","North Rhine-Westphalia","West Germany","1404","0.529433281505609","0.510407890596326","0.548458672414892","1"
"Yes","2001","North Rhine-Westphalia","East Germany","","","","","1"
"Yes","2001","Hesse","West Germany","489","0.575900407570649","0.542832092446196","0.608968722695102","1"
"Yes","2001","Hesse","East Germany","","","","","1"
"Yes","2001","Rhineland-Palatinate,Saarland","West Germany","361","0.46929344987325","0.433041458197471","0.505545441549028","1"
"Yes","2001","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Yes","2001","Baden-Württemberg","West Germany","843","0.535019812057242","0.510379404686078","0.559660219428405","1"
"Yes","2001","Baden-Württemberg","East Germany","","","","","1"
"Yes","2001","Bavaria","West Germany","936","0.499516797853787","0.476714193871403","0.522319401836172","1"
"Yes","2001","Bavaria","East Germany","","","","","1"
"Yes","2001","Berlin","West Germany","146","0.543233129644408","0.481973882518208","0.604492376770608","1"
"Yes","2001","Berlin","East Germany","103","0.47590383886637","0.407032662732476","0.544775015000264","1"
"Yes","2001","Brandenburg","West Germany","","","","","1"
"Yes","2001","Brandenburg","East Germany","253","0.519175977636552","0.475813571148896","0.562538384124209","1"
"Yes","2001","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Yes","2001","Mecklenburg-Western Pomerania","East Germany","141","0.481604961912641","0.424874560920514","0.538335362904767","1"
"Yes","2001","Saxony","West Germany","","","","","1"
"Yes","2001","Saxony","East Germany","378","0.418098228727116","0.385638096506348","0.450558360947883","1"
"Yes","2001","Saxony-Anhalt","West Germany","","","","","1"
"Yes","2001","Saxony-Anhalt","East Germany","225","0.385711481317322","0.343994321903853","0.42742864073079","1"
"Yes","2001","Thuringia","West Germany","","","","","1"
"Yes","2001","Thuringia","East Germany","238","0.438027022525457","0.39517684309894","0.480877201951974","1"
"No","2002","Schleswig-Holstein","West Germany","","","","","2"
"No","2002","Schleswig-Holstein","East Germany","","","","","2"
"No","2002","Hamburg","West Germany","","","","","2"
