"plb0050","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2001","Full Time","West Germany","3770","0.576444832092611","0.564442708050693","0.58844695613453"
"Yes","2001","Full Time","East Germany","1057","0.472092798339982","0.451284038363125","0.49290155831684"
"Yes","2001","Part Time","West Germany","1253","0.422393086072062","0.404462131782299","0.440324040361824"
"Yes","2001","Part Time","East Germany","270","0.393496445109176","0.355998162733481","0.430994727484872"
"Yes","2001","Not Working","West Germany","44","0.315016001206259","0.23861299636147","0.391419006051048"
"Yes","2001","Not Working","East Germany","11","","",""
"No","2001","Full Time","West Germany","2741","0.423555167907389","0.41155304386547","0.435557291949307"
"No","2001","Full Time","East Germany","1154","0.527907201660018","0.50709844168316","0.548715961636875"
"No","2001","Part Time","West Germany","1662","0.577606913927938","0.559675959638176","0.595537868217701"
"No","2001","Part Time","East Germany","382","0.606503554890824","0.569005272515128","0.644001837266519"
"No","2001","Not Working","West Germany","98","0.684983998793741","0.608580993948952","0.761387003638531"
"No","2001","Not Working","East Germany","61","0.843201109907112","0.75921278499207","0.927189434822153"
"Yes","2002","Full Time","West Germany","","","",""
"Yes","2002","Full Time","East Germany","","","",""
"Yes","2002","Part Time","West Germany","","","",""
"Yes","2002","Part Time","East Germany","","","",""
"Yes","2002","Not Working","West Germany","","","",""
"Yes","2002","Not Working","East Germany","","","",""
"No","2002","Full Time","West Germany","","","",""
"No","2002","Full Time","East Germany","","","",""
"No","2002","Part Time","West Germany","","","",""
"No","2002","Part Time","East Germany","","","",""
"No","2002","Not Working","West Germany","","","",""
"No","2002","Not Working","East Germany","","","",""
"Yes","2003","Full Time","West Germany","","","",""
"Yes","2003","Full Time","East Germany","","","",""
"Yes","2003","Part Time","West Germany","","","",""
"Yes","2003","Part Time","East Germany","","","",""
"Yes","2003","Not Working","West Germany","","","",""
"Yes","2003","Not Working","East Germany","","","",""
"No","2003","Full Time","West Germany","","","",""
"No","2003","Full Time","East Germany","","","",""
"No","2003","Part Time","West Germany","","","",""
"No","2003","Part Time","East Germany","","","",""
"No","2003","Not Working","West Germany","","","",""
"No","2003","Not Working","East Germany","","","",""
"Yes","2004","Full Time","West Germany","","","",""
"Yes","2004","Full Time","East Germany","","","",""
"Yes","2004","Part Time","West Germany","","","",""
"Yes","2004","Part Time","East Germany","","","",""
"Yes","2004","Not Working","West Germany","","","",""
"Yes","2004","Not Working","East Germany","","","",""
"No","2004","Full Time","West Germany","","","",""
"No","2004","Full Time","East Germany","","","",""
"No","2004","Part Time","West Germany","","","",""
"No","2004","Part Time","East Germany","","","",""
"No","2004","Not Working","West Germany","","","",""
"No","2004","Not Working","East Germany","","","",""
"Yes","2005","Full Time","West Germany","","","",""
"Yes","2005","Full Time","East Germany","","","",""
"Yes","2005","Part Time","West Germany","","","",""
"Yes","2005","Part Time","East Germany","","","",""
"Yes","2005","Not Working","West Germany","","","",""
"Yes","2005","Not Working","East Germany","","","",""
"No","2005","Full Time","West Germany","","","",""
"No","2005","Full Time","East Germany","","","",""
"No","2005","Part Time","West Germany","","","",""
"No","2005","Part Time","East Germany","","","",""
"No","2005","Not Working","West Germany","","","",""
"No","2005","Not Working","East Germany","","","",""
"Yes","2006","Full Time","West Germany","3571","0.57003003986369","0.557685012188271","0.582375067539108"
"Yes","2006","Full Time","East Germany","965","0.475808111855815","0.453573360687","0.49804286302463"
"Yes","2006","Part Time","West Germany","1310","0.407847520005713","0.390536872851093","0.425158167160333"
"Yes","2006","Part Time","East Germany","287","0.373284610358682","0.337955145010184","0.408614075707181"
"Yes","2006","Not Working","West Germany","46","0.303099736848912","0.226418935689134","0.37978053800869"
"Yes","2006","Not Working","East Germany","10","","",""
"No","2006","Full Time","West Germany","2607","0.42996996013631","0.417624932460892","0.442314987811729"
"No","2006","Full Time","East Germany","973","0.524191888144185","0.50195713697537","0.546426639313001"
"No","2006","Part Time","West Germany","1786","0.592152479994287","0.574841832839667","0.609463127148907"
"No","2006","Part Time","East Germany","433","0.626715389641318","0.591385924292819","0.662044854989817"
"No","2006","Not Working","West Germany","92","0.696900263151088","0.62021946199131","0.773581064310866"
"No","2006","Not Working","East Germany","48","0.790418923173843","0.68567259873502","0.895165247612667"
"Yes","2007","Full Time","West Germany","","","",""
"Yes","2007","Full Time","East Germany","","","",""
"Yes","2007","Part Time","West Germany","","","",""
"Yes","2007","Part Time","East Germany","","","",""
"Yes","2007","Not Working","West Germany","","","",""
"Yes","2007","Not Working","East Germany","","","",""
"No","2007","Full Time","West Germany","","","",""
"No","2007","Full Time","East Germany","","","",""
"No","2007","Part Time","West Germany","","","",""
"No","2007","Part Time","East Germany","","","",""
"No","2007","Not Working","West Germany","","","",""
"No","2007","Not Working","East Germany","","","",""
"Yes","2008","Full Time","West Germany","","","",""
"Yes","2008","Full Time","East Germany","","","",""
"Yes","2008","Part Time","West Germany","","","",""
"Yes","2008","Part Time","East Germany","","","",""
"Yes","2008","Not Working","West Germany","","","",""
"Yes","2008","Not Working","East Germany","","","",""
"No","2008","Full Time","West Germany","","","",""
"No","2008","Full Time","East Germany","","","",""
"No","2008","Part Time","West Germany","","","",""
"No","2008","Part Time","East Germany","","","",""
"No","2008","Not Working","West Germany","","","",""
"No","2008","Not Working","East Germany","","","",""
"Yes","2009","Full Time","West Germany","","","",""
"Yes","2009","Full Time","East Germany","","","",""
"Yes","2009","Part Time","West Germany","","","",""
"Yes","2009","Part Time","East Germany","","","",""
"Yes","2009","Not Working","West Germany","","","",""
"Yes","2009","Not Working","East Germany","","","",""
"No","2009","Full Time","West Germany","","","",""
"No","2009","Full Time","East Germany","","","",""
"No","2009","Part Time","West Germany","","","",""
"No","2009","Part Time","East Germany","","","",""
"No","2009","Not Working","West Germany","","","",""
"No","2009","Not Working","East Germany","","","",""
"Yes","2010","Full Time","West Germany","","","",""
"Yes","2010","Full Time","East Germany","","","",""
"Yes","2010","Part Time","West Germany","","","",""
"Yes","2010","Part Time","East Germany","","","",""
"Yes","2010","Not Working","West Germany","","","",""
"Yes","2010","Not Working","East Germany","","","",""
"No","2010","Full Time","West Germany","","","",""
"No","2010","Full Time","East Germany","","","",""
"No","2010","Part Time","West Germany","","","",""
"No","2010","Part Time","East Germany","","","",""
