"plb0050","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2001","16-34 y.","West Germany","1604","0.517322679700586","0.499808356643136","0.534837002758037","2"
"No","2001","66 and older","West Germany","70","0.852965084122409","0.775842522324179","0.930087645920639","2"
"No","2001","16-34 y.","East Germany","577","0.633361175385782","0.602604655762999","0.664117695008564","2"
"No","2001","66 and older","East Germany","9","","","","2"
"No","2001","35-65 y.","West Germany","2827","0.445561843922537","0.433346657911516","0.457777029933557","2"
"No","2001","35-65 y.","East Germany","1011","0.513099509451523","0.491094722317597","0.535104296585449","2"
"Yes","2001","16-34 y.","West Germany","1523","0.482677320299414","0.465162997241963","0.500191643356864","1"
"Yes","2001","16-34 y.","East Germany","366","0.366638824614218","0.335882304991436","0.397395344237001","1"
"Yes","2001","35-65 y.","West Germany","3533","0.554438156077463","0.542222970066443","0.566653342088484","1"
"Yes","2001","35-65 y.","East Germany","971","0.486900490548477","0.464895703414551","0.508905277682403","1"
"Yes","2001","66 and older","West Germany","11","","","","1"
"Yes","2001","66 and older","East Germany","1","","","","1"
"No","2002","16-34 y.","West Germany","","","","","2"
"No","2002","16-34 y.","East Germany","","","","","2"
"No","2002","66 and older","West Germany","","","","","2"
"No","2002","66 and older","East Germany","","","","","2"
"No","2002","35-65 y.","West Germany","","","","","2"
"No","2002","35-65 y.","East Germany","","","","","2"
"Yes","2002","16-34 y.","West Germany","","","","","1"
"Yes","2002","16-34 y.","East Germany","","","","","1"
"Yes","2002","35-65 y.","West Germany","","","","","1"
"Yes","2002","35-65 y.","East Germany","","","","","1"
"Yes","2002","66 and older","West Germany","","","","","1"
"Yes","2002","66 and older","East Germany","","","","","1"
"No","2003","16-34 y.","West Germany","","","","","2"
"No","2003","16-34 y.","East Germany","","","","","2"
"No","2003","66 and older","West Germany","","","","","2"
"No","2003","66 and older","East Germany","","","","","2"
"No","2003","35-65 y.","West Germany","","","","","2"
"No","2003","35-65 y.","East Germany","","","","","2"
"Yes","2003","16-34 y.","West Germany","","","","","1"
"Yes","2003","16-34 y.","East Germany","","","","","1"
"Yes","2003","35-65 y.","West Germany","","","","","1"
"Yes","2003","35-65 y.","East Germany","","","","","1"
"Yes","2003","66 and older","West Germany","","","","","1"
"Yes","2003","66 and older","East Germany","","","","","1"
"No","2004","16-34 y.","West Germany","","","","","2"
"No","2004","16-34 y.","East Germany","","","","","2"
"No","2004","66 and older","West Germany","","","","","2"
"No","2004","66 and older","East Germany","","","","","2"
"No","2004","35-65 y.","West Germany","","","","","2"
"No","2004","35-65 y.","East Germany","","","","","2"
"Yes","2004","16-34 y.","West Germany","","","","","1"
"Yes","2004","16-34 y.","East Germany","","","","","1"
"Yes","2004","35-65 y.","West Germany","","","","","1"
"Yes","2004","35-65 y.","East Germany","","","","","1"
"Yes","2004","66 and older","West Germany","","","","","1"
"Yes","2004","66 and older","East Germany","","","","","1"
"No","2005","16-34 y.","West Germany","","","","","2"
"No","2005","16-34 y.","East Germany","","","","","2"
"No","2005","66 and older","West Germany","","","","","2"
"No","2005","66 and older","East Germany","","","","","2"
"No","2005","35-65 y.","West Germany","","","","","2"
"No","2005","35-65 y.","East Germany","","","","","2"
"Yes","2005","16-34 y.","West Germany","","","","","1"
"Yes","2005","16-34 y.","East Germany","","","","","1"
"Yes","2005","35-65 y.","West Germany","","","","","1"
"Yes","2005","35-65 y.","East Germany","","","","","1"
"Yes","2005","66 and older","West Germany","","","","","1"
"Yes","2005","66 and older","East Germany","","","","","1"
"No","2006","66 and older","West Germany","145","0.869889987538583","0.818557342346414","0.921222632730752","2"
"No","2006","16-34 y.","West Germany","1249","0.526585395582999","0.506479621819715","0.546691169346283","2"
"No","2006","16-34 y.","East Germany","472","0.626382214493927","0.592034006406222","0.660730422581631","2"
"No","2006","66 and older","East Germany","14","","","","2"
"No","2006","35-65 y.","West Germany","3091","0.45882487019295","0.44704855569305","0.47060118469285","2"
"No","2006","35-65 y.","East Germany","968","0.525905785257467","0.503663381678432","0.548148188836503","2"
"Yes","2006","16-34 y.","West Germany","1120","0.473414604417001","0.453308830653717","0.493520378180284","1"
"Yes","2006","16-34 y.","East Germany","290","0.373617785506073","0.339269577418369","0.407965993593778","1"
"Yes","2006","35-65 y.","West Germany","3787","0.54117512980705","0.52939881530715","0.55295144430695","1"
"Yes","2006","35-65 y.","East Germany","968","0.474094214742533","0.451851811163497","0.496336618321568","1"
"Yes","2006","66 and older","West Germany","20","","","","1"
"Yes","2006","66 and older","East Germany","4","","","","1"
"No","2007","66 and older","West Germany","","","","","2"
"No","2007","66 and older","East Germany","","","","","2"
"No","2007","16-34 y.","West Germany","","","","","2"
"No","2007","16-34 y.","East Germany","","","","","2"
"No","2007","35-65 y.","West Germany","","","","","2"
"No","2007","35-65 y.","East Germany","","","","","2"
"Yes","2007","16-34 y.","West Germany","","","","","1"
"Yes","2007","16-34 y.","East Germany","","","","","1"
"Yes","2007","35-65 y.","West Germany","","","","","1"
"Yes","2007","35-65 y.","East Germany","","","","","1"
"Yes","2007","66 and older","West Germany","","","","","1"
"Yes","2007","66 and older","East Germany","","","","","1"
"No","2008","66 and older","West Germany","","","","","2"
"No","2008","66 and older","East Germany","","","","","2"
"No","2008","16-34 y.","West Germany","","","","","2"
"No","2008","16-34 y.","East Germany","","","","","2"
"No","2008","35-65 y.","West Germany","","","","","2"
"No","2008","35-65 y.","East Germany","","","","","2"
"Yes","2008","35-65 y.","West Germany","","","","","1"
"Yes","2008","35-65 y.","East Germany","","","","","1"
"Yes","2008","16-34 y.","West Germany","","","","","1"
