"plb0050","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2001","16-34 y.","(0) in school","13","","",""
"Yes","2001","16-34 y.","(1a) inadequately completed","12","","",""
"Yes","2001","16-34 y.","(1b) general elementary school","142","0.367999747394155","0.318727023920214","0.417272470868096"
"Yes","2001","16-34 y.","(1c) basic vocational qualification","315","0.432032217316166","0.39579909278078","0.468265341851552"
"Yes","2001","16-34 y.","(2b) intermediate general qualification","141","0.449394220408736","0.395886903583027","0.502901537234445"
"Yes","2001","16-34 y.","(2a) intermediate vocational","582","0.468968699454116","0.441435898030829","0.496501500877403"
"Yes","2001","16-34 y.","(2c_gen) general maturity certificate","141","0.39906415328192","0.34582369009096","0.452304616472879"
"Yes","2001","16-34 y.","(2c_voc) vocational maturity certificate","221","0.558340630024092","0.509307081887185","0.607374178160998"
"Yes","2001","16-34 y.","(3a) lower tertiary education","129","0.521824572022198","0.457127259575738","0.586521884468659"
"Yes","2001","16-34 y.","(3b) higher tertiary education","181","0.583637363109457","0.527947998642099","0.639326727576815"
"Yes","2001","35-65 y.","(0) in school","","","",""
"Yes","2001","35-65 y.","(1a) inadequately completed","47","0.554301780236104","0.446058942845269","0.662544617626938"
"Yes","2001","35-65 y.","(1b) general elementary school","275","0.518452731017528","0.475506954028099","0.561398508006957"
"Yes","2001","35-65 y.","(1c) basic vocational qualification","1341","0.510913583133712","0.49185968272616","0.529967483541265"
"Yes","2001","35-65 y.","(2b) intermediate general qualification","26","","",""
"Yes","2001","35-65 y.","(2a) intermediate vocational","1238","0.531134018637769","0.511097950918784","0.551170086356754"
"Yes","2001","35-65 y.","(2c_gen) general maturity certificate","32","0.48050562807989","0.365894622278029","0.595116633881751"
"Yes","2001","35-65 y.","(2c_voc) vocational maturity certificate","318","0.577840896171863","0.537258828087958","0.618422964255768"
"Yes","2001","35-65 y.","(3a) lower tertiary education","538","0.619500934434183","0.587331617110571","0.651670251757796"
"Yes","2001","35-65 y.","(3b) higher tertiary education","684","0.594251705641315","0.565697341392013","0.622806069890616"
"Yes","2001","66 and older","(0) in school","","","",""
"Yes","2001","66 and older","(1a) inadequately completed","","","",""
