"plb0050","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","2001","16-34 y.","Full Time","1379","0.504870402909466","0.486197341615616","0.523543464203317","2"
"No","2001","16-34 y.","Not Working","87","0.701255998274895","0.619702368094784","0.782809628455007","2"
"No","2001","35-65 y.","Part Time","1280","0.565174377899401","0.544971693912782","0.58537706188602","2"
"No","2001","66 and older","Full Time","25","","","","2"
"No","2001","66 and older","Not Working","5","","","","2"
"No","2001","16-34 y.","Part Time","715","0.596881670197572","0.569070162543515","0.624693177851628","2"
"No","2001","35-65 y.","Full Time","2491","0.411967017244441","0.399451454507862","0.424482579981019","2"
"No","2001","35-65 y.","Not Working","67","0.734975154192146","0.642763379765339","0.827186928618953","2"
"No","2001","66 and older","Part Time","49","0.807945907031565","0.707432264594002","0.908459549469129","2"
"Yes","2001","16-34 y.","Full Time","1375","0.495129597090534","0.476456535796684","0.513802658384384","1"
"Yes","2001","16-34 y.","Part Time","480","0.403118329802428","0.375306822148372","0.430929837456485","1"
"Yes","2001","16-34 y.","Not Working","34","0.298744001725105","0.217190371544993","0.380297631905216","1"
"Yes","2001","35-65 y.","Full Time","3450","0.588032982755559","0.575517420018981","0.600548545492138","1"
"Yes","2001","35-65 y.","Part Time","1033","0.434825622100599","0.41462293811398","0.455028306087218","1"
"Yes","2001","35-65 y.","Not Working","21","","","","1"
"Yes","2001","66 and older","Full Time","2","","","","1"
"Yes","2001","66 and older","Part Time","10","","","","1"
"Yes","2001","66 and older","Not Working","","","","","1"
"No","2002","16-34 y.","Not Working","","","","","2"
"No","2002","16-34 y.","Full Time","","","","","2"
"No","2002","16-34 y.","Part Time","","","","","2"
"No","2002","35-65 y.","Full Time","","","","","2"
"No","2002","35-65 y.","Part Time","","","","","2"
"No","2002","66 and older","Full Time","","","","","2"
"No","2002","66 and older","Not Working","","","","","2"
"No","2002","35-65 y.","Not Working","","","","","2"
"No","2002","66 and older","Part Time","","","","","2"
"Yes","2002","16-34 y.","Full Time","","","","","1"
"Yes","2002","16-34 y.","Part Time","","","","","1"
"Yes","2002","16-34 y.","Not Working","","","","","1"
"Yes","2002","35-65 y.","Full Time","","","","","1"
"Yes","2002","35-65 y.","Part Time","","","","","1"
"Yes","2002","35-65 y.","Not Working","","","","","1"
"Yes","2002","66 and older","Full Time","","","","","1"
"Yes","2002","66 and older","Part Time","","","","","1"
"Yes","2002","66 and older","Not Working","","","","","1"
"No","2003","16-34 y.","Full Time","","","","","2"
"No","2003","16-34 y.","Not Working","","","","","2"
"No","2003","16-34 y.","Part Time","","","","","2"
"No","2003","35-65 y.","Full Time","","","","","2"
"No","2003","35-65 y.","Part Time","","","","","2"
"No","2003","66 and older","Full Time","","","","","2"
"No","2003","66 and older","Not Working","","","","","2"
"No","2003","35-65 y.","Not Working","","","","","2"
"No","2003","66 and older","Part Time","","","","","2"
"Yes","2003","16-34 y.","Full Time","","","","","1"
"Yes","2003","16-34 y.","Part Time","","","","","1"
"Yes","2003","16-34 y.","Not Working","","","","","1"
"Yes","2003","35-65 y.","Full Time","","","","","1"
"Yes","2003","35-65 y.","Part Time","","","","","1"
"Yes","2003","35-65 y.","Not Working","","","","","1"
"Yes","2003","66 and older","Full Time","","","","","1"
"Yes","2003","66 and older","Part Time","","","","","1"
"Yes","2003","66 and older","Not Working","","","","","1"
"No","2004","16-34 y.","Not Working","","","","","2"
"No","2004","16-34 y.","Full Time","","","","","2"
"No","2004","16-34 y.","Part Time","","","","","2"
"No","2004","35-65 y.","Full Time","","","","","2"
"No","2004","35-65 y.","Part Time","","","","","2"
"No","2004","66 and older","Full Time","","","","","2"
"No","2004","35-65 y.","Not Working","","","","","2"
"No","2004","66 and older","Part Time","","","","","2"
"No","2004","66 and older","Not Working","","","","","2"
"Yes","2004","16-34 y.","Full Time","","","","","1"
"Yes","2004","16-34 y.","Part Time","","","","","1"
"Yes","2004","16-34 y.","Not Working","","","","","1"
"Yes","2004","35-65 y.","Full Time","","","","","1"
"Yes","2004","35-65 y.","Part Time","","","","","1"
"Yes","2004","35-65 y.","Not Working","","","","","1"
"Yes","2004","66 and older","Full Time","","","","","1"
"Yes","2004","66 and older","Part Time","","","","","1"
"Yes","2004","66 and older","Not Working","","","","","1"
"No","2005","16-34 y.","Full Time","","","","","2"
"No","2005","16-34 y.","Not Working","","","","","2"
"No","2005","16-34 y.","Part Time","","","","","2"
"No","2005","35-65 y.","Full Time","","","","","2"
"No","2005","35-65 y.","Part Time","","","","","2"
"No","2005","66 and older","Full Time","","","","","2"
"No","2005","35-65 y.","Not Working","","","","","2"
"No","2005","66 and older","Part Time","","","","","2"
"No","2005","66 and older","Not Working","","","","","2"
"Yes","2005","16-34 y.","Full Time","","","","","1"
"Yes","2005","16-34 y.","Part Time","","","","","1"
"Yes","2005","16-34 y.","Not Working","","","","","1"
"Yes","2005","35-65 y.","Full Time","","","","","1"
"Yes","2005","35-65 y.","Part Time","","","","","1"
"Yes","2005","35-65 y.","Not Working","","","","","1"
"Yes","2005","66 and older","Full Time","","","","","1"
"Yes","2005","66 and older","Part Time","","","","","1"
"Yes","2005","66 and older","Not Working","","","","","1"
"No","2006","35-65 y.","Full Time","2499","0.419908063660793","0.407475737241763","0.432340390079824","2"
"No","2006","16-34 y.","Full Time","1035","0.503986175863198","0.482122945789922","0.525849405936473","2"
"No","2006","16-34 y.","Not Working","78","0.72689454604128","0.64247226275471","0.81131682932785","2"
"No","2006","35-65 y.","Part Time","1501","0.577635147449661","0.558913757882712","0.59635653701661","2"
"No","2006","66 and older","Full Time","46","0.871353250198545","0.78121550433296","0.96149099606413","2"
"No","2006","16-34 y.","Part Time","608","0.608187771098457","0.578156555974982","0.638218986221931","2"
"No","2006","35-65 y.","Not Working","59","0.701622827091464","0.604921258706017","0.79832439547691","2"
"No","2006","66 and older","Part Time","110","0.868448910346618","0.809664036204917","0.927233784488319","2"
"No","2006","66 and older","Not Working","3","","","","2"
"Yes","2006","16-34 y.","Full Time","974","0.496013824136802","0.474150594063527","0.517877054210078","1"
"Yes","2006","16-34 y.","Part Time","407","0.391812228901543","0.361781013778069","0.421843444025018","1"
"Yes","2006","16-34 y.","Not Working","29","","","","1"
"Yes","2006","35-65 y.","Full Time","3555","0.580091936339207","0.567659609920176","0.592524262758237","1"
"Yes","2006","35-65 y.","Part Time","1173","0.422364852550339","0.40364346298339","0.441086242117288","1"
"Yes","2006","35-65 y.","Not Working","27","","","","1"
"Yes","2006","66 and older","Full Time","7","","","","1"
"Yes","2006","66 and older","Part Time","17","","","","1"
"Yes","2006","66 and older","Not Working","","","","","1"
"No","2007","16-34 y.","Full Time","","","","","2"
"No","2007","16-34 y.","Not Working","","","","","2"
"No","2007","35-65 y.","Full Time","","","","","2"
"No","2007","35-65 y.","Part Time","","","","","2"
"No","2007","66 and older","Full Time","","","","","2"
"No","2007","16-34 y.","Part Time","","","","","2"
"No","2007","35-65 y.","Not Working","","","","","2"
"No","2007","66 and older","Part Time","","","","","2"
"No","2007","66 and older","Not Working","","","","","2"
"Yes","2007","16-34 y.","Full Time","","","","","1"
"Yes","2007","16-34 y.","Part Time","","","","","1"
