"plb0050","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Yes","2001","16-34 y.","1889","0.462281465615223","0.446964186358062","0.477598744872383"
"Yes","2001","35-65 y.","4504","0.542931815933111","0.532241854455799","0.553621777410423"
"Yes","2001","66 and older","12","","",""
"No","2001","16-34 y.","2181","0.537718534384777","0.522401255127616","0.553035813641938"
"No","2001","35-65 y.","3838","0.457068184066889","0.446378222589578","0.467758145544201"
"No","2001","66 and older","79","0.859188960237164","0.787724504323805","0.930653416150523"
"Yes","2002","16-34 y.","","","",""
"Yes","2002","35-65 y.","","","",""
"Yes","2002","66 and older","","","",""
"No","2002","16-34 y.","","","",""
"No","2002","35-65 y.","","","",""
"No","2002","66 and older","","","",""
"Yes","2003","16-34 y.","","","",""
"Yes","2003","35-65 y.","","","",""
"Yes","2003","66 and older","","","",""
"No","2003","16-34 y.","","","",""
"No","2003","35-65 y.","","","",""
"No","2003","66 and older","","","",""
"Yes","2004","16-34 y.","","","",""
"Yes","2004","35-65 y.","","","",""
"Yes","2004","66 and older","","","",""
"No","2004","16-34 y.","","","",""
"No","2004","35-65 y.","","","",""
"No","2004","66 and older","","","",""
"Yes","2005","16-34 y.","","","",""
"Yes","2005","35-65 y.","","","",""
"Yes","2005","66 and older","","","",""
"No","2005","16-34 y.","","","",""
"No","2005","35-65 y.","","","",""
"No","2005","66 and older","","","",""
"Yes","2006","16-34 y.","1410","0.455554968450537","0.438110651437001","0.472999285464074"
"Yes","2006","35-65 y.","4755","0.530083318433758","0.519663885880387","0.54050275098713"
"Yes","2006","66 and older","24","","",""
"No","2006","16-34 y.","1721","0.544445031549463","0.527000714535926","0.561889348562999"
"No","2006","35-65 y.","4059","0.469916681566242","0.45949724901287","0.480336114119613"
"No","2006","66 and older","159","0.870791592262016","0.822192848075827","0.919390336448205"
"Yes","2007","16-34 y.","","","",""
"Yes","2007","35-65 y.","","","",""
"Yes","2007","66 and older","","","",""
"No","2007","16-34 y.","","","",""
"No","2007","35-65 y.","","","",""
"No","2007","66 and older","","","",""
"Yes","2008","16-34 y.","","","",""
"Yes","2008","35-65 y.","","","",""
"Yes","2008","66 and older","","","",""
"No","2008","16-34 y.","","","",""
"No","2008","35-65 y.","","","",""
"No","2008","66 and older","","","",""
"Yes","2009","16-34 y.","","","",""
"Yes","2009","35-65 y.","","","",""
"Yes","2009","66 and older","","","",""
"No","2009","16-34 y.","","","",""
"No","2009","35-65 y.","","","",""
"No","2009","66 and older","","","",""
"Yes","2010","16-34 y.","","","",""
"Yes","2010","35-65 y.","","","",""
"Yes","2010","66 and older","","","",""
"No","2010","16-34 y.","","","",""
"No","2010","35-65 y.","","","",""
"No","2010","66 and older","","","",""
"Yes","2011","16-34 y.","1375","0.513987507081218","0.495180348254175","0.532794665908261"
"Yes","2011","35-65 y.","4529","0.555868894534065","0.54512831912832","0.56660946993981"
"Yes","2011","66 and older","36","0.201323666356034","0.14430669904764","0.258340633664428"
"No","2011","16-34 y.","1338","0.486012492918782","0.467205334091739","0.504819651745825"
"No","2011","35-65 y.","3692","0.444131105465935","0.433390530060191","0.45487168087168"
"No","2011","66 and older","154","0.798676333643966","0.741659366335572","0.85569330095236"
"Yes","2012","16-34 y.","","","",""
"Yes","2012","35-65 y.","","","",""
"Yes","2012","66 and older","","","",""
"No","2012","16-34 y.","","","",""
"No","2012","35-65 y.","","","",""
"No","2012","66 and older","","","",""
"Yes","2013","16-34 y.","","","",""
"Yes","2013","35-65 y.","","","",""
"Yes","2013","66 and older","","","",""
"No","2013","16-34 y.","","","",""
"No","2013","35-65 y.","","","",""
"No","2013","66 and older","","","",""
"Yes","2014","16-34 y.","","","",""
"Yes","2014","35-65 y.","","","",""
"Yes","2014","66 and older","","","",""
"No","2014","16-34 y.","","","",""
"No","2014","35-65 y.","","","",""
"No","2014","66 and older","","","",""
"Yes","2015","16-34 y.","","","",""
"Yes","2015","35-65 y.","","","",""
"Yes","2015","66 and older","","","",""
"No","2015","16-34 y.","","","",""
"No","2015","35-65 y.","","","",""
"No","2015","66 and older","","","",""
"Yes","2016","16-34 y.","1698","0.516167827383626","0.49944124607347","0.532894408693782"
"Yes","2016","35-65 y.","5554","0.558186370335474","0.548577719416061","0.567795021254886"
"Yes","2016","66 and older","58","0.2179504711141","0.165165511293685","0.270735430934516"
"No","2016","16-34 y.","1731","0.483832172616374","0.467105591306218","0.50055875392653"
"No","2016","35-65 y.","4707","0.441813629664526","0.432204978745114","0.451422280583939"
"No","2016","66 and older","177","0.7820495288859","0.729264569065484","0.834834488706315"
"Yes","2017","16-34 y.","","","",""
"Yes","2017","35-65 y.","","","",""
"Yes","2017","66 and older","","","",""
"No","2017","16-34 y.","","","",""
"No","2017","35-65 y.","","","",""
"No","2017","66 and older","","","",""
"Yes","2018","16-34 y.","","","",""
"Yes","2018","35-65 y.","","","",""
"Yes","2018","66 and older","","","",""
"No","2018","16-34 y.","","","",""
"No","2018","35-65 y.","","","",""
"No","2018","66 and older","","","",""
"Yes","2019","16-34 y.","1784","0.531788033884613","0.515192690842343","0.548383376926882"
"Yes","2019","35-65 y.","5766","0.552757777995338","0.543743407612268","0.561772148378408"
"Yes","2019","66 and older","87","0.243246043434942","0.206082821996973","0.280409264872911"
"No","2019","16-34 y.","1689","0.468211966115387","0.451616623073118","0.484807309157657"
"No","2019","35-65 y.","5921","0.447242222004662","0.438227851621592","0.456256592387732"
"No","2019","66 and older","425","0.756753956565058","0.719590735127089","0.793917178003027"
