"plb0050","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Hamburg","Not Working","1","","","","2"
"No","2001","Berlin","Part Time","79","0.610491616722278","0.52698695901858","0.693996274425976","2"
"No","2001","Hamburg","Part Time","18","","","","2"
"No","2001","Bavaria","Part Time","341","0.629274561355646","0.588982003905781","0.669567118805511","2"
"No","2001","Bavaria","Not Working","16","","","","2"
"No","2001","Berlin","Full Time","125","0.428395932886283","0.373921993333076","0.482869872439489","2"
"No","2001","Schleswig-Holstein","Full Time","115","0.427780287499577","0.36729171705054","0.488268857948614","2"
"No","2001","Schleswig-Holstein","Part Time","72","0.634668571439815","0.545090106570979","0.724247036308652","2"
"No","2001","Schleswig-Holstein","Not Working","3","","","","2"
"No","2001","Hamburg","Full Time","46","0.359490168704239","0.271016246996486","0.447964090411993","2"
"No","2001","Lower Saxony","Full Time","304","0.426389622880086","0.390415385692886","0.462363860067286","2"
"No","2001","Lower Saxony","Part Time","169","0.582056328022796","0.526794052680366","0.637318603365226","2"
"No","2001","Baden-Württemberg","Part Time","262","0.576246350358263","0.53161927181794","0.620873428898587","2"
"No","2001","Baden-Württemberg","Not Working","18","","","","2"
"No","2001","Bavaria","Full Time","554","0.441946579558132","0.414665806997057","0.469227352119208","2"
"No","2001","Berlin","Not Working","3","","","","2"
"No","2001","Lower Saxony","Not Working","9","","","","2"
"No","2001","Bremen","Full Time","23","","","","2"
"No","2001","Bremen","Not Working","","","","","2"
"No","2001","North Rhine-Westphalia","Full Time","740","0.421631186145984","0.398651712326491","0.444610659965477","2"
"No","2001","Brandenburg","Full Time","186","0.460727685161411","0.410742347868538","0.510713022454284","2"
"No","2001","Brandenburg","Part Time","60","0.52596917532699","0.434309333502757","0.617629017151224","2"
"No","2001","Brandenburg","Not Working","11","","","","2"
"No","2001","Bremen","Part Time","15","","","","2"
"No","2001","North Rhine-Westphalia","Part Time","472","0.565981763547293","0.532324345397767","0.59963918169682","2"
"No","2001","North Rhine-Westphalia","Not Working","28","","","","2"
"No","2001","Hesse","Full Time","214","0.364226146451225","0.32506359437117","0.40338869853128","2"
"No","2001","Hesse","Part Time","146","0.541625615471632","0.481634778412447","0.601616452530817","2"
"No","2001","Hesse","Not Working","9","","","","2"
