"plb0050","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Urban Area","East Germany","532","0.542145544930124","0.511358304059456","0.572932785800792","2"
"No","2001","Rural Area","East Germany","1065","0.560984782867397","0.538838680419673","0.58313088531512","2"
"No","2001","Urban Area","West Germany","3361","0.461874318155128","0.450446496188547","0.47330214012171","2"
"No","2001","Rural Area","West Germany","1140","0.510078096616238","0.489454515602622","0.530701677629853","2"
"Yes","2001","Urban Area","West Germany","3950","0.538125681844872","0.52669785987829","0.549553503811453","1"
"Yes","2001","Urban Area","East Germany","474","0.457854455069876","0.427067214199208","0.488641695940544","1"
"Yes","2001","Rural Area","West Germany","1117","0.489921903383762","0.469298322370147","0.510545484397378","1"
"Yes","2001","Rural Area","East Germany","864","0.439015217132603","0.41686911468488","0.461161319580327","1"
"No","2002","Urban Area","East Germany","","","","","2"
"No","2002","Rural Area","East Germany","","","","","2"
"No","2002","Urban Area","West Germany","","","","","2"
"No","2002","Rural Area","West Germany","","","","","2"
"Yes","2002","Urban Area","West Germany","","","","","1"
"Yes","2002","Urban Area","East Germany","","","","","1"
"Yes","2002","Rural Area","West Germany","","","","","1"
"Yes","2002","Rural Area","East Germany","","","","","1"
"No","2003","Rural Area","East Germany","","","","","2"
"No","2003","Urban Area","West Germany","","","","","2"
"No","2003","Urban Area","East Germany","","","","","2"
"No","2003","Rural Area","West Germany","","","","","2"
"Yes","2003","Urban Area","East Germany","","","","","1"
"Yes","2003","Rural Area","West Germany","","","","","1"
"Yes","2003","Rural Area","East Germany","","","","","1"
"Yes","2003","Urban Area","West Germany","","","","","1"
"No","2004","Rural Area","East Germany","","","","","2"
"No","2004","Urban Area","West Germany","","","","","2"
"No","2004","Urban Area","East Germany","","","","","2"
"No","2004","Rural Area","West Germany","","","","","2"
"Yes","2004","Urban Area","East Germany","","","","","1"
"Yes","2004","Rural Area","West Germany","","","","","1"
"Yes","2004","Rural Area","East Germany","","","","","1"
"Yes","2004","Urban Area","West Germany","","","","","1"
"No","2005","Urban Area","West Germany","","","","","2"
"No","2005","Urban Area","East Germany","","","","","2"
"No","2005","Rural Area","West Germany","","","","","2"
"No","2005","Rural Area","East Germany","","","","","2"
"Yes","2005","Urban Area","East Germany","","","","","1"
"Yes","2005","Urban Area","West Germany","","","","","1"
"Yes","2005","Rural Area","West Germany","","","","","1"
"Yes","2005","Rural Area","East Germany","","","","","1"
"No","2006","Urban Area","West Germany","3329","0.475543023663138","0.463979509558304","0.487106537767972","2"
"No","2006","Urban Area","East Germany","489","0.532020714596421","0.500456858075414","0.563584571117428","2"
"No","2006","Rural Area","West Germany","1156","0.516172819563545","0.495510015760775","0.536835623366316","2"
