"plb0050","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2001","Schleswig-Holstein","Male","107","0.55129861820236","0.482369099089887","0.620228137314833"
"Yes","2001","Schleswig-Holstein","Female","75","0.458323192157315","0.383860299142014","0.532786085172616"
"Yes","2001","Hamburg","Male","45","0.55960646479321","0.452157312416693","0.667055617169727"
"Yes","2001","Hamburg","Female","50","0.730432921165039","0.631958284893401","0.828907557436677"
"Yes","2001","Lower Saxony","Male","343","0.575448284064342","0.535497263507086","0.615399304621597"
"Yes","2001","Lower Saxony","Female","219","0.459353673624325","0.413613701579697","0.505093645668954"
"Yes","2001","Bremen","Male","24","","",""
"Yes","2001","Bremen","Female","25","","",""
"Yes","2001","North Rhine-Westphalia","Male","860","0.569506496004304","0.54433138879847","0.594681603210138"
"Yes","2001","North Rhine-Westphalia","Female","544","0.475583505883345","0.446819764537601","0.504347247229089"
"Yes","2001","Hesse","Male","294","0.619530851842025","0.57605265478042","0.66300904890363"
"Yes","2001","Hesse","Female","195","0.513797027974849","0.463477902511359","0.564116153438339"
"Yes","2001","Rhineland-Palatinate,Saarland","Male","229","0.503482354075849","0.455551030582824","0.551413677568873"
"Yes","2001","Rhineland-Palatinate,Saarland","Female","132","0.419050971632234","0.364126019774165","0.473975923490304"
"Yes","2001","Baden-Württemberg","Male","523","0.585199908257615","0.552939813941953","0.617460002573278"
"Yes","2001","Baden-Württemberg","Female","320","0.465642612720286","0.428095589465218","0.503189635975354"
"Yes","2001","Bavaria","Male","563","0.560983168938449","0.52997571960033","0.591990618276569"
"Yes","2001","Bavaria","Female","373","0.427760151550544","0.394751186781452","0.460769116319637"
"Yes","2001","Berlin","Male","142","0.515817649329376","0.453367552837848","0.578267745820904"
"Yes","2001","Berlin","Female","107","0.5211114853781","0.453546610490696","0.588676360265504"
"Yes","2001","Brandenburg","Male","119","0.448918051285361","0.389369346300609","0.508466756270112"
"Yes","2001","Brandenburg","Female","134","0.604185124650108","0.542572249131384","0.665798000168833"
"Yes","2001","Mecklenburg-Western Pomerania","Male","69","0.51135226749122","0.429135205029474","0.593569329952966"
