"plb0050","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Full Time","no migration background","3306","0.439537917123613","0.428196456112362","0.450879378134864","2"
"No","2001","Full Time","indirect migration background","135","0.452448419437609","0.396951879420345","0.507944959454873","2"
"No","2001","Part Time","direct migration background","273","0.548358594737164","0.505377875476764","0.591339313997565","2"
"No","2001","Not Working","no migration background","131","0.761583977366265","0.697716957115553","0.825450997616977","2"
"No","2001","Not Working","indirect migration background","9","","","","2"
"No","2001","Full Time","direct migration background","454","0.462570999752956","0.432498752623989","0.492643246881924","2"
"No","2001","Part Time","no migration background","1686","0.587481042947002","0.569600887513208","0.605361198380797","2"
"No","2001","Part Time","indirect migration background","85","0.573499960188722","0.491576118955335","0.655423801422109","2"
"No","2001","Not Working","direct migration background","19","","","","2"
"Yes","2001","Full Time","no migration background","4051","0.560462082876387","0.549120621865136","0.571803543887638","1"
"Yes","2001","Full Time","direct migration background","602","0.537429000247044","0.507356753118076","0.567501247376011","1"
"Yes","2001","Full Time","indirect migration background","174","0.547551580562391","0.492055040545127","0.603048120579655","1"
"Yes","2001","Part Time","no migration background","1226","0.412518957052998","0.394638801619203","0.430399112486792","1"
"Yes","2001","Part Time","direct migration background","242","0.451641405262836","0.408660686002435","0.494622124523236","1"
"Yes","2001","Part Time","indirect migration background","55","0.426500039811278","0.344576198577891","0.508423881044665","1"
"Yes","2001","Not Working","no migration background","40","0.238416022633735","0.174549002383023","0.302283042884447","1"
"Yes","2001","Not Working","direct migration background","11","","","","1"
"Yes","2001","Not Working","indirect migration background","4","","","","1"
"No","2002","Full Time","indirect migration background","","","","","2"
"No","2002","Full Time","no migration background","","","","","2"
"No","2002","Full Time","direct migration background","","","","","2"
"No","2002","Part Time","no migration background","","","","","2"
"No","2002","Part Time","direct migration background","","","","","2"
"No","2002","Not Working","no migration background","","","","","2"
"No","2002","Not Working","indirect migration background","","","","","2"
"No","2002","Part Time","indirect migration background","","","","","2"
"No","2002","Not Working","direct migration background","","","","","2"
"Yes","2002","Full Time","no migration background","","","","","1"
"Yes","2002","Full Time","direct migration background","","","","","1"
"Yes","2002","Full Time","indirect migration background","","","","","1"
"Yes","2002","Part Time","no migration background","","","","","1"
"Yes","2002","Part Time","direct migration background","","","","","1"
"Yes","2002","Part Time","indirect migration background","","","","","1"
"Yes","2002","Not Working","no migration background","","","","","1"
"Yes","2002","Not Working","direct migration background","","","","","1"
"Yes","2002","Not Working","indirect migration background","","","","","1"
"No","2003","Full Time","no migration background","","","","","2"
"No","2003","Full Time","indirect migration background","","","","","2"
"No","2003","Full Time","direct migration background","","","","","2"
"No","2003","Part Time","no migration background","","","","","2"
"No","2003","Part Time","direct migration background","","","","","2"
"No","2003","Not Working","no migration background","","","","","2"
"No","2003","Not Working","indirect migration background","","","","","2"
"No","2003","Part Time","indirect migration background","","","","","2"
"No","2003","Not Working","direct migration background","","","","","2"
"Yes","2003","Full Time","no migration background","","","","","1"
"Yes","2003","Full Time","direct migration background","","","","","1"
"Yes","2003","Full Time","indirect migration background","","","","","1"
"Yes","2003","Part Time","no migration background","","","","","1"
"Yes","2003","Part Time","direct migration background","","","","","1"
"Yes","2003","Part Time","indirect migration background","","","","","1"
"Yes","2003","Not Working","no migration background","","","","","1"
"Yes","2003","Not Working","direct migration background","","","","","1"
"Yes","2003","Not Working","indirect migration background","","","","","1"
"No","2004","Full Time","indirect migration background","","","","","2"
"No","2004","Full Time","no migration background","","","","","2"
"No","2004","Full Time","direct migration background","","","","","2"
"No","2004","Part Time","no migration background","","","","","2"
"No","2004","Part Time","direct migration background","","","","","2"
"No","2004","Not Working","no migration background","","","","","2"
"No","2004","Part Time","indirect migration background","","","","","2"
"No","2004","Not Working","direct migration background","","","","","2"
"No","2004","Not Working","indirect migration background","","","","","2"
"Yes","2004","Full Time","no migration background","","","","","1"
"Yes","2004","Full Time","direct migration background","","","","","1"
"Yes","2004","Full Time","indirect migration background","","","","","1"
"Yes","2004","Part Time","no migration background","","","","","1"
"Yes","2004","Part Time","direct migration background","","","","","1"
"Yes","2004","Part Time","indirect migration background","","","","","1"
"Yes","2004","Not Working","no migration background","","","","","1"
"Yes","2004","Not Working","direct migration background","","","","","1"
"Yes","2004","Not Working","indirect migration background","","","","","1"
"No","2005","Full Time","no migration background","","","","","2"
"No","2005","Full Time","indirect migration background","","","","","2"
"No","2005","Full Time","direct migration background","","","","","2"
"No","2005","Part Time","no migration background","","","","","2"
"No","2005","Part Time","direct migration background","","","","","2"
"No","2005","Not Working","no migration background","","","","","2"
"No","2005","Part Time","indirect migration background","","","","","2"
"No","2005","Not Working","direct migration background","","","","","2"
"No","2005","Not Working","indirect migration background","","","","","2"
"Yes","2005","Full Time","no migration background","","","","","1"
"Yes","2005","Full Time","direct migration background","","","","","1"
"Yes","2005","Full Time","indirect migration background","","","","","1"
"Yes","2005","Part Time","no migration background","","","","","1"
"Yes","2005","Part Time","direct migration background","","","","","1"
"Yes","2005","Part Time","indirect migration background","","","","","1"
"Yes","2005","Not Working","no migration background","","","","","1"
"Yes","2005","Not Working","direct migration background","","","","","1"
"Yes","2005","Not Working","indirect migration background","","","","","1"
"No","2006","Part Time","no migration background","1875","0.599241127388892","0.582320062056449","0.616162192721336","2"
"No","2006","Full Time","no migration background","3118","0.443447068186952","0.431845610810466","0.455048525563438","2"
"No","2006","Full Time","indirect migration background","145","0.449613740533357","0.394503855966088","0.504723625100625","2"
"No","2006","Part Time","direct migration background","252","0.598160547045193","0.552035332882077","0.644285761208309","2"
"No","2006","Not Working","no migration background","107","0.719186111597463","0.646784677113061","0.791587546081864","2"
"No","2006","Full Time","direct migration background","317","0.466616703343485","0.431124983131525","0.502108423555446","2"
"No","2006","Part Time","indirect migration background","92","0.561791055210216","0.484910567653856","0.638671542766576","2"
"No","2006","Not Working","direct migration background","27","","","","2"
"No","2006","Not Working","indirect migration background","6","","","","2"
"Yes","2006","Full Time","no migration background","3926","0.556552931813048","0.544951474436562","0.568154389189534","1"
"Yes","2006","Full Time","direct migration background","442","0.533383296656514","0.497891576444554","0.568875016868475","1"
"Yes","2006","Full Time","indirect migration background","168","0.550386259466644","0.495276374899375","0.605496144033912","1"
"Yes","2006","Part Time","no migration background","1347","0.400758872611108","0.383837807278664","0.417679937943551","1"
"Yes","2006","Part Time","direct migration background","182","0.401839452954807","0.355714238791692","0.447964667117923","1"
"Yes","2006","Part Time","indirect migration background","68","0.438208944789784","0.361328457233424","0.515089432346144","1"
"Yes","2006","Not Working","no migration background","41","0.280813888402537","0.208412453918136","0.353215322886939","1"
"Yes","2006","Not Working","direct migration background","11","","","","1"
"Yes","2006","Not Working","indirect migration background","4","","","","1"
"No","2007","Full Time","no migration background","","","","","2"
"No","2007","Full Time","indirect migration background","","","","","2"
"No","2007","Part Time","no migration background","","","","","2"
"No","2007","Part Time","direct migration background","","","","","2"
"No","2007","Not Working","no migration background","","","","","2"
"No","2007","Full Time","direct migration background","","","","","2"
"No","2007","Part Time","indirect migration background","","","","","2"
"No","2007","Not Working","direct migration background","","","","","2"
"No","2007","Not Working","indirect migration background","","","","","2"
"Yes","2007","Full Time","no migration background","","","","","1"
"Yes","2007","Full Time","direct migration background","","","","","1"
"Yes","2007","Full Time","indirect migration background","","","","","1"
"Yes","2007","Part Time","no migration background","","","","","1"
"Yes","2007","Part Time","direct migration background","","","","","1"
"Yes","2007","Part Time","indirect migration background","","","","","1"
"Yes","2007","Not Working","no migration background","","","","","1"
"Yes","2007","Not Working","direct migration background","","","","","1"
"Yes","2007","Not Working","indirect migration background","","","","","1"
"No","2008","Full Time","no migration background","","","","","2"
"No","2008","Full Time","indirect migration background","","","","","2"
"No","2008","Part Time","no migration background","","","","","2"
"No","2008","Part Time","direct migration background","","","","","2"
"No","2008","Not Working","no migration background","","","","","2"
"No","2008","Not Working","direct migration background","","","","","2"
"No","2008","Not Working","indirect migration background","","","","","2"
"No","2008","Full Time","direct migration background","","","","","2"
"No","2008","Part Time","indirect migration background","","","","","2"
"Yes","2008","Part Time","no migration background","","","","","1"
"Yes","2008","Full Time","no migration background","","","","","1"
"Yes","2008","Full Time","direct migration background","","","","","1"
"Yes","2008","Full Time","indirect migration background","","","","","1"
"Yes","2008","Part Time","direct migration background","","","","","1"
"Yes","2008","Part Time","indirect migration background","","","","","1"
"Yes","2008","Not Working","no migration background","","","","","1"
"Yes","2008","Not Working","direct migration background","","","","","1"
"Yes","2008","Not Working","indirect migration background","","","","","1"
"No","2009","Full Time","no migration background","","","","","2"
"No","2009","Full Time","indirect migration background","","","","","2"
"No","2009","Part Time","no migration background","","","","","2"
"No","2009","Part Time","direct migration background","","","","","2"
"No","2009","Not Working","no migration background","","","","","2"
"No","2009","Not Working","direct migration background","","","","","2"
"No","2009","Not Working","indirect migration background","","","","","2"
"No","2009","Full Time","direct migration background","","","","","2"
"No","2009","Part Time","indirect migration background","","","","","2"
"Yes","2009","Part Time","no migration background","","","","","1"
"Yes","2009","Full Time","no migration background","","","","","1"
"Yes","2009","Full Time","direct migration background","","","","","1"
"Yes","2009","Full Time","indirect migration background","","","","","1"
"Yes","2009","Part Time","direct migration background","","","","","1"
"Yes","2009","Part Time","indirect migration background","","","","","1"
"Yes","2009","Not Working","no migration background","","","","","1"
"Yes","2009","Not Working","direct migration background","","","","","1"
"Yes","2009","Not Working","indirect migration background","","","","","1"
"No","2010","Full Time","no migration background","","","","","2"
"No","2010","Full Time","indirect migration background","","","","","2"
"No","2010","Part Time","no migration background","","","","","2"
"No","2010","Part Time","direct migration background","","","","","2"
"No","2010","Not Working","no migration background","","","","","2"
"No","2010","Not Working","direct migration background","","","","","2"
"No","2010","Not Working","indirect migration background","","","","","2"
"No","2010","Full Time","direct migration background","","","","","2"
"No","2010","Part Time","indirect migration background","","","","","2"
"Yes","2010","Part Time","no migration background","","","","","1"
"Yes","2010","Not Working","direct migration background","","","","","1"
"Yes","2010","Full Time","no migration background","","","","","1"
"Yes","2010","Full Time","direct migration background","","","","","1"
"Yes","2010","Full Time","indirect migration background","","","","","1"
"Yes","2010","Part Time","direct migration background","","","","","1"
"Yes","2010","Part Time","indirect migration background","","","","","1"
"Yes","2010","Not Working","no migration background","","","","","1"
"Yes","2010","Not Working","indirect migration background","","","","","1"
"No","2011","Full Time","no migration background","2705","0.423122846940395","0.411025346774773","0.435220347106017","2"
"No","2011","Full Time","direct migration background","247","0.40462979361028","0.364890351978212","0.444369235242349","2"
"No","2011","Full Time","indirect migration background","131","0.424558921740581","0.370147775337873","0.478970068143289","2"
"No","2011","Part Time","no migration background","1693","0.543518428233209","0.525955876644438","0.561080979821981","2"
"No","2011","Part Time","direct migration background","226","0.610632679799748","0.562177181842144","0.659088177757352","2"
