"plb0050","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Yes","2001","Schleswig-Holstein","lower secondary degree","56","0.438362642621438","0.355275740011487","0.521449545231388"
"Yes","2001","Schleswig-Holstein","secondary school degree","63","0.546646028358309","0.457945293715684","0.635346763000934"
"Yes","2001","Schleswig-Holstein","college entrance qualification","51","0.573688729128847","0.47151755069988","0.675859907557815"
"Yes","2001","Schleswig-Holstein","Other degree","9","","",""
"Yes","2001","Schleswig-Holstein","no degree/no degree yet","3","","",""
"Yes","2001","Hamburg","lower secondary degree","21","","",""
"Yes","2001","Hamburg","secondary school degree","29","","",""
"Yes","2001","Hamburg","college entrance qualification","41","0.627645727321202","0.515980667740896","0.739310786901509"
"Yes","2001","Hamburg","Other degree","2","","",""
"Yes","2001","Hamburg","no degree/no degree yet","2","","",""
"Yes","2001","Lower Saxony","lower secondary degree","181","0.502932200601232","0.451917253084561","0.553947148117902"
"Yes","2001","Lower Saxony","secondary school degree","189","0.535287817389564","0.483478389014865","0.587097245764263"
"Yes","2001","Lower Saxony","college entrance qualification","154","0.574571009362898","0.512662486167682","0.636479532558114"
"Yes","2001","Lower Saxony","Other degree","33","0.467607297977356","0.339199682467249","0.596014913487463"
"Yes","2001","Lower Saxony","no degree/no degree yet","5","","",""
"Yes","2001","Bremen","lower secondary degree","11","","",""
"Yes","2001","Bremen","secondary school degree","13","","",""
"Yes","2001","Bremen","college entrance qualification","18","","",""
"Yes","2001","Bremen","Other degree","5","","",""
"Yes","2001","Bremen","no degree/no degree yet","2","","",""
"Yes","2001","North Rhine-Westphalia","lower secondary degree","465","0.514659025997127","0.482079320714699","0.547238731279555"
"Yes","2001","North Rhine-Westphalia","secondary school degree","368","0.55199848407418","0.514893501672233","0.589103466476127"
"Yes","2001","North Rhine-Westphalia","college entrance qualification","446","0.559360130147048","0.524586113397183","0.594134146896913"
"Yes","2001","North Rhine-Westphalia","Other degree","101","0.438311253610774","0.370055503455703","0.506567003765844"
"Yes","2001","North Rhine-Westphalia","no degree/no degree yet","22","","",""
"Yes","2001","Hesse","lower secondary degree","142","0.539253270958095","0.479464450608587","0.599042091307603"
"Yes","2001","Hesse","secondary school degree","159","0.633647870240671","0.574856769963846","0.692438970517497"
"Yes","2001","Hesse","college entrance qualification","140","0.6131335020258","0.550864451395158","0.675402552656443"
"Yes","2001","Hesse","Other degree","41","0.428925764997195","0.32114458544902","0.53670694454537"
"Yes","2001","Hesse","no degree/no degree yet","6","","",""
"Yes","2001","Rhineland-Palatinate,Saarland","lower secondary degree","145","0.41765425949986","0.364201131596885","0.471107387402835"
"Yes","2001","Rhineland-Palatinate,Saarland","secondary school degree","96","0.519695132138199","0.447110410510865","0.592279853765533"
"Yes","2001","Rhineland-Palatinate,Saarland","college entrance qualification","79","0.528674520074965","0.444780059512361","0.612568980637569"
"Yes","2001","Rhineland-Palatinate,Saarland","Other degree","36","0.535351299347202","0.414103683738564","0.65659891495584"
"Yes","2001","Rhineland-Palatinate,Saarland","no degree/no degree yet","4","","",""
"Yes","2001","Baden-Württemberg","lower secondary degree","281","0.509810683992962","0.469162007302289","0.550459360683636"
"Yes","2001","Baden-Württemberg","secondary school degree","231","0.53836545867661","0.490574285401163","0.586156631952058"
"Yes","2001","Baden-Württemberg","college entrance qualification","198","0.545138853281543","0.492517518656037","0.59776018790705"
