"plb0050","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2001","1-pers.-HH","East Germany","140","0.575925642981293","0.515854536558649","0.635996749403937","2"
"No","2001","Couple + C. GT 16 ","West Germany","763","0.476328226758067","0.451947406427562","0.500709047088573","2"
"No","2001","1-pers.-HH","West Germany","538","0.461392457018107","0.432692725513182","0.490092188523032","2"
"No","2001","(Married) couple without C. ","West Germany","1047","0.457424310354071","0.437346224589106","0.477502396119037","2"
"No","2001","(Married) couple without C. ","East Germany","378","0.53584591911636","0.499239742018836","0.572452096213884","2"
"No","2001","Couple + C. GT 16 ","East Germany","365","0.53130505463795","0.494151652995127","0.568458456280774","2"
"No","2001","Single parent ","West Germany","253","0.512142984681594","0.468019833355507","0.556266136007682","2"
"No","2001","Single parent ","East Germany","91","0.497087917480427","0.42125592034952","0.572919914611334","2"
"No","2001","Couple + C. LE 16 ","West Germany","1312","0.47223495638743","0.453717140548585","0.490752772226275","2"
"No","2001","Couple + C. LE 16 ","East Germany","396","0.592249095368198","0.555555678936997","0.628942511799399","2"
"No","2001","Couple + C. LE and GT 16","West Germany","430","0.513764015219143","0.479802127855234","0.547725902583052","2"
"No","2001","Couple + C. LE and GT 16","East Germany","192","0.567308845408467","0.514876435766363","0.61974125505057","2"
"Yes","2001","1-pers.-HH","West Germany","621","0.538607542981893","0.509907811476968","0.567307274486818","1"
"Yes","2001","1-pers.-HH","East Germany","120","0.424074357018707","0.364003250596063","0.484145463441351","1"
"Yes","2001","(Married) couple without C. ","West Germany","1318","0.542575689645929","0.522497603880963","0.562653775410895","1"
"Yes","2001","(Married) couple without C. ","East Germany","335","0.46415408088364","0.427547903786116","0.500760257981164","1"
"Yes","2001","Single parent ","West Germany","240","0.487857015318406","0.443733863992318","0.531980166644493","1"
"Yes","2001","Single parent ","East Germany","76","0.502912082519573","0.427080085388666","0.57874407965048","1"
"Yes","2001","Couple + C. LE 16 ","West Germany","1480","0.52776504361257","0.509247227773725","0.546282859451415","1"
"Yes","2001","Couple + C. LE 16 ","East Germany","293","0.407750904631802","0.371057488200601","0.444444321063003","1"
"Yes","2001","Couple + C. GT 16 ","West Germany","849","0.523671773241933","0.499290952911427","0.548052593572438","1"
"Yes","2001","Couple + C. GT 16 ","East Germany","328","0.46869494536205","0.431541543719226","0.505848347004873","1"
"Yes","2001","Couple + C. LE and GT 16","West Germany","402","0.486235984780857","0.452274097416948","0.520197872144766","1"
"Yes","2001","Couple + C. LE and GT 16","East Germany","151","0.432691154591533","0.38025874494943","0.485123564233637","1"
"No","2002","Couple + C. GT 16 ","West Germany","","","","","2"
"No","2002","1-pers.-HH","West Germany","","","","","2"
"No","2002","1-pers.-HH","East Germany","","","","","2"
"No","2002","(Married) couple without C. ","West Germany","","","","","2"
"No","2002","(Married) couple without C. ","East Germany","","","","","2"
"No","2002","Couple + C. GT 16 ","East Germany","","","","","2"
"No","2002","Single parent ","West Germany","","","","","2"
