"plb0050","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2001","(0) in school","Male","6","","",""
"Yes","2001","(0) in school","Female","7","","",""
"Yes","2001","(1a) inadequately completed","Male","38","0.606750709310239","0.485162526831405","0.728338891789072"
"Yes","2001","(1a) inadequately completed","Female","21","","",""
"Yes","2001","(1b) general elementary school","Male","222","0.516258833250777","0.469134362115974","0.56338330438558"
"Yes","2001","(1b) general elementary school","Female","195","0.409208254847205","0.364373323869812","0.454043185824598"
"Yes","2001","(1c) basic vocational qualification","Male","1140","0.523799419614692","0.502722822929132","0.544876016300252"
"Yes","2001","(1c) basic vocational qualification","Female","522","0.431824172998066","0.404298829194816","0.459349516801315"
"Yes","2001","(2b) intermediate general qualification","Male","97","0.560042319503395","0.487727937635871","0.632356701370918"
"Yes","2001","(2b) intermediate general qualification","Female","70","0.361356008627471","0.29477810001154","0.427933917243402"
"Yes","2001","(2a) intermediate vocational","Male","934","0.53393273509743","0.510784481036353","0.557080989158507"
"Yes","2001","(2a) intermediate vocational","Female","887","0.481042040153957","0.458414527965527","0.503669552342387"
"Yes","2001","(2c_gen) general maturity certificate","Male","83","0.406807321683106","0.336957779832636","0.476656863533577"
"Yes","2001","(2c_gen) general maturity certificate","Female","90","0.418243105011396","0.351368672043919","0.485117537978873"
"Yes","2001","(2c_voc) vocational maturity certificate","Male","297","0.583851344149326","0.541029576551126","0.626673111747526"
"Yes","2001","(2c_voc) vocational maturity certificate","Female","242","0.540022642388751","0.494427774669633","0.58561751010787"
"Yes","2001","(3a) lower tertiary education","Male","373","0.600596588204932","0.561982021225076","0.639211155184787"
"Yes","2001","(3a) lower tertiary education","Female","297","0.579618282708811","0.536308025180196","0.622928540237427"
"Yes","2001","(3b) higher tertiary education","Male","538","0.598991391541796","0.566499161971563","0.631483621112029"
"Yes","2001","(3b) higher tertiary education","Female","329","0.559537971814127","0.519066109298863","0.600009834329391"
"No","2001","(0) in school","Male","26","","",""
"No","2001","(0) in school","Female","33","0.870827588579737","0.766890853918487","0.974764323240988"
"No","2001","(1a) inadequately completed","Male","24","","",""
"No","2001","(1a) inadequately completed","Female","26","","",""
"No","2001","(1b) general elementary school","Male","210","0.483741166749223","0.43661669561442","0.530865637884026"
"No","2001","(1b) general elementary school","Female","267","0.590791745152795","0.545956814175402","0.635626676130187"
"No","2001","(1c) basic vocational qualification","Male","1017","0.476200580385308","0.455123983699748","0.497277177070868"
"No","2001","(1c) basic vocational qualification","Female","722","0.568175827001934","0.540650483198685","0.595701170805184"
"No","2001","(2b) intermediate general qualification","Male","84","0.439957680496605","0.367643298629081","0.512272062364129"
"No","2001","(2b) intermediate general qualification","Female","130","0.638643991372529","0.572066082756598","0.70522189998846"
"No","2001","(2a) intermediate vocational","Male","850","0.46606726490257","0.442919010841493","0.489215518963647"
"No","2001","(2a) intermediate vocational","Female","986","0.518957959846043","0.496330447657613","0.541585472034473"
"No","2001","(2c_gen) general maturity certificate","Male","107","0.593192678316894","0.523343136466423","0.663042220167364"
"No","2001","(2c_gen) general maturity certificate","Female","119","0.581756894988604","0.514882462021127","0.648631327956081"
"No","2001","(2c_voc) vocational maturity certificate","Male","212","0.416148655850674","0.373326888252474","0.458970423448874"
"No","2001","(2c_voc) vocational maturity certificate","Female","217","0.459977357611249","0.41438248989213","0.505572225330367"
"No","2001","(3a) lower tertiary education","Male","245","0.399403411795068","0.360788844815213","0.438017978774924"
"No","2001","(3a) lower tertiary education","Female","202","0.420381717291189","0.377071459762573","0.463691974819804"
"No","2001","(3b) higher tertiary education","Male","336","0.401008608458204","0.368516378887971","0.433500838028437"
"No","2001","(3b) higher tertiary education","Female","249","0.440462028185873","0.399990165670609","0.480933890701137"
"Yes","2002","(0) in school","Male","","","",""
"Yes","2002","(0) in school","Female","","","",""
"Yes","2002","(1a) inadequately completed","Male","","","",""
"Yes","2002","(1a) inadequately completed","Female","","","",""
"Yes","2002","(1b) general elementary school","Male","","","",""
"Yes","2002","(1b) general elementary school","Female","","","",""
"Yes","2002","(1c) basic vocational qualification","Male","","","",""
"Yes","2002","(1c) basic vocational qualification","Female","","","",""
"Yes","2002","(2b) intermediate general qualification","Male","","","",""
"Yes","2002","(2b) intermediate general qualification","Female","","","",""
"Yes","2002","(2a) intermediate vocational","Male","","","",""
"Yes","2002","(2a) intermediate vocational","Female","","","",""
"Yes","2002","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2002","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2002","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2002","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2002","(3a) lower tertiary education","Male","","","",""
"Yes","2002","(3a) lower tertiary education","Female","","","",""
"Yes","2002","(3b) higher tertiary education","Male","","","",""
"Yes","2002","(3b) higher tertiary education","Female","","","",""
"No","2002","(0) in school","Male","","","",""
"No","2002","(0) in school","Female","","","",""
"No","2002","(1a) inadequately completed","Male","","","",""
"No","2002","(1a) inadequately completed","Female","","","",""
"No","2002","(1b) general elementary school","Male","","","",""
"No","2002","(1b) general elementary school","Female","","","",""
"No","2002","(1c) basic vocational qualification","Male","","","",""
"No","2002","(1c) basic vocational qualification","Female","","","",""
"No","2002","(2b) intermediate general qualification","Male","","","",""
"No","2002","(2b) intermediate general qualification","Female","","","",""
"No","2002","(2a) intermediate vocational","Male","","","",""
"No","2002","(2a) intermediate vocational","Female","","","",""
"No","2002","(2c_gen) general maturity certificate","Male","","","",""
"No","2002","(2c_gen) general maturity certificate","Female","","","",""
"No","2002","(2c_voc) vocational maturity certificate","Male","","","",""
"No","2002","(2c_voc) vocational maturity certificate","Female","","","",""
"No","2002","(3a) lower tertiary education","Male","","","",""
"No","2002","(3a) lower tertiary education","Female","","","",""
"No","2002","(3b) higher tertiary education","Male","","","",""
"No","2002","(3b) higher tertiary education","Female","","","",""
"Yes","2003","(0) in school","Male","","","",""
"Yes","2003","(0) in school","Female","","","",""
"Yes","2003","(1a) inadequately completed","Male","","","",""
"Yes","2003","(1a) inadequately completed","Female","","","",""
"Yes","2003","(1b) general elementary school","Male","","","",""
"Yes","2003","(1b) general elementary school","Female","","","",""
"Yes","2003","(1c) basic vocational qualification","Male","","","",""
"Yes","2003","(1c) basic vocational qualification","Female","","","",""
"Yes","2003","(2b) intermediate general qualification","Male","","","",""
"Yes","2003","(2b) intermediate general qualification","Female","","","",""
"Yes","2003","(2a) intermediate vocational","Male","","","",""
"Yes","2003","(2a) intermediate vocational","Female","","","",""
"Yes","2003","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2003","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2003","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2003","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2003","(3a) lower tertiary education","Male","","","",""
"Yes","2003","(3a) lower tertiary education","Female","","","",""
"Yes","2003","(3b) higher tertiary education","Male","","","",""
"Yes","2003","(3b) higher tertiary education","Female","","","",""
"No","2003","(0) in school","Male","","","",""
"No","2003","(0) in school","Female","","","",""
"No","2003","(1a) inadequately completed","Male","","","",""
"No","2003","(1a) inadequately completed","Female","","","",""
"No","2003","(1b) general elementary school","Male","","","",""
"No","2003","(1b) general elementary school","Female","","","",""
"No","2003","(1c) basic vocational qualification","Male","","","",""
"No","2003","(1c) basic vocational qualification","Female","","","",""
"No","2003","(2b) intermediate general qualification","Male","","","",""
"No","2003","(2b) intermediate general qualification","Female","","","",""
"No","2003","(2a) intermediate vocational","Male","","","",""
"No","2003","(2a) intermediate vocational","Female","","","",""
"No","2003","(2c_gen) general maturity certificate","Male","","","",""
"No","2003","(2c_gen) general maturity certificate","Female","","","",""
"No","2003","(2c_voc) vocational maturity certificate","Male","","","",""
"No","2003","(2c_voc) vocational maturity certificate","Female","","","",""
"No","2003","(3a) lower tertiary education","Male","","","",""
"No","2003","(3a) lower tertiary education","Female","","","",""
"No","2003","(3b) higher tertiary education","Male","","","",""
"No","2003","(3b) higher tertiary education","Female","","","",""
"Yes","2004","(0) in school","Male","","","",""
"Yes","2004","(0) in school","Female","","","",""
"Yes","2004","(1a) inadequately completed","Male","","","",""
"Yes","2004","(1a) inadequately completed","Female","","","",""
"Yes","2004","(1b) general elementary school","Male","","","",""
"Yes","2004","(1b) general elementary school","Female","","","",""
"Yes","2004","(1c) basic vocational qualification","Male","","","",""
"Yes","2004","(1c) basic vocational qualification","Female","","","",""
"Yes","2004","(2b) intermediate general qualification","Male","","","",""
"Yes","2004","(2b) intermediate general qualification","Female","","","",""
"Yes","2004","(2a) intermediate vocational","Male","","","",""
"Yes","2004","(2a) intermediate vocational","Female","","","",""
"Yes","2004","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2004","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2004","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2004","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2004","(3a) lower tertiary education","Male","","","",""
"Yes","2004","(3a) lower tertiary education","Female","","","",""
"Yes","2004","(3b) higher tertiary education","Male","","","",""
"Yes","2004","(3b) higher tertiary education","Female","","","",""
"No","2004","(0) in school","Male","","","",""
"No","2004","(0) in school","Female","","","",""
"No","2004","(1a) inadequately completed","Male","","","",""
"No","2004","(1a) inadequately completed","Female","","","",""
"No","2004","(1b) general elementary school","Male","","","",""
"No","2004","(1b) general elementary school","Female","","","",""
"No","2004","(1c) basic vocational qualification","Male","","","",""
"No","2004","(1c) basic vocational qualification","Female","","","",""
"No","2004","(2b) intermediate general qualification","Male","","","",""
"No","2004","(2b) intermediate general qualification","Female","","","",""
"No","2004","(2a) intermediate vocational","Male","","","",""
"No","2004","(2a) intermediate vocational","Female","","","",""
"No","2004","(2c_gen) general maturity certificate","Male","","","",""
"No","2004","(2c_gen) general maturity certificate","Female","","","",""
"No","2004","(2c_voc) vocational maturity certificate","Male","","","",""
"No","2004","(2c_voc) vocational maturity certificate","Female","","","",""
"No","2004","(3a) lower tertiary education","Male","","","",""
"No","2004","(3a) lower tertiary education","Female","","","",""
"No","2004","(3b) higher tertiary education","Male","","","",""
"No","2004","(3b) higher tertiary education","Female","","","",""
"Yes","2005","(0) in school","Male","","","",""
"Yes","2005","(0) in school","Female","","","",""
"Yes","2005","(1a) inadequately completed","Male","","","",""
"Yes","2005","(1a) inadequately completed","Female","","","",""
"Yes","2005","(1b) general elementary school","Male","","","",""
"Yes","2005","(1b) general elementary school","Female","","","",""
"Yes","2005","(1c) basic vocational qualification","Male","","","",""
"Yes","2005","(1c) basic vocational qualification","Female","","","",""
"Yes","2005","(2b) intermediate general qualification","Male","","","",""
"Yes","2005","(2b) intermediate general qualification","Female","","","",""
