"plb0050","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2001","(0) in school","in school","13","","",""
"Yes","2001","(0) in school","inadequately","","","",""
"Yes","2001","(0) in school","general elemantary","","","",""
"Yes","2001","(0) in school","middle vocational","","","",""
"Yes","2001","(0) in school","vocational + Abi","","","",""
"Yes","2001","(0) in school","higher vocational","","","",""
"Yes","2001","(0) in school","higher education","","","",""
"Yes","2001","(1a) inadequately completed","in school","","","",""
"Yes","2001","(1a) inadequately completed","inadequately","47","0.515352042810644","0.410934865425442","0.619769220195847"
"Yes","2001","(1a) inadequately completed","general elemantary","","","",""
"Yes","2001","(1a) inadequately completed","middle vocational","10","","",""
"Yes","2001","(1a) inadequately completed","vocational + Abi","","","",""
"Yes","2001","(1a) inadequately completed","higher vocational","2","","",""
"Yes","2001","(1a) inadequately completed","higher education","","","",""
"Yes","2001","(1b) general elementary school","in school","","","",""
"Yes","2001","(1b) general elementary school","inadequately","7","","",""
"Yes","2001","(1b) general elementary school","general elemantary","410","0.458993178640848","0.426069281130632","0.491917076151064"
"Yes","2001","(1b) general elementary school","middle vocational","","","",""
"Yes","2001","(1b) general elementary school","vocational + Abi","","","",""
"Yes","2001","(1b) general elementary school","higher vocational","","","",""
"Yes","2001","(1b) general elementary school","higher education","","","",""
"Yes","2001","(1c) basic vocational qualification","in school","","","",""
"Yes","2001","(1c) basic vocational qualification","inadequately","","","",""
"Yes","2001","(1c) basic vocational qualification","general elemantary","","","",""
"Yes","2001","(1c) basic vocational qualification","middle vocational","1513","0.487659619974611","0.47007532640395","0.505243913545273"
"Yes","2001","(1c) basic vocational qualification","vocational + Abi","","","",""
"Yes","2001","(1c) basic vocational qualification","higher vocational","149","0.510925959792968","0.45407521525507","0.567776704330867"
"Yes","2001","(1c) basic vocational qualification","higher education","","","",""
"Yes","2001","(2b) intermediate general qualification","in school","","","",""
"Yes","2001","(2b) intermediate general qualification","inadequately","","","",""
"Yes","2001","(2b) intermediate general qualification","general elemantary","167","0.455149718656405","0.405146111768719","0.505153325544092"
"Yes","2001","(2b) intermediate general qualification","middle vocational","","","",""
"Yes","2001","(2b) intermediate general qualification","vocational + Abi","","","",""
"Yes","2001","(2b) intermediate general qualification","higher vocational","","","",""
"Yes","2001","(2b) intermediate general qualification","higher education","","","",""
"Yes","2001","(2a) intermediate vocational","in school","","","",""
"Yes","2001","(2a) intermediate vocational","inadequately","","","",""
"Yes","2001","(2a) intermediate vocational","general elemantary","","","",""
"Yes","2001","(2a) intermediate vocational","middle vocational","1554","0.514648069042864","0.497065967276764","0.532230170808964"
"Yes","2001","(2a) intermediate vocational","vocational + Abi","","","",""
"Yes","2001","(2a) intermediate vocational","higher vocational","267","0.469738215828168","0.428141538941556","0.511334892714781"
"Yes","2001","(2a) intermediate vocational","higher education","","","",""
"Yes","2001","(2c_gen) general maturity certificate","in school","","","",""
"Yes","2001","(2c_gen) general maturity certificate","inadequately","","","",""
"Yes","2001","(2c_gen) general maturity certificate","general elemantary","","","",""
"Yes","2001","(2c_gen) general maturity certificate","middle vocational","173","0.412542325381392","0.364238203641248","0.460846447121535"
"Yes","2001","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Yes","2001","(2c_gen) general maturity certificate","higher vocational","","","",""
"Yes","2001","(2c_gen) general maturity certificate","higher education","","","",""
"Yes","2001","(2c_voc) vocational maturity certificate","in school","","","",""
"Yes","2001","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Yes","2001","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Yes","2001","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Yes","2001","(2c_voc) vocational maturity certificate","vocational + Abi","378","0.541643737815156","0.504785210177847","0.578502265452465"
"Yes","2001","(2c_voc) vocational maturity certificate","higher vocational","161","0.622176507377447","0.563911399322645","0.68044161543225"
"Yes","2001","(2c_voc) vocational maturity certificate","higher education","","","",""
"Yes","2001","(3a) lower tertiary education","in school","","","",""
"Yes","2001","(3a) lower tertiary education","inadequately","","","",""
"Yes","2001","(3a) lower tertiary education","general elemantary","","","",""
"Yes","2001","(3a) lower tertiary education","middle vocational","","","",""
"Yes","2001","(3a) lower tertiary education","vocational + Abi","","","",""
"Yes","2001","(3a) lower tertiary education","higher vocational","","","",""
"Yes","2001","(3a) lower tertiary education","higher education","670","0.592414933690702","0.563598274183064","0.62123159319834"
"Yes","2001","(3b) higher tertiary education","in school","","","",""
"Yes","2001","(3b) higher tertiary education","inadequately","","","",""
"Yes","2001","(3b) higher tertiary education","general elemantary","","","",""
"Yes","2001","(3b) higher tertiary education","middle vocational","","","",""
"Yes","2001","(3b) higher tertiary education","vocational + Abi","","","",""
"Yes","2001","(3b) higher tertiary education","higher vocational","","","",""
"Yes","2001","(3b) higher tertiary education","higher education","867","0.583552646253964","0.558196406028867","0.60890888647906"
"No","2001","(0) in school","in school","59","0.839628165441749","0.754868469369457","0.924387861514042"
"No","2001","(0) in school","inadequately","","","",""
"No","2001","(0) in school","general elemantary","","","",""
"No","2001","(0) in school","middle vocational","","","",""
"No","2001","(0) in school","vocational + Abi","","","",""
"No","2001","(0) in school","higher vocational","","","",""
"No","2001","(0) in school","higher education","","","",""
"No","2001","(1a) inadequately completed","in school","","","",""
"No","2001","(1a) inadequately completed","inadequately","41","0.484647957189356","0.380230779804153","0.589065134574558"
"No","2001","(1a) inadequately completed","general elemantary","","","",""
"No","2001","(1a) inadequately completed","middle vocational","9","","",""
"No","2001","(1a) inadequately completed","vocational + Abi","","","",""
"No","2001","(1a) inadequately completed","higher vocational","","","",""
"No","2001","(1a) inadequately completed","higher education","","","",""
"No","2001","(1b) general elementary school","in school","","","",""
"No","2001","(1b) general elementary school","inadequately","7","","",""
"No","2001","(1b) general elementary school","general elemantary","470","0.541006821359152","0.508082923848936","0.573930718869368"
"No","2001","(1b) general elementary school","middle vocational","","","",""
"No","2001","(1b) general elementary school","vocational + Abi","","","",""
"No","2001","(1b) general elementary school","higher vocational","","","",""
"No","2001","(1b) general elementary school","higher education","","","",""
"No","2001","(1c) basic vocational qualification","in school","","","",""
"No","2001","(1c) basic vocational qualification","inadequately","","","",""
"No","2001","(1c) basic vocational qualification","general elemantary","","","",""
"No","2001","(1c) basic vocational qualification","middle vocational","1591","0.512340380025389","0.494756086454727","0.52992467359605"
"No","2001","(1c) basic vocational qualification","vocational + Abi","","","",""
"No","2001","(1c) basic vocational qualification","higher vocational","148","0.489074040207032","0.432223295669133","0.54592478474493"
"No","2001","(1c) basic vocational qualification","higher education","","","",""
"No","2001","(2b) intermediate general qualification","in school","","","",""
