"plb0050","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2001","1-pers.-HH","678","0.478389847216044","0.452398972944991","0.504380721487098","2"
"No","2001","Couple + C. GT 16 ","1128","0.488019914996143","0.467613912629191","0.508425917363095","2"
"No","2001","(Married) couple without C. ","1425","0.470091544744843","0.452459388411589","0.487723701078098","2"
"No","2001","Couple + C. LE and GT 16","622","0.524522858881826","0.4959682517751","0.553077465988553","2"
"No","2001","Single parent ","344","0.50903252585014","0.47089300340187","0.547172048298411","2"
"No","2001","Couple + C. LE 16 ","1708","0.491488372857685","0.474880915452444","0.508095830262925","2"
"Yes","2001","1-pers.-HH","741","0.521610152783956","0.495619278512902","0.547601027055009","1"
"Yes","2001","(Married) couple without C. ","1653","0.529908455255157","0.512276298921902","0.547540611588411","1"
"Yes","2001","Single parent ","316","0.49096747414986","0.452827951701589","0.52910699659813","1"
"Yes","2001","Couple + C. LE 16 ","1773","0.508511627142315","0.491904169737075","0.525119084547556","1"
"Yes","2001","Couple + C. GT 16 ","1177","0.511980085003857","0.491574082636905","0.532386087370809","1"
"Yes","2001","Couple + C. LE and GT 16","553","0.475477141118174","0.446922534011447","0.5040317482249","1"
"No","2002","1-pers.-HH","","","","","2"
"No","2002","(Married) couple without C. ","","","","","2"
"No","2002","Couple + C. GT 16 ","","","","","2"
"No","2002","Couple + C. LE and GT 16","","","","","2"
"No","2002","Single parent ","","","","","2"
"No","2002","Couple + C. LE 16 ","","","","","2"
"Yes","2002","1-pers.-HH","","","","","1"
"Yes","2002","(Married) couple without C. ","","","","","1"
"Yes","2002","Single parent ","","","","","1"
"Yes","2002","Couple + C. LE 16 ","","","","","1"
"Yes","2002","Couple + C. GT 16 ","","","","","1"
"Yes","2002","Couple + C. LE and GT 16","","","","","1"
"No","2003","1-pers.-HH","","","","","2"
"No","2003","(Married) couple without C. ","","","","","2"
"No","2003","Couple + C. GT 16 ","","","","","2"
"No","2003","Couple + C. LE and GT 16","","","","","2"
"No","2003","Single parent ","","","","","2"
"No","2003","Couple + C. LE 16 ","","","","","2"
"Yes","2003","1-pers.-HH","","","","","1"
"Yes","2003","(Married) couple without C. ","","","","","1"
"Yes","2003","Single parent ","","","","","1"
"Yes","2003","Couple + C. LE 16 ","","","","","1"
"Yes","2003","Couple + C. GT 16 ","","","","","1"
"Yes","2003","Couple + C. LE and GT 16","","","","","1"
"No","2004","1-pers.-HH","","","","","2"
"No","2004","(Married) couple without C. ","","","","","2"
"No","2004","Couple + C. GT 16 ","","","","","2"
"No","2004","Couple + C. LE and GT 16","","","","","2"
"No","2004","Single parent ","","","","","2"
"No","2004","Couple + C. LE 16 ","","","","","2"
"Yes","2004","1-pers.-HH","","","","","1"
"Yes","2004","(Married) couple without C. ","","","","","1"
"Yes","2004","Single parent ","","","","","1"
"Yes","2004","Couple + C. LE 16 ","","","","","1"
"Yes","2004","Couple + C. GT 16 ","","","","","1"
"Yes","2004","Couple + C. LE and GT 16","","","","","1"
"No","2005","1-pers.-HH","","","","","2"
"No","2005","(Married) couple without C. ","","","","","2"
"No","2005","Couple + C. GT 16 ","","","","","2"
"No","2005","Couple + C. LE and GT 16","","","","","2"
"No","2005","Single parent ","","","","","2"
"No","2005","Couple + C. LE 16 ","","","","","2"
"Yes","2005","1-pers.-HH","","","","","1"
"Yes","2005","(Married) couple without C. ","","","","","1"
"Yes","2005","Single parent ","","","","","1"
"Yes","2005","Couple + C. LE 16 ","","","","","1"
"Yes","2005","Couple + C. GT 16 ","","","","","1"
"Yes","2005","Couple + C. LE and GT 16","","","","","1"
"No","2006","Couple + C. GT 16 ","1190","0.523908629853895","0.503827053370889","0.543990206336901","2"
